@relation $PLUG
@attribute TID real
@attribute POS real
@attribute NUM_NODES real
@attribute NUM_EDGES real
@attribute NUM_CMP real
@attribute class {increase , no_change ,decrease}
@data
302,228,492,410,89,no_change
123,87,228,224,34,increase
580,459,918,909,122,increase
1041,792,1652,1626,204,increase
539,388,860,812,127,decrease
989,711,1445,1350,195,increase
2475,1886,3454,3581,355,increase
2552,1865,3715,3934,383,increase
2043,1458,2965,3201,285,decrease
2094,1425,2895,2926,292,decrease
3749,2734,5099,5242,527,increase
2749,1937,4053,4882,337,increase
5810,3774,8213,9308,705,increase
3783,2566,5403,5836,474,decrease
4288,3022,5817,5913,554,decrease
2591,1781,3669,3567,381,decrease
1720,1203,2449,2661,196,decrease
2120,1385,3044,2975,316,decrease
1803,1264,2592,2625,263,decrease
772,495,1227,1160,173,decrease
1684,1164,2385,2273,278,increase
671,457,1041,1034,138,decrease
4196,3064,5809,5826,585,increase
5006,3396,6815,6557,698,decrease
2155,1468,3041,3050,305,decrease
1058,720,1613,1583,188,decrease
1241,889,1888,1911,213,increase
1836,1335,2561,2563,240,increase
3134,2182,4222,4336,347,increase
1506,1047,2211,2254,203,decrease
1460,995,2080,2069,208,no_change
1181,815,1695,1651,208,decrease
1339,993,2057,2022,247,decrease
867,560,1367,1257,192,decrease
228,154,396,317,84,increase
1378,992,1977,1852,217,increase
1345,928,1964,1897,202,no_change
1887,1301,2544,2459,249,increase
1392,976,2025,1918,209,decrease
1390,960,1986,1860,217,increase
2924,2061,4036,3890,448,increase
2708,1731,3610,3504,375,decrease
1893,1275,2702,2670,273,decrease
