@relation $DECK
@attribute TID real
@attribute POS real
@attribute NUM_NODES real
@attribute NUM_EDGES real
@attribute NUM_CMP real
@attribute class {increase , no_change ,decrease}
@data
5,3,11,7,4,no_change
13,10,28,21,7,increase
5,3,15,10,5,increase
156,107,285,235,59,decrease
120,83,274,223,52,decrease
13,10,47,42,9,decrease
6,5,19,13,6,decrease
3,0,9,6,3,increase
3,0,10,7,3,decrease
3,3,13,16,2,increase
4,3,14,11,3,decrease
3,0,10,7,3,increase
4,4,9,5,4,decrease
8,6,23,15,8,decrease
5,3,12,7,5,increase
4,4,11,8,3,increase
3,3,14,11,3,decrease
