Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,520.00,527.76,519.20,524.94,10154800,524.94
2014-04-16,518.05,521.09,514.14,519.01,7670200,519.01
2014-04-15,520.27,521.64,511.33,517.96,9501800,517.96
2014-04-14,521.90,522.16,517.21,521.68,7345500,521.68
2014-04-11,519.00,522.83,517.14,519.61,9704200,519.61
2014-04-10,530.68,532.24,523.17,523.48,8530600,523.48
2014-04-09,522.64,530.49,522.02,530.32,7337800,530.32
2014-04-08,525.19,526.12,518.70,523.44,8697800,523.44
2014-04-07,528.02,530.90,521.89,523.47,10309000,523.47
2014-04-04,539.81,540.00,530.58,531.82,9830400,531.82
2014-04-03,541.39,542.50,537.64,538.79,5798000,538.79
2014-04-02,542.38,543.48,540.26,542.55,6443600,542.55
2014-04-01,537.76,541.87,536.77,541.65,7170000,541.65
2014-03-31,539.23,540.81,535.93,536.74,6023900,536.74
2014-03-28,538.32,538.94,534.25,536.86,7163000,536.86
2014-03-27,540.02,541.50,535.12,537.46,7929700,537.46
2014-03-26,546.52,549.00,538.86,539.78,10706000,539.78
2014-03-25,541.50,545.75,539.59,544.99,10081900,544.99
2014-03-24,538.42,540.50,535.06,539.19,12703600,539.19
2014-03-21,531.93,533.75,526.33,532.87,13358800,532.87
2014-03-20,529.89,532.67,527.35,528.70,7442800,528.70
2014-03-19,532.26,536.24,529.00,531.26,8027000,531.26
2014-03-18,525.90,531.97,525.20,531.40,7487400,531.40
2014-03-17,527.70,529.97,525.85,526.74,7126600,526.74
2014-03-14,528.79,530.89,523.00,524.69,8471400,524.69
2014-03-13,537.44,539.66,529.16,530.65,9205100,530.65
2014-03-12,534.51,537.35,532.00,536.61,7118800,536.61
2014-03-11,535.45,538.74,532.59,536.09,9972300,536.09
2014-03-10,528.36,533.33,528.34,530.92,6378000,530.92
2014-03-07,531.09,531.98,526.05,530.44,7883200,530.44
2014-03-06,532.79,534.44,528.10,530.75,6624600,530.75
2014-03-05,530.92,534.75,529.13,532.36,7145100,532.36
2014-03-04,531.00,532.64,527.77,531.24,9255000,531.24
2014-03-03,523.42,530.65,522.81,527.76,8527900,527.76
2014-02-28,529.08,532.75,522.12,526.24,13284600,526.24
2014-02-27,517.14,528.78,516.05,527.67,10781500,527.67
2014-02-26,523.61,525.00,515.60,517.35,9864900,517.35
2014-02-25,529.38,529.57,521.00,522.06,8284000,522.06
2014-02-24,523.15,529.92,522.42,527.55,10318200,527.55
2014-02-21,532.79,534.57,524.60,525.25,9956600,525.25
2014-02-20,532.99,537.00,529.00,531.15,10923500,531.15
2014-02-19,544.75,546.89,534.35,537.37,11206000,537.37
2014-02-18,546.00,551.19,545.61,545.99,9294700,545.99
2014-02-14,542.47,545.98,541.21,543.99,9747300,543.99
2014-02-13,534.66,544.85,534.20,544.43,10978500,544.43
2014-02-12,536.95,539.56,533.24,535.92,11003600,535.92
2014-02-11,530.61,537.75,529.50,535.96,10080600,535.96
2014-02-10,518.66,531.99,518.00,528.99,12341400,528.99
2014-02-07,521.38,522.93,517.38,519.68,13224300,519.68
2014-02-06,510.06,513.50,507.81,512.51,9205900,512.51
2014-02-05,506.56,515.28,506.25,512.59,11726600,509.54
2014-02-04,505.85,509.46,502.76,508.79,13452900,505.76
2014-02-03,502.61,507.73,499.30,501.53,14338000,498.55
