Date,Open,High,Low,Close,Volume,Adj Close
2014-04-14,18.84,19.00,18.73,18.83,11703900,18.83
2014-04-11,18.80,19.15,18.58,18.62,8482300,18.62
2014-04-10,19.09,19.17,18.69,18.79,9866300,18.79
2014-04-09,18.57,19.22,18.50,18.93,10035000,18.93
2014-04-08,18.70,18.85,18.55,18.79,7522600,18.79
2014-04-07,18.40,18.62,18.22,18.35,6474000,18.35
2014-04-04,18.89,19.01,18.38,18.48,9460700,18.48
2014-04-03,18.45,18.46,18.16,18.35,10580300,18.35
2014-04-02,18.25,18.76,18.25,18.62,14418500,18.62
2014-04-01,17.93,18.09,17.74,17.89,8008000,17.89
2014-03-31,18.18,18.29,17.75,17.83,10144600,17.83
2014-03-28,18.01,18.46,17.80,18.30,12542500,18.30
2014-03-27,17.83,18.24,17.72,18.08,12531300,18.08
2014-03-26,18.51,18.63,17.84,17.88,15661600,17.88
2014-03-25,18.62,18.80,18.38,18.52,8651600,18.52
2014-03-24,19.15,19.20,18.35,18.53,15150300,18.53
2014-03-21,19.69,19.70,19.17,19.40,16002500,19.40
2014-03-20,19.19,19.63,19.10,19.42,9341000,19.42
2014-03-19,19.90,20.01,19.33,19.39,13300000,19.39
2014-03-18,19.97,20.38,19.96,20.22,11402600,20.22
2014-03-17,20.78,20.89,20.44,20.45,10722200,20.45
2014-03-14,21.00,21.10,20.65,20.91,12194000,20.91
2014-03-13,20.36,20.86,20.22,20.79,12390200,20.79
2014-03-12,20.11,20.38,20.04,20.34,10076200,20.34
2014-03-11,19.86,20.01,19.74,19.82,10476900,19.82
2014-03-10,19.92,19.93,19.58,19.75,7728000,19.75
2014-03-07,19.88,20.09,19.71,19.91,11147500,19.91
2014-03-06,20.52,20.57,20.23,20.35,10918600,20.35
2014-03-05,20.42,20.66,20.13,20.38,10306100,20.38
2014-03-04,20.36,20.60,20.21,20.36,9318100,20.36
2014-03-03,20.94,21.02,20.44,20.50,11817000,20.50
2014-02-28,20.72,20.80,20.30,20.38,12270100,20.38
2014-02-27,20.78,21.11,20.52,20.70,11472100,20.70
2014-02-26,20.92,21.07,20.48,20.79,13212600,20.79
2014-02-25,21.20,21.45,21.02,21.08,12230900,21.03
2014-02-24,21.24,21.38,20.98,21.23,15749100,21.18
2014-02-21,20.98,21.21,20.74,20.95,13874800,20.90
2014-02-20,20.18,21.03,19.81,20.98,19645300,20.93
2014-02-19,20.32,20.66,19.68,19.77,14044300,19.72
2014-02-18,20.83,20.84,20.16,20.36,13883800,20.31
2014-02-14,20.50,20.74,20.08,20.34,19717500,20.29
2014-02-13,19.17,20.22,19.13,20.09,21827900,20.04
2014-02-12,19.65,19.69,18.81,18.97,18589200,18.93
2014-02-11,19.43,19.72,19.28,19.57,13500600,19.52
2014-02-10,19.13,19.41,19.10,19.28,10776800,19.23
2014-02-07,18.60,18.99,18.55,18.89,10385700,18.85
2014-02-06,18.67,18.80,18.34,18.50,7270400,18.46
2014-02-05,19.21,19.32,18.54,18.56,14268100,18.52
2014-02-04,19.17,19.30,19.01,19.15,13351500,19.10
2014-02-03,19.48,19.76,19.28,19.30,17360300,19.25
2014-01-31,19.33,19.57,19.06,19.28,16130300,19.23
2014-01-30,18.85,19.37,18.75,19.22,17025000,19.17
2014-01-29,19.11,19.60,19.07,19.52,20759800,19.47
2014-01-28,18.62,18.88,18.49,18.80,11698900,18.76
2014-01-27,18.87,18.93,18.47,18.53,13700000,18.49
2014-01-24,19.46,19.95,18.71,19.03,22899500,18.98
2014-01-23,19.09,19.60,19.08,19.31,18033900,19.26
2014-01-22,19.00,19.00,18.67,18.80,11668400,18.76
2014-01-21,18.76,19.30,18.62,19.25,18186700,19.20
2014-01-17,18.45,18.90,18.45,18.77,19137300,18.73
2014-01-16,18.19,18.30,17.95,18.21,8824300,18.17
2014-01-15,17.64,18.13,17.58,18.04,8504400,18.00
2014-01-14,18.09,18.27,17.69,17.80,12127200,17.76
2014-01-13,18.13,18.20,17.69,18.17,13278200,18.13
2014-01-10,18.02,18.40,17.91,18.18,15409700,18.14
2014-01-09,17.91,17.94,17.68,17.74,10538600,17.70
2014-01-08,18.11,18.11,17.78,17.96,13334700,17.92
2014-01-07,18.19,18.30,17.95,18.27,10197600,18.23
2014-01-06,18.45,18.56,18.17,18.35,11572400,18.31
2014-01-03,18.43,18.52,18.08,18.15,13974300,18.11
2014-01-02,17.96,18.35,17.91,18.31,17437300,18.27
2013-12-31,16.98,17.65,16.90,17.63,13362600,17.59
2013-12-30,17.32,17.60,17.08,17.11,12358400,17.07
2013-12-27,17.39,17.47,17.26,17.46,7344500,17.42
2013-12-26,17.41,17.63,17.13,17.29,9427900,17.25
2013-12-24,16.72,17.34,16.71,17.29,9338000,17.25
2013-12-23,16.68,16.74,16.36,16.67,11577900,16.63
2013-12-20,16.71,16.84,16.55,16.58,27821300,16.54
2013-12-19,16.50,16.82,16.44,16.58,17758400,16.54
2013-12-18,17.19,17.38,16.89,16.91,22478500,16.87
2013-12-17,16.99,17.24,16.87,17.20,15641100,17.16
2013-12-16,16.81,17.23,16.62,17.05,15207800,17.01
2013-12-13,16.64,16.98,16.51,16.74,15426700,16.70
2013-12-12,15.95,16.51,15.94,16.46,15321000,16.42
2013-12-11,16.85,16.88,16.32,16.38,15990000,16.34
2013-12-10,16.55,17.00,16.51,16.87,21759600,16.83
2013-12-09,15.63,16.16,15.61,16.00,17704600,15.96
2013-12-06,15.49,15.68,15.35,15.40,13779400,15.36
2013-12-05,15.47,15.82,15.32,15.43,16348300,15.39
2013-12-04,15.61,15.85,15.26,15.68,26336700,15.64
2013-12-03,15.52,15.81,15.42,15.51,16259200,15.47
2013-12-02,16.25,16.48,15.53,15.54,19954800,15.50
2013-11-29,16.58,16.67,16.44,16.49,5895800,16.45
2013-11-27,16.45,16.60,16.19,16.36,11241600,16.32
