Date,Open,High,Low,Close,Volume,Adj Close
2014-04-14,39.61,39.78,38.63,38.91,514000,38.91
2014-04-11,40.10,40.59,39.21,39.43,887900,39.43
2014-04-10,40.74,41.69,40.04,40.47,1051100,40.47
2014-04-09,39.60,40.55,39.42,40.43,874800,40.43
2014-04-08,38.92,39.77,38.60,39.41,1940500,39.41
2014-04-07,40.64,40.86,38.20,39.00,1714200,39.00
2014-04-04,42.01,42.22,40.72,40.76,680300,40.76
2014-04-03,42.30,42.38,41.43,41.81,883800,41.81
2014-04-02,42.42,42.53,41.73,42.27,378200,42.27
2014-04-01,42.34,42.95,41.60,42.34,973600,42.34
2014-03-31,41.72,42.30,41.54,42.19,675100,42.19
2014-03-28,40.60,42.31,40.40,41.66,914200,41.66
2014-03-27,39.45,40.48,39.13,40.40,651000,40.40
2014-03-26,40.88,41.26,39.45,39.53,1330500,39.53
2014-03-25,40.62,41.88,40.45,40.71,853200,40.71
2014-03-24,40.12,40.47,39.39,40.43,701600,40.43
2014-03-21,40.96,41.01,40.00,40.12,943000,40.12
2014-03-20,40.34,40.74,39.99,40.57,487400,40.57
2014-03-19,40.74,41.08,40.27,40.48,859000,40.48
2014-03-18,40.35,40.67,40.11,40.38,785600,40.38
2014-03-17,40.32,40.68,40.29,40.40,615400,40.40
2014-03-14,40.01,40.68,39.86,40.13,700700,40.13
2014-03-13,41.39,41.66,39.92,40.13,651500,40.13
2014-03-12,41.45,41.45,40.60,41.27,554900,41.27
2014-03-11,42.94,43.20,41.47,41.63,542000,41.63
2014-03-10,42.39,43.11,41.99,42.84,921000,42.84
2014-03-07,42.69,43.33,42.17,42.34,853000,42.34
2014-03-06,42.40,42.67,42.06,42.43,787700,42.43
2014-03-05,42.45,42.69,42.01,42.24,612900,42.24
2014-03-04,42.42,42.79,41.51,42.66,972400,42.66
2014-03-03,42.57,42.57,41.09,41.82,1911500,41.82
2014-02-28,42.75,43.69,42.66,43.00,1052300,43.00
2014-02-27,42.96,42.96,41.67,42.58,1060900,42.58
2014-02-26,42.70,43.06,41.89,42.76,2429100,42.76
2014-02-25,42.27,42.39,41.49,41.67,890600,41.67
2014-02-24,41.69,43.16,41.26,41.82,2192600,41.82
2014-02-21,40.22,41.55,39.62,41.41,3817800,41.41
2014-02-20,36.60,39.86,36.59,39.60,2468200,39.60
2014-02-19,39.18,39.68,38.48,38.81,1356200,38.81
2014-02-18,38.92,39.57,38.75,39.26,1330400,39.26
2014-02-14,38.54,38.86,38.16,38.75,1085400,38.75
2014-02-13,38.52,38.99,38.11,38.90,691400,38.90
2014-02-12,38.71,39.78,38.54,38.87,1036300,38.87
2014-02-11,37.95,39.23,37.95,38.85,1329200,38.85
2014-02-10,38.51,38.64,37.86,38.08,604600,38.08
2014-02-07,38.99,39.21,38.23,38.44,1091600,38.44
2014-02-06,37.92,39.38,37.57,39.03,2008000,39.03
2014-02-05,38.23,38.59,37.60,37.96,1978200,37.96
2014-02-04,36.44,38.61,36.44,38.56,1979400,38.56
2014-02-03,37.03,37.16,36.09,36.53,894500,36.53
2014-01-31,37.54,38.02,36.77,37.19,2068800,37.19
2014-01-30,38.51,38.82,37.81,37.82,1554100,37.82
2014-01-29,37.10,38.55,36.04,38.27,2481000,38.27
2014-01-28,35.40,37.16,35.22,37.10,1008700,37.10
2014-01-27,34.61,35.83,34.38,35.40,1286600,35.40
2014-01-24,35.82,35.82,34.42,34.71,1815500,34.71
2014-01-23,36.36,36.40,35.71,35.75,1267500,35.75
2014-01-22,35.99,36.49,35.91,36.31,1707300,36.31
2014-01-21,35.98,36.26,35.77,36.18,1694600,36.18
2014-01-17,35.52,36.47,35.37,36.00,1995400,36.00
2014-01-16,35.78,36.10,35.16,35.30,1608800,35.30
2014-01-15,35.31,36.08,35.31,35.80,1454500,35.80
2014-01-14,36.09,36.15,35.26,35.97,1141600,35.97
2014-01-13,35.57,36.12,35.49,35.70,1031200,35.70
2014-01-10,35.77,36.31,35.41,36.05,1386700,36.05
2014-01-09,35.68,35.92,35.34,35.63,738600,35.63
2014-01-08,35.68,36.19,35.37,35.83,704900,35.83
2014-01-07,36.17,36.22,35.40,35.69,962100,35.69
2014-01-06,36.10,36.52,35.51,35.82,1335500,35.82
2014-01-03,37.25,37.76,35.64,36.11,2144000,36.11
