Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,16.14,16.25,15.93,16.15,104529100,16.15
2014-04-16,16.20,16.22,15.78,16.13,172802200,16.13
2014-04-15,16.09,16.41,15.96,16.39,134537700,16.39
2014-04-14,16.05,16.22,15.78,16.00,99019600,16.00
2014-04-11,15.86,16.13,15.62,15.77,133557000,15.77
2014-04-10,16.62,16.62,16.10,16.12,97343900,16.12
2014-04-09,16.55,16.63,16.35,16.62,82846000,16.62
2014-04-08,16.37,16.50,16.25,16.44,75377200,16.44
2014-04-07,16.69,16.70,16.19,16.38,128705800,16.38
2014-04-04,17.21,17.22,16.70,16.72,110409600,16.72
2014-04-03,17.21,17.24,17.03,17.15,56245700,17.15
2014-04-02,17.35,17.38,17.13,17.23,65349000,17.23
2014-04-01,17.28,17.40,17.26,17.34,57423800,17.34
2014-03-31,17.15,17.27,17.12,17.20,62115800,17.20
2014-03-28,17.09,17.15,16.85,16.98,79909500,16.98
2014-03-27,17.28,17.49,16.83,17.01,175139500,17.01
2014-03-26,17.38,17.40,17.18,17.18,97573700,17.18
2014-03-25,17.49,17.58,17.20,17.21,98348600,17.21
2014-03-24,17.62,17.65,17.30,17.37,118500000,17.37
2014-03-21,18.03,18.03,17.56,17.56,155721000,17.56
2014-03-20,17.44,18.00,17.43,17.92,167048700,17.92
2014-03-19,17.16,17.49,17.12,17.44,105006500,17.44
2014-03-18,17.14,17.22,17.07,17.19,67402400,17.19
2014-03-17,16.98,17.17,16.97,17.11,79942200,17.11
2014-03-14,17.08,17.22,16.76,16.80,131297200,16.80
2014-03-13,17.34,17.47,17.07,17.16,100875700,17.16
2014-03-12,17.18,17.33,17.07,17.28,83309200,17.28
2014-03-11,17.51,17.52,17.25,17.27,90183400,17.27
2014-03-10,17.27,17.47,17.25,17.47,81732700,17.47
2014-03-07,17.54,17.59,17.25,17.33,109547100,17.33
2014-03-06,17.42,17.63,17.31,17.35,138078900,17.35
2014-03-05,16.79,17.31,16.78,17.25,207180000,17.25
2014-03-04,16.48,16.74,16.43,16.73,100849900,16.72
2014-03-03,16.30,16.41,16.19,16.30,87526800,16.29
2014-02-28,16.49,16.65,16.35,16.53,126252100,16.52
2014-02-27,16.27,16.49,16.21,16.49,71314500,16.48
2014-02-26,16.36,16.40,16.13,16.33,89831600,16.32
2014-02-25,16.50,16.56,16.32,16.34,81457000,16.33
2014-02-24,16.30,16.63,16.30,16.53,102909600,16.52
2014-02-21,16.29,16.49,16.25,16.29,106236900,16.28
2014-02-20,16.22,16.36,16.18,16.30,107425900,16.29
2014-02-19,16.38,16.45,16.18,16.20,137734500,16.19
2014-02-18,16.70,16.74,16.47,16.47,121778600,16.46
2014-02-14,16.74,16.76,16.65,16.70,100684300,16.69
2014-02-13,16.65,16.82,16.63,16.75,95756900,16.74
2014-02-12,16.87,16.91,16.65,16.75,96948900,16.74
2014-02-11,16.73,16.92,16.64,16.88,92617500,16.87
2014-02-10,16.71,16.73,16.60,16.72,95792500,16.71
2014-02-07,16.82,16.88,16.63,16.82,122571100,16.81
2014-02-06,16.45,16.73,16.44,16.69,110029100,16.68
2014-02-05,16.31,16.45,16.15,16.40,110576200,16.39
2014-02-04,16.49,16.56,16.26,16.35,125337000,16.34
2014-02-03,16.77,16.88,16.30,16.35,159981200,16.34
