Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,7.18,7.27,7.12,7.15,7246400,7.15
2014-04-16,7.35,7.37,7.10,7.15,8326700,7.15
2014-04-15,7.10,7.28,7.05,7.21,10674000,7.21
2014-04-14,7.40,7.40,7.01,7.14,17798800,7.14
2014-04-11,7.58,7.68,7.23,7.28,17199200,7.28
2014-04-10,8.00,8.02,7.63,7.67,16034000,7.67
2014-04-09,8.04,8.10,7.90,7.96,8816100,7.96
2014-04-08,7.91,8.16,7.89,7.96,14578900,7.96
2014-04-07,7.99,8.10,7.75,7.86,14462600,7.86
2014-04-04,8.25,8.29,7.99,8.00,12904900,8.00
2014-04-03,8.26,8.44,8.10,8.22,13182900,8.22
2014-04-02,8.05,8.28,8.05,8.21,12966000,8.21
2014-04-01,8.16,8.21,7.89,8.10,19894000,8.10
2014-03-31,8.30,8.35,7.87,8.08,41331900,8.08
2014-03-28,9.20,9.64,8.21,8.41,74726600,8.41
2014-03-27,9.14,9.21,8.77,9.05,36352100,9.05
2014-03-26,9.36,9.43,9.14,9.16,19747500,9.16
2014-03-25,9.42,9.61,9.23,9.36,13856700,9.36
2014-03-24,9.15,9.40,9.12,9.38,15814300,9.38
2014-03-21,9.66,9.67,9.13,9.18,17042800,9.18
2014-03-20,9.50,9.71,9.36,9.42,15810500,9.42
2014-03-19,9.28,9.64,9.22,9.55,17137400,9.55
2014-03-18,9.12,9.28,9.11,9.20,6487900,9.20
2014-03-17,9.36,9.42,9.05,9.17,12948700,9.17
2014-03-14,9.05,9.32,9.00,9.31,19268600,9.31
2014-03-13,9.25,9.56,9.00,9.05,20108400,9.05
2014-03-12,9.23,9.34,9.15,9.22,18379700,9.22
2014-03-11,9.65,9.74,9.29,9.31,16219900,9.31
2014-03-10,9.99,10.06,9.61,9.67,15237100,9.67
2014-03-07,10.15,10.18,9.90,9.91,10987900,9.91
2014-03-06,10.16,10.27,10.02,10.04,9130400,10.04
2014-03-05,10.20,10.26,10.05,10.10,18571400,10.10
2014-03-04,10.49,10.75,10.26,10.34,32416200,10.34
2014-03-03,9.73,10.44,9.66,10.37,26633900,10.37
2014-02-28,10.48,10.55,9.95,10.00,20308600,10.00
2014-02-27,10.27,10.70,10.27,10.49,14975600,10.49
2014-02-26,10.68,10.76,10.21,10.33,28989100,10.33
2014-02-25,10.38,10.90,10.25,10.60,55137400,10.60
2014-02-24,9.48,10.10,9.43,9.83,55453000,9.83
2014-02-21,9.41,9.42,9.13,9.14,12645700,9.14
2014-02-20,9.45,9.57,9.27,9.35,34176900,9.35
2014-02-19,9.41,9.46,8.99,9.01,23300000,9.01
2014-02-18,9.36,9.65,9.24,9.46,30259700,9.46
2014-02-14,9.27,9.33,8.95,8.98,20033000,8.98
