Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,3.67,3.87,3.58,3.78,4036400,3.78
2014-04-16,3.73,3.76,3.52,3.66,2452300,3.66
2014-04-15,3.90,3.97,3.41,3.65,5706800,3.65
2014-04-14,4.05,4.10,3.82,3.89,3784100,3.89
2014-04-11,3.99,4.01,3.80,3.93,6098900,3.93
2014-04-10,4.21,4.31,4.05,4.14,4434500,4.14
2014-04-09,4.30,4.34,4.11,4.20,3672400,4.20
2014-04-08,4.07,4.32,3.95,4.30,6615500,4.30
2014-04-07,4.26,4.27,3.90,3.94,7354700,3.94
2014-04-04,4.54,4.60,4.20,4.33,6898800,4.33
2014-04-03,4.76,4.80,4.41,4.53,9241700,4.53
2014-04-02,4.58,5.17,4.54,4.87,26375100,4.87
2014-04-01,4.37,4.55,4.25,4.49,7303600,4.49
2014-03-31,4.39,4.54,4.25,4.40,7888100,4.40
2014-03-28,4.39,4.47,4.16,4.29,7151300,4.29
2014-03-27,4.33,4.49,4.04,4.38,8225000,4.38
2014-03-26,4.86,5.06,4.15,4.17,23224100,4.17
2014-03-25,4.18,5.40,4.09,5.40,25674800,5.40
2014-03-24,4.42,4.55,4.01,4.09,7629000,4.09
2014-03-21,4.22,4.39,3.84,4.33,15522500,4.33
2014-03-20,4.65,4.81,4.25,4.32,9220700,4.32
2014-03-19,4.70,4.98,4.58,4.66,10944200,4.66
2014-03-18,5.03,5.14,4.74,4.76,13773600,4.76
2014-03-17,6.04,6.05,4.93,5.19,17121400,5.19
2014-03-14,5.71,6.24,5.31,5.69,19760500,5.69
2014-03-13,5.88,6.39,5.47,5.98,31025600,5.98
2014-03-12,4.93,5.76,4.16,5.36,32605900,5.36
2014-03-11,7.61,8.38,5.01,5.10,74931000,5.10
2014-03-10,5.96,7.38,5.64,6.88,51343900,6.88
2014-03-07,5.20,5.59,5.00,5.28,22671100,5.28
2014-03-06,5.05,5.35,4.94,5.08,13058000,5.08
2014-03-05,5.86,5.89,5.06,5.36,23423500,5.36
2014-03-04,4.75,5.72,4.65,5.36,38316900,5.36
2014-03-03,3.47,4.47,3.37,4.23,15337400,4.23
2014-02-28,3.60,3.88,3.60,3.70,9315000,3.70
2014-02-27,3.25,3.75,3.16,3.58,11672800,3.58
2014-02-26,3.10,3.37,3.07,3.35,12107900,3.35
2014-02-25,2.81,3.11,2.71,2.93,8457900,2.93
2014-02-24,2.42,2.82,2.42,2.82,6302500,2.82
2014-02-21,2.33,2.45,2.31,2.43,1425100,2.43
2014-02-20,2.35,2.37,2.25,2.30,2019000,2.30
2014-02-19,2.38,2.42,2.37,2.38,1466000,2.38
2014-02-18,2.45,2.50,2.39,2.39,2339700,2.39
2014-02-14,2.41,2.47,2.37,2.40,2140300,2.40
2014-02-13,2.35,2.45,2.32,2.37,1917800,2.37
2014-02-12,2.28,2.42,2.26,2.37,2567400,2.37
2014-02-11,2.26,2.28,2.20,2.27,1271300,2.27
2014-02-10,2.19,2.26,2.13,2.24,2819600,2.24
2014-02-07,2.06,2.11,2.04,2.05,635900,2.05
2014-02-06,2.02,2.12,2.02,2.06,1195400,2.06
2014-02-05,2.13,2.14,2.00,2.02,1383500,2.02
2014-02-04,2.02,2.13,1.95,2.13,2001100,2.13
2014-02-03,2.21,2.21,2.00,2.05,1837600,2.05
