Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,4.71,4.88,4.58,4.73,2038900,4.73
2014-04-16,4.72,4.85,4.60,4.76,1706600,4.76
2014-04-15,4.75,5.00,4.28,4.66,3524100,4.66
2014-04-14,4.95,5.18,4.49,4.72,3303500,4.72
2014-04-11,5.13,5.30,4.86,4.92,3020800,4.92
2014-04-10,5.54,5.55,5.17,5.22,2352100,5.22
2014-04-09,5.33,5.55,5.30,5.54,1942600,5.54
2014-04-08,5.40,5.52,5.26,5.33,1398100,5.33
2014-04-07,5.28,5.51,5.11,5.42,2302800,5.42
2014-04-04,5.57,5.64,5.26,5.32,2670000,5.32
2014-04-03,5.76,5.85,5.51,5.55,1825100,5.55
2014-04-02,5.72,5.80,5.58,5.75,1793600,5.75
2014-04-01,5.55,5.80,5.54,5.73,1985300,5.73
2014-03-31,5.41,5.58,5.37,5.52,2907700,5.52
2014-03-28,5.43,5.59,5.28,5.38,1955100,5.38
2014-03-27,5.54,5.67,5.31,5.43,3501900,5.43
2014-03-26,5.78,5.89,5.55,5.58,2051900,5.58
2014-03-25,5.81,5.99,5.62,5.75,1940500,5.75
2014-03-24,6.29,6.29,5.65,5.82,2613200,5.82
2014-03-21,6.19,6.20,5.86,6.10,8656000,6.10
2014-03-20,6.27,6.33,6.05,6.14,2082000,6.14
2014-03-19,6.26,6.40,6.16,6.26,2805900,6.26
2014-03-18,5.97,6.24,5.95,6.24,3283800,6.24
2014-03-17,5.96,6.15,5.87,5.94,3032200,5.94
2014-03-14,5.83,6.03,5.63,5.86,3404900,5.86
2014-03-13,5.26,6.11,5.13,5.95,11853900,5.95
2014-03-12,5.42,5.43,5.10,5.22,4132200,5.22
2014-03-11,5.60,5.73,5.36,5.44,2499800,5.44
2014-03-10,5.68,5.70,5.51,5.60,1308500,5.60
2014-03-07,5.70,5.71,5.53,5.67,1740300,5.67
2014-03-06,5.68,5.74,5.55,5.68,2510500,5.68
2014-03-05,5.72,5.75,5.62,5.71,1483800,5.71
2014-03-04,5.64,5.78,5.62,5.71,1998500,5.71
2014-03-03,5.50,5.68,5.47,5.57,2482100,5.57
2014-02-28,5.74,5.82,5.58,5.71,3068500,5.71
2014-02-27,5.50,5.74,5.50,5.72,2826100,5.72
2014-02-26,5.68,5.70,5.52,5.56,4444900,5.56
2014-02-25,5.82,5.84,5.60,5.72,5875800,5.72
2014-02-24,6.13,6.27,5.91,5.96,6594100,5.96
2014-02-21,6.00,6.06,5.87,6.04,5470300,6.04
2014-02-20,6.10,6.13,5.79,5.95,8697700,5.95
2014-02-19,6.65,6.83,5.95,6.16,44825900,6.16
2014-02-18,5.06,5.30,4.80,4.95,13460600,4.95
2014-02-14,5.00,5.63,3.65,4.73,20631500,4.73
2014-02-13,5.30,5.33,4.88,4.94,10100200,4.94
2014-02-12,5.26,5.48,5.21,5.34,7609300,5.34
2014-02-11,5.38,5.58,4.95,5.19,9451100,5.19
