Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,18.65,18.88,18.47,18.65,4751700,18.65
2014-04-16,19.37,19.40,18.54,18.70,5378200,18.70
2014-04-15,19.16,19.42,18.67,19.15,6347100,19.15
2014-04-14,19.59,19.85,19.31,19.39,4652900,19.39
2014-04-11,20.20,20.27,19.37,19.58,4965300,19.58
2014-04-10,20.49,20.52,19.86,20.23,4943900,20.23
2014-04-09,21.00,21.05,20.24,20.43,4731300,20.43
2014-04-08,20.26,21.25,20.24,20.87,7486800,20.87
2014-04-07,20.50,20.85,19.84,19.97,5693300,19.97
2014-04-04,20.50,21.15,20.37,20.53,5650900,20.53
2014-04-03,20.34,20.83,20.07,20.27,9569700,20.27
2014-04-02,19.87,20.70,19.72,20.44,7209300,20.44
2014-04-01,20.63,20.70,19.77,20.04,39772500,20.04
2014-03-31,20.47,20.86,20.39,20.46,5102100,20.46
2014-03-28,19.80,20.49,19.68,20.00,5209400,20.00
2014-03-27,18.85,19.78,18.85,19.72,5466100,19.72
2014-03-26,19.87,19.87,19.12,19.26,3809600,19.26
2014-03-25,19.95,19.98,19.60,19.66,4356200,19.66
2014-03-24,19.65,19.96,19.34,19.60,4193100,19.60
2014-03-21,19.16,19.69,18.83,19.69,7069200,19.69
2014-03-20,18.65,18.97,18.37,18.63,5412200,18.63
2014-03-19,19.23,19.32,18.90,19.01,3506300,19.01
2014-03-18,18.81,19.39,18.57,19.35,4903000,19.35
2014-03-17,18.63,18.87,18.45,18.80,3607300,18.80
2014-03-14,18.43,18.56,18.17,18.38,4295300,18.38
2014-03-13,18.60,18.90,18.01,18.24,4976500,18.24
2014-03-12,18.08,18.93,17.95,18.41,7325900,18.41
2014-03-11,18.14,18.55,17.94,17.98,9232900,17.98
2014-03-10,18.10,18.28,17.40,17.95,12232100,17.95
2014-03-07,19.18,19.18,18.50,18.65,10678900,18.65
2014-03-06,19.27,19.48,19.07,19.10,8221300,19.10
2014-03-05,19.19,19.38,18.93,19.10,6561700,19.10
2014-03-04,19.37,19.44,18.99,19.15,12294800,19.15
2014-03-03,19.75,19.78,19.50,19.55,6527300,19.55
2014-02-28,20.66,20.66,19.98,20.03,6671200,20.03
2014-02-27,20.15,20.60,19.90,20.36,6984200,20.36
2014-02-26,20.28,20.50,19.59,19.81,10245900,19.81
2014-02-25,20.95,20.95,20.25,20.32,10707900,20.32
2014-02-24,21.89,21.91,21.16,21.34,8634700,21.34
2014-02-21,21.41,21.98,21.08,21.97,9412800,21.97
2014-02-20,21.79,21.90,21.36,21.44,7241800,21.44
2014-02-19,22.63,22.65,21.92,21.96,7568100,21.96
2014-02-18,23.44,23.49,22.77,22.88,5981600,22.73
2014-02-14,23.07,23.53,22.75,23.16,13712100,23.01
2014-02-13,21.83,22.10,21.53,21.90,6621800,21.76
2014-02-12,22.87,22.95,21.70,21.99,13028300,21.85
2014-02-11,20.63,21.69,20.60,21.50,8972700,21.36
2014-02-10,21.03,21.06,20.40,20.58,5725700,20.45
2014-02-07,20.89,21.00,20.35,20.82,8404000,20.68
2014-02-06,19.41,20.84,19.37,20.81,11859500,20.67
2014-02-05,18.78,19.69,18.42,19.23,8772400,19.10
2014-02-04,18.95,19.07,18.57,18.82,8567600,18.70
2014-02-03,19.40,19.50,18.81,18.86,7627700,18.74
