Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,582.70,588.69,518.52,519.61,3882500,519.61
2014-04-16,545.00,553.60,540.00,552.40,631500,552.40
2014-04-15,543.24,549.65,532.00,540.54,487900,540.54
2014-04-14,540.49,546.50,534.11,540.98,442000,540.98
2014-04-11,528.02,543.50,526.75,534.87,988000,534.87
2014-04-10,555.09,556.14,533.93,534.01,600000,534.01
2014-04-09,552.26,556.80,547.06,556.40,410400,556.40
2014-04-08,540.00,552.99,539.13,550.73,579300,550.73
2014-04-07,550.00,554.99,529.20,535.59,804100,535.59
2014-04-04,571.00,571.30,551.04,555.16,687100,555.16
2014-04-03,579.02,582.84,565.50,570.89,411000,570.89
2014-04-02,582.55,582.56,572.20,576.21,297200,576.21
2014-04-01,568.01,580.25,568.01,578.97,313000,578.97
2014-03-31,570.74,570.98,565.00,568.05,442000,568.05
2014-03-28,561.50,573.99,560.80,567.17,538400,567.17
2014-03-27,564.00,566.07,554.25,559.18,554900,559.18
2014-03-26,573.45,575.95,563.78,563.88,582700,563.88
2014-03-25,590.12,593.10,565.50,570.68,979800,570.68
2014-03-24,610.21,613.09,585.58,588.54,820000,588.54
2014-03-21,616.47,622.90,607.36,611.12,778400,611.12
2014-03-20,595.69,614.20,595.67,611.58,806700,611.58
2014-03-19,588.52,598.46,588.52,596.50,442700,596.50
2014-03-18,582.35,595.21,578.03,592.54,601200,592.54
2014-03-17,580.46,580.90,572.51,576.26,261700,576.26
2014-03-14,575.02,582.10,572.00,575.96,334000,575.96
2014-03-13,589.47,591.90,577.82,579.50,312200,579.50
2014-03-12,583.28,588.75,577.37,588.70,244900,588.70
2014-03-11,589.04,593.65,583.00,584.27,303500,584.27
2014-03-10,589.82,593.94,585.28,587.96,362000,587.96
2014-03-07,599.80,599.97,587.68,593.41,308100,593.41
2014-03-06,584.11,594.50,583.70,593.27,635900,593.27
2014-03-05,585.00,585.99,578.50,581.25,554800,581.25
2014-03-04,561.48,585.96,559.12,584.83,1003800,584.83
2014-03-03,561.00,563.95,551.70,554.60,527300,554.60
2014-02-28,562.25,573.16,559.49,565.21,676400,565.21
2014-02-27,551.64,562.00,551.64,561.14,305800,561.14
2014-02-26,557.06,563.48,550.13,555.12,550900,555.12
2014-02-25,557.05,560.44,553.35,554.62,336600,554.62
2014-02-24,550.95,556.60,549.16,554.38,279500,554.38
2014-02-21,551.38,555.20,548.57,549.49,408400,549.49
2014-02-20,551.11,554.95,548.51,550.28,305800,550.28
2014-02-19,553.82,560.85,551.06,552.18,417500,552.18
2014-02-18,551.17,556.39,550.39,552.86,303700,552.86
2014-02-14,552.00,558.97,547.00,554.11,330000,554.11
2014-02-13,539.61,561.51,539.00,557.65,533000,557.65
2014-02-12,548.95,551.76,539.61,545.74,485200,545.74
2014-02-11,548.28,551.80,544.02,544.86,410900,544.86
2014-02-10,552.48,552.48,543.00,548.09,344200,548.09
2014-02-07,543.28,550.55,540.06,549.29,494100,549.29
2014-02-06,542.61,554.85,542.05,544.47,449500,544.47
2014-02-05,538.81,544.49,531.00,542.43,498300,542.43
2014-02-04,546.46,546.74,536.46,540.59,556800,540.59
2014-02-03,550.21,553.78,535.35,543.20,1071100,543.20
2014-01-31,553.42,568.90,546.10,551.96,2134700,551.96
2014-01-30,486.96,499.43,485.40,493.96,1260500,493.96
2014-01-29,490.00,492.04,480.87,484.50,657600,484.50
2014-01-28,491.95,498.78,488.73,491.87,397900,491.87
2014-01-27,492.36,497.00,482.70,489.31,563200,489.31
2014-01-24,495.26,502.34,489.50,492.48,893200,492.48
2014-01-23,512.80,513.95,498.56,503.45,1062200,503.45
2014-01-22,528.53,529.00,513.29,515.95,623300,515.95
2014-01-21,531.71,531.76,523.21,525.57,386600,525.57
2014-01-17,535.64,535.64,526.08,527.61,403700,527.61
2014-01-16,532.87,534.19,527.81,529.51,260300,529.51
2014-01-15,534.00,535.29,529.80,532.25,243000,532.25
2014-01-14,531.98,533.47,526.42,530.28,373200,530.28
2014-01-13,539.71,544.49,526.37,529.80,510300,529.80
2014-01-10,542.08,544.87,536.71,538.57,379200,538.57
2014-01-09,536.95,548.14,536.15,541.03,529800,541.03
2014-01-08,529.50,536.19,528.09,535.85,411300,535.85
2014-01-07,528.80,535.70,526.37,533.06,308800,533.06
2014-01-06,534.72,534.72,523.08,527.32,415100,527.32
2014-01-03,524.00,534.01,523.48,531.31,409100,531.31
2014-01-02,530.00,532.96,521.53,523.43,456500,523.43
2013-12-31,533.80,534.07,529.51,532.78,197300,532.78
2013-12-30,530.33,534.59,528.01,532.04,263100,532.04
2013-12-27,536.84,536.84,529.65,530.75,238500,530.75
2013-12-26,532.59,535.76,530.44,535.43,210800,535.43
2013-12-24,529.99,534.00,529.99,533.11,104700,533.11
2013-12-23,535.50,537.00,527.94,531.03,349900,531.03
2013-12-20,517.28,533.77,515.86,533.14,861100,533.14
2013-12-19,517.00,521.23,514.00,514.58,321400,514.58
2013-12-18,510.05,517.00,506.44,516.89,327200,516.89
2013-12-17,515.79,518.00,509.35,512.64,288900,512.64
2013-12-16,514.70,517.36,511.45,515.38,374200,515.38
2013-12-13,518.51,520.99,511.28,512.85,349300,512.85
2013-12-12,516.32,522.54,514.62,515.02,281000,515.02
2013-12-11,523.31,523.94,516.33,517.57,252200,517.57
2013-12-10,525.92,525.92,520.24,521.53,229900,521.53
2013-12-09,525.71,529.99,525.01,527.32,278100,527.32
2013-12-06,521.00,526.25,519.59,525.81,212100,525.81
2013-12-05,518.20,525.00,517.11,521.01,249100,521.01
2013-12-04,520.55,522.63,516.01,518.11,321300,518.11
2013-12-03,523.33,524.99,521.26,522.64,229300,522.64
2013-12-02,521.50,526.60,520.49,524.50,238100,524.50
2013-11-29,525.24,529.72,523.19,523.86,160100,523.86
2013-11-27,526.21,527.08,523.12,525.00,307800,525.00
2013-11-26,532.16,532.77,525.00,525.00,392800,525.00
2013-11-25,537.55,540.94,530.88,532.31,201500,532.31
2013-11-22,544.00,544.00,536.48,537.48,221100,537.48
2013-11-21,534.90,542.00,531.20,539.22,382100,539.22
2013-11-20,536.00,542.51,528.46,531.66,254400,531.66
2013-11-19,539.00,541.81,537.73,538.16,246000,538.16
2013-11-18,547.23,550.28,535.16,537.51,274200,537.51
2013-11-15,545.99,549.50,544.88,546.97,309800,546.97
2013-11-14,534.30,544.67,534.30,543.92,255300,543.92
2013-11-13,534.55,538.38,533.11,537.58,216800,537.58
2013-11-12,535.76,537.73,532.00,535.42,226600,535.42
2013-11-11,535.71,537.24,534.00,536.44,164400,536.44
2013-11-08,527.80,536.80,525.49,535.20,428900,535.20
2013-11-07,540.01,540.01,524.67,525.02,652900,525.02
2013-11-06,543.21,546.80,537.76,539.63,465700,539.63
2013-11-05,535.03,543.68,533.21,543.05,412700,543.05
2013-11-04,529.50,536.56,526.58,535.18,364800,535.18
2013-11-01,526.78,529.89,524.90,527.60,367400,527.60
