Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,48.98,49.22,47.37,48.17,2696900,48.17
2014-04-16,48.50,49.00,46.42,48.79,4137000,48.79
2014-04-15,46.08,48.00,45.29,47.31,5271300,47.31
2014-04-14,48.39,48.50,45.44,46.26,7128400,46.26
2014-04-11,47.64,50.85,47.17,48.07,6548000,48.07
2014-04-10,54.88,54.88,48.51,48.78,8434000,48.78
2014-04-09,53.78,54.99,52.83,54.68,3050700,54.68
2014-04-08,52.10,54.30,51.96,52.95,3421800,52.95
2014-04-07,53.42,53.75,51.34,53.08,5898300,53.08
2014-04-04,57.47,57.50,54.74,55.34,4356400,55.34
2014-04-03,58.13,59.03,56.02,56.46,3630300,56.46
2014-04-02,58.73,59.20,57.47,58.19,3203700,58.19
2014-04-01,59.50,60.80,57.81,58.38,5708800,58.38
2014-03-31,58.44,60.50,58.44,59.15,3327200,59.15
2014-03-28,58.98,60.08,58.57,59.07,3014500,59.07
2014-03-27,56.60,58.60,55.77,58.56,2906800,58.56
2014-03-26,59.50,59.58,56.59,57.13,2648700,57.13
2014-03-25,58.48,60.88,58.16,58.45,3576800,58.45
2014-03-24,57.01,58.95,55.33,57.98,6157200,57.98
2014-03-21,60.49,60.61,55.26,56.81,11134200,56.81
2014-03-20,60.89,61.75,59.60,60.48,5104900,60.48
2014-03-19,64.21,64.21,61.85,62.68,2979800,62.68
2014-03-18,62.61,63.68,61.63,62.99,3887900,62.99
2014-03-17,60.85,61.89,60.10,61.29,3619500,61.29
2014-03-14,60.32,61.54,59.53,60.07,4559400,60.07
2014-03-13,62.58,63.87,59.50,60.72,6009200,60.72
2014-03-12,60.24,62.15,59.25,61.58,7466700,61.58
2014-03-11,64.50,64.90,61.70,62.09,6978900,62.09
2014-03-10,64.63,66.71,62.77,63.90,9501200,63.90
2014-03-07,68.83,68.83,65.63,67.31,6677300,67.31
2014-03-06,71.47,71.90,68.00,68.50,6920300,68.50
2014-03-05,74.48,75.37,70.28,71.30,6101400,71.30
2014-03-04,76.76,77.58,73.55,74.37,4844600,74.37
2014-03-03,73.72,76.59,73.02,74.86,5055800,74.86
2014-02-28,76.00,79.77,74.80,75.96,7938500,75.96
2014-02-27,75.68,76.75,74.24,74.66,4583500,74.66
2014-02-26,75.36,77.10,73.83,75.97,4468100,75.97
2014-02-25,74.90,76.16,73.38,75.85,4683400,75.85
2014-02-24,77.17,78.65,73.78,76.39,8999500,76.39
2014-02-21,81.40,82.65,79.44,80.74,4834500,80.74
2014-02-20,75.94,80.60,75.71,80.56,4741500,80.56
2014-02-19,78.17,78.26,75.68,76.08,4258600,76.08
2014-02-18,75.87,78.70,74.80,77.14,5361000,77.14
2014-02-14,72.26,74.73,71.50,73.83,5678500,73.83
2014-02-13,67.26,70.94,66.76,70.67,4883800,70.67
2014-02-12,67.85,67.96,64.46,67.17,5853800,67.17
2014-02-11,68.90,69.07,66.26,66.66,5064900,66.66
2014-02-10,67.30,68.48,66.09,67.55,5187300,67.55
2014-02-07,67.37,67.85,64.80,66.44,5195200,66.44
2014-02-06,61.94,67.18,60.25,64.76,9562700,64.76
2014-02-05,57.79,65.73,54.63,64.10,42236300,64.10
2014-02-04,74.73,76.05,73.27,75.76,3358900,75.76
2014-02-03,77.65,78.37,72.05,74.03,5423300,74.03
