Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,24.80,25.64,24.31,25.56,2506000,25.56
2014-04-16,24.19,25.23,24.00,24.80,3008400,24.80
2014-04-15,24.72,25.50,24.04,24.16,4659400,24.16
2014-04-14,22.62,23.20,21.89,22.78,3812300,22.78
2014-04-11,22.52,23.90,22.03,23.58,3505600,23.58
2014-04-10,20.97,22.75,20.82,22.62,5113600,22.62
2014-04-09,22.61,22.91,20.71,21.44,5307000,21.44
2014-04-08,22.50,23.07,21.81,21.94,4258500,21.94
2014-04-07,23.96,24.30,22.62,23.64,4445200,23.64
2014-04-04,22.56,24.10,22.51,23.76,4036700,23.76
2014-04-03,24.27,25.08,24.20,24.25,3903400,24.25
2014-04-02,24.28,24.35,23.10,23.80,4918700,23.80
2014-04-01,25.54,26.26,25.01,25.68,3363700,25.68
2014-03-31,24.86,26.36,24.20,25.84,5064900,25.84
2014-03-28,25.73,26.30,23.64,24.45,5957800,24.45
2014-03-27,26.53,27.15,25.08,25.36,5382600,25.36
2014-03-26,23.46,26.44,23.15,26.38,6563700,26.38
2014-03-25,23.31,23.93,22.76,23.54,4380200,23.54
2014-03-24,22.10,24.09,21.81,23.91,7412200,23.91
2014-03-21,20.23,21.66,20.03,21.09,4087700,21.09
2014-03-20,21.83,21.98,20.41,21.18,5439900,21.18
2014-03-19,19.59,21.30,19.35,21.23,9094800,21.23
2014-03-18,19.20,19.45,18.22,19.05,6310000,19.05
2014-03-17,17.05,18.35,16.88,18.28,7216400,18.28
2014-03-14,16.25,17.27,16.16,16.70,6595300,16.70
2014-03-13,18.52,18.68,16.88,16.94,8255900,16.94
2014-03-12,19.18,19.45,18.32,18.36,8547100,18.36
2014-03-11,19.86,20.58,19.71,20.18,3244000,20.18
2014-03-10,20.07,20.76,19.86,20.47,3370100,20.47
2014-03-07,19.73,20.32,19.63,20.00,6613400,20.00
2014-03-06,19.00,19.30,18.62,18.80,4117000,18.80
2014-03-05,20.25,20.56,19.39,19.50,4748300,19.50
2014-03-04,20.68,20.95,19.96,20.34,4007500,20.34
2014-03-03,19.03,20.10,18.87,19.91,6149500,19.91
2014-02-28,20.44,21.24,20.23,20.88,5207600,20.88
2014-02-27,20.28,20.85,19.54,20.69,5508100,20.69
2014-02-26,20.41,21.14,19.95,20.46,7157400,20.46
2014-02-25,19.17,19.95,18.94,19.82,5110300,19.82
2014-02-24,18.70,19.12,18.56,19.04,3262900,19.04
2014-02-21,19.17,20.07,18.84,19.29,5339600,19.29
2014-02-20,21.42,21.59,19.02,19.34,7967800,19.34
2014-02-19,20.39,21.98,19.75,21.63,7595800,21.63
2014-02-18,19.75,20.84,19.65,19.87,5712500,19.87
2014-02-14,20.08,20.99,19.42,20.23,8717200,20.23
2014-02-13,24.54,24.80,21.38,21.50,8358500,21.50
2014-02-12,22.49,24.81,22.45,24.60,6291600,24.60
2014-02-11,24.48,24.62,22.12,22.51,7073900,22.51
2014-02-10,27.02,27.02,25.13,25.40,5138100,25.40
2014-02-07,30.75,30.78,28.06,28.07,4485200,28.07
2014-02-06,30.29,31.45,29.90,30.96,2237300,30.96
2014-02-05,28.75,30.99,28.63,30.84,2735200,30.84
2014-02-04,31.01,31.19,29.50,29.51,2658200,29.51
2014-02-03,29.24,30.60,28.01,30.46,3273700,30.46
