Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,59.30,60.58,58.72,58.94,87985900,58.94
2014-04-16,59.79,60.19,57.74,59.72,78687500,59.72
2014-04-15,59.29,59.68,55.88,59.09,108529000,59.09
2014-04-14,60.09,60.45,57.78,58.89,72257500,58.89
2014-04-11,57.60,60.31,57.31,58.53,91389100,58.53
2014-04-10,63.08,63.18,58.68,59.16,114798900,59.16
2014-04-09,59.63,62.46,59.19,62.41,100011100,62.41
2014-04-08,57.68,58.71,57.17,58.19,78836000,58.19
2014-04-07,55.90,58.00,55.44,56.95,108488000,56.95
2014-04-04,59.94,60.20,56.32,56.75,125214400,56.75
2014-04-03,62.55,63.17,59.13,59.49,83683000,59.49
2014-04-02,63.21,63.91,62.21,62.72,66277000,62.72
2014-04-01,60.46,62.66,60.24,62.62,59291000,62.62
2014-03-31,60.78,61.52,59.87,60.24,53011000,60.24
2014-03-28,61.34,61.95,59.34,60.01,67052000,60.01
2014-03-27,60.51,61.90,57.98,60.97,112650000,60.97
2014-03-26,64.74,64.95,60.37,60.39,97503900,60.39
2014-03-25,64.89,66.19,63.78,64.89,68786000,64.89
2014-03-24,67.19,67.36,63.36,64.10,85696000,64.10
2014-03-21,67.53,67.92,66.18,67.24,59999900,67.24
2014-03-20,68.01,68.23,66.82,66.97,44439000,66.97
2014-03-19,69.17,69.29,67.47,68.24,43981000,68.24
2014-03-18,68.76,69.60,68.30,69.19,40827000,69.19
2014-03-17,68.18,68.95,66.62,68.74,52197000,68.74
2014-03-14,68.49,69.43,67.46,67.72,48227000,67.72
2014-03-13,71.29,71.35,68.15,68.83,57091000,68.83
2014-03-12,69.86,71.35,69.00,70.88,46340500,70.88
2014-03-11,72.50,72.59,69.96,70.10,59408300,70.10
2014-03-10,70.77,72.15,70.51,72.03,59871600,72.03
2014-03-07,71.08,71.18,69.47,69.80,38927000,69.80
2014-03-06,71.88,71.89,70.25,70.84,46026500,70.84
2014-03-05,69.69,71.97,69.62,71.57,74567700,71.57
2014-03-04,68.66,68.90,67.62,68.80,42013500,68.80
2014-03-03,66.96,68.05,66.51,67.41,56824100,67.41
2014-02-28,69.47,69.88,67.38,68.46,66783700,68.46
2014-02-27,69.34,70.01,68.87,68.94,41653700,68.94
2014-02-26,70.19,71.22,68.85,69.26,55322700,69.26
2014-02-25,70.95,71.00,69.45,69.85,52077000,69.85
2014-02-24,68.74,71.44,68.54,70.78,76620300,70.78
2014-02-21,69.69,69.96,68.45,68.59,70932400,68.59
2014-02-20,67.73,70.11,65.73,69.63,130928900,69.63
2014-02-19,67.05,69.08,67.00,68.06,62087100,68.06
2014-02-18,66.94,67.54,66.07,67.30,43809900,67.30
2014-02-14,67.50,67.58,66.72,67.09,36694900,67.09
2014-02-13,64.18,67.33,64.05,67.33,61911700,67.33
2014-02-12,64.92,65.06,64.05,64.45,47282100,64.45
2014-02-11,63.75,65.00,63.35,64.85,45675600,64.85
2014-02-10,64.30,64.49,63.47,63.55,43666100,63.55
2014-02-07,62.27,64.57,62.22,64.32,60704300,64.32
2014-02-06,61.46,62.78,61.46,62.16,42086500,62.16
2014-02-05,62.74,63.16,61.27,62.19,51685100,62.19
2014-02-04,62.05,63.14,61.82,62.75,45985500,62.75
2014-02-03,63.03,63.77,60.70,61.48,74866600,61.48
