Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,67.86,68.95,66.70,67.32,2534600,67.32
2014-04-16,67.05,67.95,65.34,67.59,2722800,67.59
2014-04-15,68.24,68.60,63.31,66.39,5159000,66.39
2014-04-14,68.48,69.28,66.77,68.30,3594500,68.30
2014-04-11,68.70,70.53,66.95,67.59,4977600,67.59
2014-04-10,73.18,73.78,69.30,69.63,4773600,69.63
2014-04-09,73.26,74.18,71.31,73.34,5429700,73.34
2014-04-08,68.71,74.00,68.46,72.77,6764700,72.77
2014-04-07,69.12,71.21,67.05,68.00,5185700,68.00
2014-04-04,69.68,72.96,68.66,69.72,6891300,69.72
2014-04-03,71.90,72.10,67.64,68.46,4677500,68.46
2014-04-02,71.06,72.79,70.31,71.93,3804000,71.93
2014-04-01,70.04,71.62,69.91,70.89,3784000,70.89
2014-03-31,69.55,70.49,68.94,69.79,2961200,69.79
2014-03-28,70.31,71.15,68.38,68.64,3744600,68.64
2014-03-27,68.58,70.50,67.18,69.75,5715900,69.75
2014-03-26,71.98,72.50,68.37,68.49,6226700,68.49
2014-03-25,74.00,74.20,70.46,72.08,6868400,72.08
2014-03-24,72.86,74.84,71.02,73.87,8154900,73.87
2014-03-21,70.00,73.97,69.55,73.37,11885000,73.37
2014-03-20,70.17,73.74,68.53,70.48,21779000,70.48
2014-03-19,57.10,70.99,56.96,69.40,30879300,69.40
2014-03-18,56.55,58.20,56.13,57.56,4396600,57.56
2014-03-17,55.38,56.99,54.75,56.52,4576400,56.52
2014-03-14,52.68,54.34,52.68,54.03,2526700,54.03
2014-03-13,53.97,54.46,52.42,53.03,2940700,53.03
2014-03-12,53.11,54.49,52.79,53.70,2200100,53.70
2014-03-11,55.07,55.71,53.09,53.48,3069400,53.48
2014-03-10,55.94,56.36,54.43,54.84,2844200,54.84
2014-03-07,58.63,58.70,55.72,56.11,4286700,56.11
2014-03-06,58.39,59.44,57.53,58.24,3096500,58.24
2014-03-05,57.50,59.10,57.37,58.15,3489100,58.15
2014-03-04,56.63,58.05,56.25,57.71,3985200,57.71
