Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,69.37,70.64,69.09,70.00,17546400,70.00
2014-04-16,69.32,69.89,68.34,69.28,17266400,69.28
2014-04-15,67.55,69.14,65.59,68.17,21802600,68.17
2014-04-14,67.79,68.39,65.74,66.79,17988000,66.79
2014-04-11,64.19,68.94,63.50,66.03,35988700,66.03
2014-04-10,70.80,71.23,64.81,65.48,43152600,65.48
2014-04-09,70.50,71.29,69.86,70.65,20688600,70.65
2014-04-08,71.71,71.71,69.28,70.01,25269000,70.01
2014-04-07,71.92,73.73,70.72,72.23,16037200,72.23
2014-04-04,74.91,75.25,71.52,72.20,19387500,72.20
2014-04-03,75.16,75.18,72.29,74.00,15989400,74.00
2014-04-02,75.16,75.25,73.34,73.96,15992800,73.96
2014-04-01,73.34,73.88,72.14,73.64,19497100,73.64
2014-03-31,69.17,71.00,69.17,70.86,18594900,70.86
2014-03-28,70.62,71.11,67.63,68.55,29246100,68.55
2014-03-27,72.38,73.34,70.59,71.41,17749700,71.41
2014-03-26,73.72,75.01,72.77,72.78,15708700,72.78
2014-03-25,72.60,74.30,71.90,73.03,19176900,73.03
2014-03-24,72.54,72.89,68.81,72.13,29285300,72.13
2014-03-21,75.67,76.20,70.85,72.07,36979700,72.07
2014-03-20,76.50,76.65,74.86,75.53,12148300,75.53
2014-03-19,78.20,78.60,76.01,76.54,11155700,76.54
2014-03-18,75.54,78.06,75.51,77.77,10327000,77.77
2014-03-17,75.96,76.86,75.08,75.45,14099000,75.45
2014-03-14,76.99,77.10,74.55,75.05,18775000,75.05
2014-03-13,80.26,80.47,77.56,78.01,10600700,78.01
2014-03-12,79.36,80.30,78.62,79.72,9671400,79.72
2014-03-11,80.35,80.57,79.32,79.84,10569900,79.84
2014-03-10,79.40,80.30,78.35,80.23,8661900,80.23
2014-03-07,81.21,81.35,77.81,79.58,20459900,79.58
2014-03-06,83.22,83.42,78.50,79.92,21950000,79.92
2014-03-05,83.02,83.44,82.73,82.87,6590400,82.87
2014-03-04,82.86,83.36,82.56,82.94,8220800,82.94
2014-03-03,82.79,82.90,81.00,81.45,12024000,81.45
2014-02-28,83.79,84.20,81.80,82.79,12503600,82.79
2014-02-27,83.65,84.00,82.50,83.65,11003900,83.65
2014-02-26,84.05,84.50,83.31,83.81,11908500,83.81
2014-02-25,84.14,84.88,83.07,83.95,8351300,83.95
2014-02-24,82.99,84.06,82.80,83.57,9098200,83.57
2014-02-21,83.54,83.62,82.58,82.59,11015000,82.59
2014-02-20,82.70,83.20,81.88,82.81,8962700,82.81
2014-02-19,83.65,83.80,82.30,82.70,9752400,82.70
2014-02-18,81.92,83.98,81.67,83.81,15019700,83.81
2014-02-14,82.81,82.85,80.63,81.21,10425700,81.21
2014-02-13,81.10,82.62,80.90,82.55,8964800,82.55
2014-02-12,82.25,82.93,81.61,82.00,9490300,82.00
2014-02-11,81.12,82.04,80.89,81.80,12608600,81.80
2014-02-10,79.34,81.13,78.80,80.98,10487600,80.98
2014-02-07,77.65,78.81,75.70,78.75,16074200,78.75
2014-02-06,78.50,79.50,76.26,76.50,17193800,76.50
2014-02-05,81.98,82.00,76.71,78.15,23469100,78.15
2014-02-04,80.18,82.06,79.85,82.02,15478300,82.02
2014-02-03,81.77,81.86,78.59,78.83,14336700,78.83
2014-01-31,79.97,81.75,79.35,80.65,10819500,80.65
2014-01-30,80.70,82.20,80.65,81.52,10162700,81.52
2014-01-29,80.01,81.09,78.96,79.85,10140000,79.85
2014-01-28,80.60,81.17,79.82,80.67,10284700,80.67
2014-01-27,80.76,80.76,77.59,78.86,13638100,78.86
2014-01-24,81.76,82.68,79.75,80.62,13269300,80.62
2014-01-23,81.80,82.28,80.91,82.15,10756500,82.15
2014-01-22,83.72,84.40,81.89,82.18,17385400,82.18
2014-01-21,79.75,81.58,79.42,81.58,13026200,81.58
2014-01-17,77.89,79.06,77.44,78.40,11843300,78.40
2014-01-16,75.39,79.02,75.30,77.90,20728500,77.90
2014-01-15,75.22,75.41,74.43,75.23,10223900,75.23
2014-01-14,73.55,75.17,72.82,74.99,11265200,74.99
2014-01-13,75.15,75.28,72.60,73.14,9130400,73.14
2014-01-10,75.00,75.04,73.52,74.87,8471300,74.87
2014-01-09,74.23,75.06,73.77,74.30,8825500,74.30
2014-01-08,73.17,74.38,72.53,73.46,11063200,73.46
2014-01-07,73.50,73.87,72.71,72.78,8513000,72.78
2014-01-06,74.58,74.69,72.73,73.24,8346000,73.24
2014-01-03,75.21,75.25,74.23,74.32,6561500,74.32
2014-01-02,75.21,75.59,74.39,75.21,8279300,75.21
2013-12-31,75.07,75.25,74.16,75.10,6679700,75.10
2013-12-30,74.67,75.25,74.22,75.08,5899800,75.08
2013-12-27,75.36,75.36,74.25,74.45,4913900,74.45
2013-12-26,74.97,75.35,74.67,75.20,4852200,75.20
2013-12-24,74.99,75.03,74.21,74.96,4530700,74.96
2013-12-23,75.35,75.80,74.68,74.99,7545000,74.99
