Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,161.03,161.44,157.35,157.44,4525200,157.44
2014-04-16,156.34,157.29,155.12,157.22,3194200,157.22
2014-04-15,155.00,156.02,153.10,154.92,3617300,154.92
2014-04-14,154.80,155.13,153.42,154.74,3035900,154.74
2014-04-11,154.45,154.49,151.65,152.72,6460700,152.72
2014-04-10,158.41,158.88,155.81,155.98,4795800,155.98
2014-04-09,157.11,159.00,156.42,158.16,3998600,158.16
2014-04-08,158.70,158.76,155.48,156.56,6839900,156.56
2014-04-07,162.95,163.20,158.44,158.56,4650800,158.56
2014-04-04,167.01,167.04,162.85,163.24,3262500,163.24
2014-04-03,167.31,167.67,165.00,166.09,2307600,166.09
2014-04-02,165.90,167.54,165.73,167.27,2407600,167.27
2014-04-01,164.76,166.29,164.22,165.92,3325500,165.92
2014-03-31,163.22,164.14,162.22,163.85,2494300,163.85
2014-03-28,162.21,164.19,161.29,162.30,2630500,162.30
2014-03-27,161.80,163.31,160.77,162.29,3890200,162.29
2014-03-26,164.74,165.00,161.72,161.73,2590300,161.73
2014-03-25,166.59,167.42,162.80,163.25,4437500,163.25
2014-03-24,167.13,167.98,165.10,165.72,2723000,165.72
2014-03-21,169.69,170.00,166.91,166.95,4779100,166.95
2014-03-20,167.88,170.45,167.27,169.22,3950500,169.22
2014-03-19,168.49,170.16,166.80,168.18,3534100,168.18
2014-03-18,167.27,169.00,167.01,168.09,1941300,168.09
2014-03-17,166.38,168.80,166.33,166.84,3198000,166.84
2014-03-14,166.90,167.40,165.03,165.35,2762100,165.35
2014-03-13,170.48,171.24,166.57,166.70,3421400,166.70
2014-03-12,169.13,169.99,167.81,169.72,2550000,169.72
2014-03-11,173.96,173.96,169.85,169.89,3832300,169.89
2014-03-10,173.60,174.49,172.47,173.51,2179100,173.51
2014-03-07,173.98,175.59,173.11,174.26,4088900,174.26
2014-03-06,172.71,174.00,172.49,172.60,3403500,172.60
2014-03-05,168.80,172.90,168.25,171.90,4451200,171.90
2014-03-04,166.64,168.76,166.20,168.73,3400500,168.73
2014-03-03,164.22,165.31,163.66,164.74,3122900,164.74
2014-02-28,164.81,167.82,164.57,166.45,4291500,166.45
2014-02-27,162.66,165.79,162.34,165.38,3806600,165.38
2014-02-26,163.26,163.90,160.77,162.80,3978300,162.80
2014-02-25,166.11,166.30,163.16,163.48,3682300,162.93
2014-02-24,164.08,167.41,164.08,166.54,3242900,165.98
2014-02-21,164.30,165.65,164.15,164.50,2594500,163.95
2014-02-20,163.49,164.97,162.67,164.50,2631900,163.95
2014-02-19,163.91,166.18,162.98,163.26,3669700,162.71
2014-02-18,164.04,165.59,163.72,164.65,3399900,164.10
2014-02-14,163.33,164.50,162.93,163.72,3287900,163.17
2014-02-13,162.55,164.40,162.10,164.06,3119600,163.51
2014-02-12,164.50,165.23,163.23,163.50,3046600,162.95
2014-02-11,161.21,164.96,160.31,164.39,4996300,163.84
2014-02-10,161.02,161.77,160.28,161.00,4321700,160.46
2014-02-07,162.78,162.90,160.27,161.93,4879900,161.39
2014-02-06,161.16,162.00,160.10,161.75,3798000,161.21
2014-02-05,160.59,162.65,160.32,160.42,3212900,159.88
2014-02-04,160.90,162.57,159.85,161.76,3346600,161.22
2014-02-03,165.15,165.52,159.77,159.82,5079700,159.28
