Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,32.29,32.49,31.45,31.93,21225300,31.93
2014-04-16,32.60,33.10,32.29,32.49,11551300,32.49
2014-04-15,32.99,33.00,31.88,32.39,13147000,32.39
2014-04-14,32.60,33.29,32.56,32.90,13850800,32.90
2014-04-11,32.57,32.94,32.29,32.45,18736000,32.45
2014-04-10,33.30,33.90,32.79,32.80,25617800,32.80
2014-04-09,32.64,32.88,32.28,32.72,12587300,32.72
2014-04-08,32.69,32.78,31.94,32.45,13589400,32.45
2014-04-07,32.90,33.10,32.51,32.70,12187900,32.70
2014-04-04,33.23,33.48,32.41,32.64,13662800,32.64
2014-04-03,33.62,33.64,32.84,33.00,15440300,33.00
2014-04-02,33.34,33.66,33.01,33.61,14189500,33.61
2014-04-01,32.30,33.45,32.29,33.23,16457900,33.23
2014-03-31,32.29,32.59,32.25,32.36,8803500,32.36
2014-03-28,32.19,32.55,31.94,32.04,11122700,32.04
2014-03-27,32.16,32.29,31.65,31.93,12374400,31.93
2014-03-26,32.77,33.12,32.33,32.35,17237700,32.35
2014-03-25,31.82,32.56,31.75,32.56,17230000,32.56
2014-03-24,32.02,32.21,31.60,31.63,13328800,31.63
2014-03-21,31.83,32.21,31.65,31.95,23672600,31.95
2014-03-20,31.50,32.41,31.46,31.48,23917900,31.48
2014-03-19,30.60,31.74,30.57,31.62,23166800,31.62
2014-03-18,30.03,30.63,29.90,30.56,19156500,30.56
2014-03-17,29.25,29.69,29.23,29.48,7074100,29.48
2014-03-14,28.87,29.38,28.83,29.07,8117000,29.07
2014-03-13,29.64,29.85,28.75,28.91,13214100,28.91
2014-03-12,29.81,29.84,29.41,29.59,7404300,29.59
2014-03-11,30.00,30.26,29.78,29.91,7073200,29.91
2014-03-10,30.05,30.26,29.85,29.90,7427800,29.90
2014-03-07,30.25,30.48,30.04,30.34,9285400,30.20
2014-03-06,29.99,30.20,29.85,30.09,7135200,29.95
2014-03-05,30.12,30.15,29.85,29.94,6507200,29.80
2014-03-04,29.93,30.24,29.86,30.12,13336700,29.98
2014-03-03,29.26,29.85,28.82,29.73,12456000,29.59
2014-02-28,29.84,30.36,29.65,29.88,13148800,29.74
2014-02-27,29.72,29.89,29.63,29.75,11122000,29.61
2014-02-26,29.91,30.20,29.81,29.90,9007000,29.76
2014-02-25,29.82,30.00,29.57,29.88,9205400,29.74
2014-02-24,29.66,30.17,29.45,29.92,14418000,29.78
2014-02-21,30.62,30.71,29.50,29.79,29806400,29.65
2014-02-20,29.32,30.28,29.10,30.19,26730100,30.05
2014-02-19,29.43,29.77,29.26,29.45,14889200,29.31
2014-02-18,30.00,30.05,29.57,29.58,11250800,29.44
2014-02-14,29.86,30.12,29.72,30.02,9514000,29.88
2014-02-13,29.31,29.92,29.18,29.83,9492600,29.69
2014-02-12,29.36,29.79,29.36,29.42,9725500,29.28
2014-02-11,28.88,29.49,28.80,29.36,8613600,29.22
2014-02-10,29.01,29.23,28.64,28.81,7813700,28.67
2014-02-07,28.70,29.16,28.69,29.07,7537300,28.93
2014-02-06,28.23,28.66,28.20,28.49,6693700,28.35
2014-02-05,28.17,28.44,27.90,28.01,10278000,27.88
2014-02-04,28.14,28.41,27.89,28.33,9581300,28.19
2014-02-03,29.06,29.29,27.96,28.04,14655400,27.91
