Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,0.73,0.73,0.65,0.66,385400,0.66
2014-04-16,0.67,0.72,0.67,0.71,444500,0.71
2014-04-15,0.70,0.72,0.63,0.67,978900,0.67
2014-04-14,0.76,0.76,0.70,0.70,657500,0.70
2014-04-11,0.75,0.79,0.74,0.74,689500,0.74
2014-04-10,0.80,0.84,0.75,0.75,958200,0.75
2014-04-09,0.80,0.81,0.78,0.80,330800,0.80
2014-04-08,0.82,0.82,0.77,0.78,467800,0.78
2014-04-07,0.80,0.83,0.77,0.79,1205900,0.79
2014-04-04,0.80,0.80,0.75,0.78,2692400,0.78
2014-04-03,0.90,0.91,0.83,0.83,899500,0.83
2014-04-02,0.98,1.01,0.89,0.91,1038200,0.91
2014-04-01,1.04,1.04,0.94,0.97,1916100,0.97
2014-03-31,0.99,0.99,0.80,0.92,1400700,0.92
2014-03-28,0.91,0.94,0.89,0.90,785800,0.90
2014-03-27,0.93,0.96,0.88,0.89,1342600,0.89
2014-03-26,1.09,1.12,0.90,0.93,4346200,0.93
2014-03-25,1.18,1.36,1.06,1.10,9152900,1.10
2014-03-24,1.28,1.79,1.21,1.63,22291600,1.63
2014-03-21,1.10,1.23,1.10,1.13,1277200,1.13
2014-03-20,1.20,1.20,1.08,1.10,1595200,1.10
2014-03-19,1.09,1.23,1.03,1.21,2723200,1.21
2014-03-18,1.03,1.13,1.00,1.02,875100,1.02
2014-03-17,0.92,1.04,0.88,1.00,817100,1.00
2014-03-14,0.90,0.95,0.86,0.92,331000,0.92
2014-03-13,0.95,0.95,0.87,0.93,725900,0.93
2014-03-12,1.05,1.05,0.91,0.95,957100,0.95
2014-03-11,1.00,1.06,0.98,1.04,790900,1.04
2014-03-10,1.05,1.11,1.00,1.04,824400,1.04
2014-03-07,1.11,1.12,0.90,1.01,1870700,1.01
2014-03-06,0.98,1.08,0.95,1.05,2364400,1.05
2014-03-05,0.84,0.94,0.83,0.94,1032800,0.94
2014-03-04,0.77,0.85,0.75,0.81,1288900,0.81
2014-03-03,0.80,0.80,0.71,0.72,538200,0.72
2014-02-28,0.78,0.79,0.72,0.76,332700,0.76
2014-02-27,0.75,0.75,0.72,0.73,239700,0.73
2014-02-26,0.77,0.81,0.71,0.76,647900,0.76
2014-02-25,0.78,0.85,0.73,0.78,1011900,0.78
2014-02-24,0.85,1.01,0.70,0.76,5676000,0.76
2014-02-21,0.69,0.88,0.61,0.80,3533000,0.80
2014-02-20,0.67,0.72,0.66,0.66,325400,0.66
2014-02-19,0.72,0.72,0.66,0.68,286200,0.68
2014-02-18,0.75,0.75,0.65,0.67,456700,0.67
2014-02-14,0.65,0.75,0.65,0.72,1027300,0.72
2014-02-13,0.62,0.70,0.62,0.65,646100,0.65
2014-02-12,0.61,0.70,0.56,0.67,1062300,0.67
2014-02-11,0.75,0.80,0.63,0.64,3505800,0.64
2014-02-10,0.54,0.70,0.54,0.68,5177500,0.68
2014-02-07,0.45,0.51,0.45,0.51,1207400,0.51
2014-02-06,0.43,0.46,0.43,0.44,295200,0.44
2014-02-05,0.45,0.46,0.42,0.43,499400,0.43
2014-02-04,0.42,0.48,0.42,0.43,320000,0.43
2014-02-03,0.51,0.51,0.42,0.44,665200,0.44
2014-01-31,0.48,0.49,0.45,0.48,379500,0.48
2014-01-30,0.48,0.50,0.47,0.48,169100,0.48
2014-01-29,0.50,0.53,0.48,0.48,317500,0.48
2014-01-28,0.46,0.53,0.45,0.51,1200900,0.51
2014-01-27,0.47,0.49,0.45,0.45,366800,0.45
2014-01-24,0.51,0.51,0.46,0.49,641800,0.49
2014-01-23,0.53,0.53,0.49,0.51,587700,0.51
2014-01-22,0.53,0.54,0.51,0.52,404600,0.52
2014-01-21,0.54,0.54,0.51,0.51,393500,0.51
2014-01-17,0.52,0.54,0.50,0.51,226600,0.51
2014-01-16,0.55,0.55,0.50,0.51,522700,0.51
2014-01-15,0.53,0.55,0.50,0.53,1583700,0.53
2014-01-14,0.50,0.54,0.47,0.51,1794700,0.51
2014-01-13,0.48,0.52,0.46,0.50,859400,0.50
2014-01-10,0.46,0.47,0.45,0.45,549000,0.45
2014-01-09,0.45,0.47,0.43,0.45,2444900,0.45
2014-01-08,0.58,0.58,0.49,0.50,143600,0.50
2014-01-07,0.48,0.67,0.46,0.56,323000,0.56
2014-01-06,0.51,0.52,0.46,0.48,47800,0.48
2014-01-03,0.55,0.55,0.50,0.50,64400,0.50
2014-01-02,0.52,0.55,0.50,0.55,26800,0.55
2013-12-31,0.54,0.55,0.50,0.50,63600,0.50
2013-12-30,0.52,0.53,0.50,0.51,113600,0.51
2013-12-27,0.54,0.55,0.51,0.54,34000,0.54
2013-12-26,0.55,0.58,0.51,0.52,54900,0.52
2013-12-24,0.51,0.56,0.51,0.55,10000,0.55
2013-12-23,0.55,0.55,0.50,0.54,43500,0.54
2013-12-20,0.45,0.56,0.45,0.54,263500,0.54
2013-12-19,0.59,0.59,0.43,0.45,448800,0.45
2013-12-18,0.60,0.60,0.51,0.57,93000,0.57
2013-12-17,0.64,0.64,0.58,0.59,61400,0.59
2013-12-16,0.59,0.64,0.56,0.61,43100,0.61
2013-12-13,0.58,0.61,0.58,0.60,40500,0.60
2013-12-12,0.58,0.60,0.56,0.58,35500,0.58
2013-12-11,0.58,0.60,0.58,0.59,23700,0.59
2013-12-10,0.60,0.62,0.58,0.60,98700,0.60
2013-12-09,0.63,0.63,0.60,0.60,26700,0.60
2013-12-06,0.63,0.63,0.57,0.61,72300,0.61
2013-12-05,0.67,0.67,0.59,0.61,130200,0.61
2013-12-04,0.69,0.69,0.65,0.68,61100,0.68
2013-12-03,0.72,0.72,0.65,0.68,17200,0.68
2013-12-02,0.68,0.74,0.67,0.70,64500,0.70
2013-11-29,0.68,0.68,0.65,0.66,5800,0.66
2013-11-27,0.65,0.68,0.65,0.68,53700,0.68
2013-11-26,0.64,0.68,0.64,0.67,34600,0.67
2013-11-25,0.65,0.67,0.60,0.61,50400,0.61
2013-11-22,0.61,0.63,0.61,0.63,27100,0.63
2013-11-21,0.61,0.64,0.60,0.62,28700,0.62
2013-11-20,0.66,0.66,0.61,0.61,32000,0.61
2013-11-19,0.68,0.68,0.63,0.63,20200,0.63
2013-11-18,0.67,0.67,0.62,0.64,61400,0.64
2013-11-15,0.68,0.70,0.65,0.65,77800,0.65
2013-11-14,0.70,0.74,0.68,0.72,97200,0.72
2013-11-13,0.68,0.76,0.68,0.76,83100,0.76
2013-11-12,0.78,0.78,0.67,0.67,253800,0.67
2013-11-11,0.58,0.70,0.58,0.70,420400,0.70
2013-11-08,0.51,0.62,0.50,0.62,816300,0.62
2013-11-07,0.49,0.51,0.49,0.50,10700,0.50
2013-11-06,0.54,0.54,0.51,0.52,103700,0.52
2013-11-05,0.49,0.54,0.47,0.48,247900,0.48
2013-11-04,0.47,0.49,0.45,0.45,47800,0.45
2013-11-01,0.44,0.48,0.44,0.45,49300,0.45
2013-10-31,0.50,0.50,0.45,0.45,40100,0.45
2013-10-30,0.49,0.51,0.46,0.48,26100,0.48
2013-10-29,0.48,0.52,0.46,0.48,75400,0.48
2013-10-28,0.50,0.52,0.47,0.47,42100,0.47
2013-10-25,0.49,0.50,0.46,0.50,27100,0.50
2013-10-24,0.47,0.49,0.46,0.47,10700,0.47
2013-10-23,0.48,0.48,0.46,0.46,50000,0.46
2013-10-22,0.51,0.51,0.47,0.47,75900,0.47
2013-10-21,0.53,0.54,0.50,0.50,116100,0.50
2013-10-18,0.51,0.60,0.51,0.53,303200,0.53
2013-10-17,0.52,0.53,0.49,0.49,78000,0.49
2013-10-16,0.54,0.54,0.49,0.49,7000,0.49
2013-10-15,0.52,0.54,0.50,0.54,23500,0.54
2013-10-14,0.56,0.56,0.53,0.54,24800,0.54
2013-10-11,0.55,0.56,0.51,0.53,21200,0.53
2013-10-10,0.54,0.54,0.48,0.50,19000,0.50
2013-10-09,0.50,0.56,0.45,0.48,90300,0.48
2013-10-08,0.47,0.49,0.42,0.47,41200,0.47
2013-10-07,0.49,0.49,0.45,0.47,41900,0.47
2013-10-04,0.46,0.49,0.40,0.45,149500,0.45
2013-10-03,0.58,0.58,0.46,0.50,96700,0.50
2013-10-02,0.58,0.58,0.55,0.55,23300,0.55
2013-10-01,0.61,0.61,0.55,0.58,9400,0.58
2013-09-30,0.51,0.59,0.50,0.59,21500,0.59
2013-09-27,0.60,0.60,0.57,0.59,8000,0.59
2013-09-26,0.58,0.61,0.56,0.56,22800,0.56
2013-09-25,0.60,0.60,0.55,0.57,7800,0.57
2013-09-24,0.60,0.61,0.60,0.60,13600,0.60
2013-09-23,0.62,0.62,0.58,0.61,47800,0.61
2013-09-20,0.68,0.68,0.61,0.61,32300,0.61
2013-09-19,0.65,0.66,0.61,0.64,14300,0.64
2013-09-18,0.54,0.62,0.54,0.62,83400,0.62
2013-09-17,0.54,0.56,0.50,0.51,29000,0.51
2013-09-16,0.56,0.56,0.48,0.54,65400,0.54
2013-09-13,0.57,0.58,0.55,0.55,18700,0.55
2013-09-12,0.60,0.60,0.56,0.58,5000,0.58
2013-09-11,0.55,0.60,0.42,0.59,36900,0.59
2013-09-10,0.58,0.63,0.54,0.55,27300,0.55
2013-09-09,0.56,0.60,0.53,0.55,21100,0.55
2013-09-06,0.59,0.59,0.54,0.55,27500,0.55
2013-09-05,0.54,0.62,0.54,0.62,5000,0.62
2013-09-04,0.56,0.58,0.56,0.56,7100,0.56
2013-09-03,0.64,0.64,0.55,0.56,12700,0.56
2013-08-30,0.60,0.60,0.54,0.59,32200,0.59
2013-08-29,0.65,0.65,0.60,0.62,12200,0.62
2013-08-28,0.65,0.66,0.65,0.65,4300,0.65
2013-08-27,0.60,0.65,0.60,0.63,34300,0.63
2013-08-26,0.63,0.65,0.56,0.57,20100,0.57
2013-08-23,0.63,0.64,0.59,0.60,16800,0.60
2013-08-22,0.69,0.69,0.64,0.65,11500,0.65
2013-08-21,0.70,0.70,0.65,0.65,15000,0.65
2013-08-20,0.68,0.70,0.61,0.67,13100,0.67
2013-08-19,0.67,0.68,0.64,0.65,22000,0.65
2013-08-16,0.64,0.66,0.58,0.66,14600,0.66
2013-08-15,0.60,0.62,0.55,0.62,29400,0.62
2013-08-14,0.66,0.66,0.56,0.57,38300,0.57
2013-08-13,0.65,0.68,0.61,0.65,52500,0.65
