Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,2.63,2.72,2.52,2.52,4984100,2.52
2014-04-16,2.57,2.84,2.42,2.67,8980900,2.67
2014-04-15,2.63,2.66,2.13,2.60,16168500,2.60
2014-04-14,2.91,2.98,2.60,2.67,6915500,2.67
2014-04-11,2.88,2.95,2.80,2.89,4925600,2.89
2014-04-10,3.18,3.20,2.89,3.00,7288300,3.00
2014-04-09,2.82,3.17,2.80,3.13,6723200,3.13
2014-04-08,3.00,3.08,2.79,2.80,6281300,2.80
2014-04-07,3.09,3.12,2.88,2.96,9966500,2.96
2014-04-04,3.37,3.39,3.10,3.14,9330400,3.14
2014-04-03,3.50,3.51,3.31,3.33,4971400,3.33
2014-04-02,3.47,3.53,3.36,3.47,5469100,3.47
2014-04-01,3.39,3.50,3.33,3.49,4731500,3.49
2014-03-31,3.34,3.41,3.32,3.33,3079300,3.33
2014-03-28,3.22,3.64,3.15,3.28,12512700,3.28
2014-03-27,3.21,3.64,3.07,3.64,17442900,3.64
2014-03-26,3.34,3.45,3.12,3.23,8477500,3.23
2014-03-25,3.50,3.55,3.18,3.23,10405400,3.23
2014-03-24,3.78,3.80,3.43,3.51,11677500,3.51
2014-03-21,3.83,3.86,3.60,3.69,11637800,3.69
2014-03-20,3.79,3.89,3.65,3.80,8334000,3.80
2014-03-19,3.43,3.85,3.43,3.82,14366900,3.82
2014-03-18,3.50,3.52,3.42,3.43,6126600,3.43
2014-03-17,3.50,3.60,3.37,3.42,7951200,3.42
2014-03-14,3.40,3.50,3.32,3.50,4673600,3.50
2014-03-13,3.50,3.50,3.36,3.44,4768300,3.44
2014-03-12,3.49,3.53,3.40,3.51,3644800,3.51
2014-03-11,3.59,3.60,3.47,3.51,4600200,3.51
2014-03-10,3.59,3.63,3.42,3.52,7336200,3.52
2014-03-07,3.59,3.62,3.40,3.40,6184700,3.40
2014-03-06,3.70,3.71,3.50,3.51,6874200,3.51
2014-03-05,3.50,3.63,3.41,3.58,6525000,3.58
2014-03-04,3.65,3.70,3.50,3.52,9199400,3.52
2014-03-03,3.20,3.55,3.00,3.55,13701500,3.55
2014-02-28,3.50,3.58,3.20,3.29,12586800,3.29
2014-02-27,3.33,3.48,3.20,3.42,27972600,3.42
2014-02-26,3.60,3.77,3.56,3.73,8953500,3.73
2014-02-25,3.87,3.93,3.53,3.56,21564500,3.56
2014-02-24,3.40,3.95,3.38,3.72,32120900,3.72
2014-02-21,2.98,3.24,2.95,3.22,20582000,3.22
2014-02-20,2.87,2.95,2.82,2.90,4362800,2.90
2014-02-19,2.90,3.03,2.76,2.81,14184100,2.81
2014-02-18,2.80,2.86,2.76,2.85,3738300,2.85
2014-02-14,2.78,2.79,2.66,2.75,3037900,2.75
2014-02-13,2.73,2.75,2.62,2.73,3199600,2.73
2014-02-12,2.92,2.92,2.57,2.63,7770400,2.63
2014-02-11,2.95,2.97,2.75,2.87,13934000,2.87
2014-02-10,2.60,2.78,2.58,2.73,8679100,2.73
2014-02-07,2.47,2.58,2.47,2.57,2886100,2.57
2014-02-06,2.50,2.52,2.44,2.52,1328700,2.52
2014-02-05,2.50,2.51,2.37,2.51,3143100,2.51
2014-02-04,2.51,2.55,2.47,2.50,1582200,2.50
2014-02-03,2.49,2.53,2.45,2.49,4477800,2.49
