Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,7.28,7.53,7.15,7.50,14738300,7.50
2014-04-16,7.36,7.41,7.12,7.26,13093300,7.26
2014-04-15,7.64,7.64,7.04,7.25,25380200,7.25
2014-04-14,7.95,7.98,7.53,7.61,12007200,7.61
2014-04-11,8.44,8.44,7.52,7.70,36688900,7.70
2014-04-10,8.83,8.90,8.52,8.52,12075800,8.52
2014-04-09,8.91,8.95,8.64,8.82,12682500,8.82
2014-04-08,8.84,8.99,8.75,8.92,12368900,8.92
2014-04-07,8.86,9.01,8.82,8.88,20764100,8.88
2014-04-04,8.88,8.97,8.75,8.88,14937000,8.88
2014-04-03,9.00,9.01,8.80,8.83,9017500,8.83
2014-04-02,8.88,9.17,8.85,8.96,15297600,8.96
2014-04-01,8.63,8.85,8.60,8.84,12226000,8.84
2014-03-31,8.84,8.86,8.44,8.62,16170200,8.62
2014-03-28,8.99,9.19,8.63,8.83,20866300,8.83
2014-03-27,8.79,9.15,8.77,8.97,21998600,8.97
2014-03-26,8.68,8.89,8.62,8.77,20782000,8.77
2014-03-25,8.60,8.75,8.49,8.64,16510700,8.64
2014-03-24,8.55,8.63,8.35,8.60,14732300,8.60
2014-03-21,8.48,8.67,8.33,8.49,20371600,8.49
2014-03-20,8.16,8.50,8.13,8.36,14212700,8.36
2014-03-19,8.42,8.51,8.14,8.27,18828500,8.27
2014-03-18,8.71,8.77,8.33,8.39,18227100,8.39
2014-03-17,8.84,8.98,8.66,8.69,17242400,8.69
2014-03-14,8.71,9.05,8.60,8.71,18314200,8.71
2014-03-13,9.12,9.20,8.65,8.77,30775300,8.77
2014-03-12,8.77,9.00,8.70,8.93,21138000,8.93
2014-03-11,9.02,9.28,8.59,8.67,54055400,8.67
2014-03-10,8.68,8.68,8.32,8.42,24729800,8.42
2014-03-07,8.79,8.98,8.64,8.68,30055600,8.68
2014-03-06,8.33,8.79,8.22,8.64,37143100,8.64
2014-03-05,8.39,8.53,8.12,8.30,25723000,8.30
2014-03-04,8.54,8.67,8.24,8.29,62533400,8.29
2014-03-03,7.11,7.99,7.04,7.96,47501000,7.96
2014-02-28,7.65,7.65,7.28,7.28,35842500,7.28
2014-02-27,7.32,7.57,6.93,7.47,113973800,7.47
2014-02-26,5.74,6.00,5.23,5.96,41246300,5.96
2014-02-25,5.28,5.64,5.23,5.63,25801100,5.63
2014-02-24,5.63,5.66,5.22,5.23,26117200,5.23
2014-02-21,5.70,5.72,5.56,5.64,8528300,5.64
2014-02-20,5.95,5.96,5.60,5.65,19208700,5.65
2014-02-19,6.11,6.17,5.99,6.00,10100800,6.00
2014-02-18,6.17,6.20,5.99,6.11,9689000,6.11
2014-02-14,6.03,6.26,5.95,6.14,15168000,6.14
2014-02-13,6.00,6.05,5.81,5.99,10472000,5.99
2014-02-12,6.15,6.20,5.86,5.96,16426000,5.96
2014-02-11,5.83,6.04,5.82,5.99,23662200,5.99
2014-02-10,5.52,5.76,5.34,5.71,15873700,5.71
2014-02-07,5.77,5.98,5.46,5.51,31789300,5.51
2014-02-06,5.18,5.73,5.18,5.66,37890800,5.66
2014-02-05,5.06,5.30,4.90,5.22,47116400,5.22
2014-02-04,5.89,5.97,4.90,5.08,111840300,5.08
2014-02-03,5.97,6.01,5.61,5.68,25881000,5.68
