Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,11.70,11.95,11.14,11.90,1979800,11.90
2014-04-16,12.09,12.10,11.41,11.88,1864800,11.88
2014-04-15,12.33,12.48,10.68,11.77,4055600,11.77
2014-04-14,13.14,13.38,11.80,12.16,2937400,12.16
2014-04-11,12.22,12.73,11.84,12.26,2775300,12.26
2014-04-10,14.45,14.48,12.68,12.74,2939700,12.74
2014-04-09,14.50,14.60,13.80,14.38,2033100,14.38
2014-04-08,13.46,14.59,13.36,14.34,2976100,14.34
2014-04-07,13.50,14.16,12.60,13.19,3902900,13.19
2014-04-04,15.83,15.89,13.63,14.08,4376200,14.08
2014-04-03,16.50,16.69,15.70,15.73,1871600,15.73
2014-04-02,16.25,17.69,16.10,16.57,3518000,16.57
2014-04-01,15.56,16.40,15.40,15.80,2486300,15.80
2014-03-31,16.31,16.75,16.04,16.40,1460800,16.40
2014-03-28,16.10,17.48,15.56,16.14,4325100,16.14
2014-03-27,16.11,16.45,15.25,15.70,2656000,15.70
2014-03-26,17.73,17.95,16.18,16.22,2336000,16.22
2014-03-25,17.58,17.85,16.70,17.45,1953600,17.45
2014-03-24,19.02,19.13,16.70,17.60,4646600,17.60
2014-03-21,18.72,19.20,17.67,18.90,3375900,18.90
2014-03-20,18.65,19.30,18.26,18.37,2632400,18.37
2014-03-19,20.10,20.71,18.75,19.04,6214300,19.04
2014-03-18,21.95,22.40,20.58,21.16,5306200,21.16
2014-03-17,19.38,22.11,19.01,21.41,15079200,21.41
2014-03-14,17.50,17.98,16.64,17.36,2415100,17.36
2014-03-13,18.12,18.31,17.25,17.64,1328400,17.64
2014-03-12,17.18,18.01,17.05,17.98,1397600,17.98
2014-03-11,18.97,19.25,17.51,17.82,2356500,17.82
2014-03-10,19.22,19.80,18.30,19.05,1852600,19.05
2014-03-07,19.66,19.75,18.21,19.40,2547800,19.40
2014-03-06,20.65,20.75,19.06,19.30,4487500,19.30
2014-03-05,19.05,19.90,18.75,19.90,4383000,19.90
2014-03-04,18.35,18.75,17.90,18.35,3812500,18.35
2014-03-03,16.05,17.42,16.05,17.33,3001500,17.33
2014-02-28,16.54,17.47,16.28,16.69,4085900,16.69
2014-02-27,16.10,16.74,15.90,16.46,2572800,16.46
2014-02-26,15.78,16.78,15.20,15.82,4130400,15.82
2014-02-25,15.60,16.95,15.20,15.57,7115000,15.57
2014-02-24,14.26,15.80,13.50,15.56,8725700,15.56
2014-02-21,13.68,13.83,13.30,13.36,1049200,13.36
2014-02-20,13.90,14.20,13.45,13.67,1800900,13.67
2014-02-19,13.77,13.85,13.30,13.35,1320200,13.35
2014-02-18,13.25,14.09,13.25,13.88,2241400,13.88
2014-02-14,13.17,13.52,13.05,13.19,785800,13.19
2014-02-13,13.07,13.89,13.02,13.28,1278100,13.28
2014-02-12,13.66,13.75,13.15,13.35,840100,13.35
2014-02-11,13.97,14.17,13.23,13.48,1410700,13.48
2014-02-10,13.93,14.75,13.55,13.81,4347200,13.81
2014-02-07,12.54,13.16,12.41,13.04,1637200,13.04
2014-02-06,11.30,12.72,11.30,12.60,1731500,12.60
2014-02-05,11.50,11.65,10.90,11.62,886300,11.62
2014-02-04,11.48,11.75,11.00,11.67,937300,11.67
2014-02-03,11.99,12.24,11.11,11.22,1254400,11.22
