Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,171.40,176.61,168.69,175.42,3170000,175.42
2014-04-16,172.11,173.69,166.38,171.82,2138000,171.82
2014-04-15,167.34,171.56,160.92,170.90,2990300,170.90
2014-04-14,169.64,170.19,163.87,165.78,1972700,165.78
2014-04-11,166.85,171.87,163.46,165.78,3208000,165.78
2014-04-10,175.45,176.54,166.61,169.99,3895500,169.99
2014-04-09,174.05,177.22,172.42,176.18,4500800,176.18
2014-04-08,160.92,170.36,160.20,169.10,4750900,169.10
2014-04-07,163.69,169.34,158.06,159.65,6075000,159.65
2014-04-04,177.07,177.89,165.60,165.83,5848500,165.83
2014-04-03,182.04,183.33,175.41,176.97,3504800,176.97
2014-04-02,189.99,190.00,182.62,183.38,2511400,183.38
2014-04-01,185.00,188.00,183.36,187.96,3286100,187.96
2014-03-31,192.29,193.73,184.30,184.94,2367000,184.94
2014-03-28,189.25,193.83,187.26,190.59,2978600,190.59
2014-03-27,184.65,189.29,178.25,188.54,3263400,188.54
2014-03-26,186.37,189.67,185.03,185.93,3571100,185.93
2014-03-25,189.65,189.87,181.77,184.33,3500800,184.33
2014-03-24,196.56,197.88,183.75,188.14,4617500,188.14
2014-03-21,204.63,205.45,196.17,196.72,2756700,196.72
2014-03-20,201.49,206.43,200.01,204.42,2144200,204.42
2014-03-19,201.16,205.19,199.61,201.95,2373000,201.95
2014-03-18,191.99,197.98,191.92,197.85,1643800,197.85
2014-03-17,197.91,197.91,190.82,191.81,2849200,191.81
2014-03-14,197.81,200.53,194.34,196.78,1925800,196.78
2014-03-13,203.88,206.63,197.01,197.84,2196800,197.84
2014-03-12,200.58,205.62,198.19,203.08,1832900,203.08
2014-03-11,202.53,207.04,200.92,201.50,1770300,201.50
2014-03-10,205.80,206.05,201.07,202.43,1887000,202.43
2014-03-07,210.20,210.20,205.00,206.79,2275900,206.79
2014-03-06,208.40,211.94,205.65,208.81,2291000,208.81
2014-03-05,203.00,207.99,202.70,207.74,1955900,207.74
2014-03-04,206.50,206.88,202.46,203.00,2702300,203.00
2014-03-03,201.60,205.34,198.30,201.45,2626300,201.45
2014-02-28,213.32,214.16,200.00,204.04,4271000,204.04
2014-02-27,212.05,214.99,210.25,213.77,2458600,213.77
2014-02-26,216.69,217.49,211.02,212.80,4220800,212.80
2014-02-25,206.12,211.55,203.09,209.84,5867600,209.84
2014-02-24,191.72,199.88,191.51,199.59,2720200,199.59
2014-02-21,194.72,196.47,192.23,192.62,2460600,192.62
2014-02-20,195.90,198.16,192.04,193.39,2886300,193.39
2014-02-19,190.00,198.69,189.75,196.32,5337000,196.32
2014-02-18,186.21,191.99,185.04,191.92,4219400,191.92
2014-02-14,192.13,192.46,185.73,186.13,4344300,186.13
2014-02-13,190.30,195.00,189.87,191.67,4337800,191.67
2014-02-12,202.41,204.40,192.24,192.34,7159400,192.34
2014-02-11,207.90,209.00,200.19,202.80,5055300,202.80
2014-02-10,209.00,213.00,206.81,207.33,3786500,207.33
2014-02-07,210.19,211.78,201.98,209.59,11190000,209.59
2014-02-06,214.56,225.00,212.68,223.45,7094500,223.45
2014-02-05,212.59,215.95,207.69,214.36,2149200,214.36
2014-02-04,213.55,214.50,209.68,212.33,2365800,212.33
2014-02-03,217.24,220.90,210.55,215.40,2789000,215.40
