Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,74.07,74.82,73.61,74.13,5552300,74.13
2014-04-16,72.88,73.95,72.50,73.93,7002300,73.93
2014-04-15,72.30,72.74,70.48,72.15,7009600,72.15
2014-04-14,69.79,71.97,69.60,71.18,10893900,71.18
2014-04-11,70.05,70.38,68.68,68.68,11610500,68.68
2014-04-10,73.67,74.32,70.95,71.17,8982800,71.17
2014-04-09,71.93,73.67,71.61,73.56,6984700,73.56
2014-04-08,71.22,71.94,71.00,71.52,6280200,71.52
2014-04-07,71.66,71.96,70.43,71.33,9699100,71.33
2014-04-04,75.40,75.49,71.71,72.18,8287100,72.07
2014-04-03,75.04,75.55,74.24,74.53,4133300,74.42
2014-04-02,74.89,75.35,74.53,74.70,4271600,74.59
2014-04-01,75.25,75.34,74.38,74.81,4105600,74.70
2014-03-31,73.86,74.87,73.50,74.70,5843600,74.59
2014-03-28,73.39,73.79,72.44,73.22,5245000,73.11
2014-03-27,73.54,73.62,72.35,73.34,7690100,73.23
2014-03-26,75.81,76.17,73.68,73.71,7611000,73.60
2014-03-25,77.58,77.77,75.23,75.28,7128300,75.17
2014-03-24,76.48,77.71,75.87,77.39,8816800,77.27
2014-03-21,79.34,79.83,75.90,75.99,15077700,75.87
2014-03-20,78.21,78.65,77.61,78.41,5197800,78.29
2014-03-19,78.94,79.60,77.92,78.31,5929300,78.19
2014-03-18,78.10,78.98,77.54,78.92,4523500,78.80
2014-03-17,76.75,77.84,76.74,77.83,3910900,77.71
2014-03-14,76.51,77.22,76.23,76.34,4856900,76.22
2014-03-13,78.38,78.77,76.54,76.62,6521400,76.50
2014-03-12,77.22,78.34,76.80,78.34,4739700,78.22
2014-03-11,77.49,78.45,76.89,77.90,4834400,77.78
2014-03-10,77.80,77.94,77.27,77.39,3314700,77.27
2014-03-07,78.07,78.25,77.52,77.94,4133600,77.82
2014-03-06,78.40,78.71,77.57,77.63,4593400,77.51
2014-03-05,78.67,78.88,77.83,78.20,4230200,78.08
2014-03-04,77.81,78.80,77.41,78.50,5302700,78.38
2014-03-03,76.53,77.09,75.65,76.73,6154600,76.61
2014-02-28,78.20,78.67,76.95,77.72,5916500,77.60
2014-02-27,77.34,78.01,77.00,77.76,4931400,77.64
2014-02-26,76.83,77.41,76.61,77.36,7437200,77.24
2014-02-25,76.00,76.97,75.52,76.74,7435800,76.62
2014-02-24,75.57,76.97,75.56,75.96,7942200,75.84
2014-02-21,75.86,76.35,75.50,75.70,6551800,75.58
2014-02-20,76.88,76.88,74.85,75.86,8711100,75.74
2014-02-19,77.34,78.01,76.53,76.65,6032800,76.53
2014-02-18,78.46,78.49,77.20,77.49,5811700,77.37
2014-02-14,76.58,77.66,76.48,77.39,4731900,77.27
2014-02-13,75.48,76.64,75.13,76.53,4912300,76.41
2014-02-12,76.44,76.93,75.67,75.97,4775200,75.85
2014-02-11,76.80,76.83,76.00,76.19,5322900,76.07
2014-02-10,76.66,77.34,75.85,76.35,4885600,76.23
2014-02-07,75.67,76.93,75.13,76.31,8437500,76.19
2014-02-06,73.23,74.91,73.14,74.90,6804600,74.79
2014-02-05,72.76,73.50,72.11,72.84,7768100,72.73
2014-02-04,74.22,74.35,72.80,73.12,11378100,73.01
2014-02-03,76.05,76.41,73.85,73.91,9828200,73.80
2014-01-31,75.51,76.99,71.75,75.68,23252800,75.56
2014-01-30,80.45,80.55,78.24,79.76,8702200,79.64
2014-01-29,78.19,78.67,77.01,77.70,7908500,77.58
2014-01-28,76.70,79.09,76.58,78.83,7735000,78.71
2014-01-27,78.95,78.98,74.95,76.05,13707500,75.93
2014-01-24,81.78,81.98,78.50,78.51,9460200,78.39
2014-01-23,83.80,83.81,81.92,82.36,6590300,82.23
2014-01-22,82.21,83.90,82.00,83.30,7207800,83.17
2014-01-21,823.02,826.56,814.03,818.48,10103000,81.72
2014-01-17,825.00,834.02,807.88,818.42,13330000,81.72
2014-01-16,824.82,827.99,822.42,825.50,4965000,82.42
2014-01-15,825.11,829.78,821.24,823.37,7750000,82.21
2014-01-14,812.82,822.97,804.14,821.71,10869000,82.05
2014-01-13,835.46,838.00,807.63,810.00,12354000,80.88
2014-01-10,846.84,847.48,831.60,834.76,8211000,83.35
2014-01-09,840.00,844.24,836.25,843.60,7025000,84.23
2014-01-08,837.32,844.01,836.01,836.84,6936000,83.56
2014-01-07,831.01,839.19,831.00,837.09,7635000,83.58
2014-01-06,831.96,833.88,824.66,826.69,7022000,82.43
2014-01-03,834.14,835.80,826.00,830.81,6438000,82.84
2014-01-02,837.41,837.97,830.10,834.14,7214000,83.18
2013-12-31,839.37,839.38,830.62,835.46,6759000,83.31
2013-12-30,830.12,838.92,828.55,833.30,7068000,83.09
2013-12-27,822.00,828.34,820.04,827.87,5710000,82.55
2013-12-26,815.05,821.90,814.17,821.90,5940000,81.96
2013-12-24,814.52,815.82,811.05,813.20,4048000,81.09
2013-12-23,825.06,825.63,812.56,815.10,8946000,81.28
2013-12-20,808.55,823.21,807.04,817.05,13154000,81.47
2013-12-19,802.00,809.21,799.03,805.38,9530000,80.31
2013-12-18,797.87,803.51,788.63,802.06,10444000,79.98
2013-12-17,799.80,803.54,796.12,797.95,9610000,79.57
2013-12-16,793.00,800.46,791.70,796.75,7478000,79.45
2013-12-13,785.50,791.79,783.46,787.97,6828000,78.57
2013-12-12,791.50,791.50,781.33,782.54,10075000,78.03
2013-12-11,793.74,801.63,789.47,790.57,25460000,78.83
2013-12-10,758.50,769.10,758.50,763.61,6168000,76.14
2013-12-09,762.90,766.48,758.00,758.86,4348000,75.67
2013-12-06,757.74,759.65,752.72,758.47,3310000,75.63
2013-12-05,750.25,754.90,747.01,751.50,3597000,74.94
2013-12-04,752.00,753.75,744.06,748.17,5091000,74.60
2013-12-03,752.90,755.16,747.25,754.10,4184000,75.19
2013-12-02,760.81,763.75,754.00,756.12,4185000,75.40
2013-11-29,761.43,765.00,759.63,760.81,2388000,75.86
2013-11-27,761.00,764.48,756.10,760.40,2596000,75.82
2013-11-26,756.93,765.15,755.00,757.04,5048000,75.49
2013-11-25,759.17,759.50,752.40,756.49,4461000,75.43
2013-11-22,747.52,755.87,746.52,754.45,3796000,75.23
2013-11-21,744.84,749.59,744.84,747.00,3685000,74.49
2013-11-20,748.00,753.99,743.45,745.93,3059000,74.38
2013-11-19,754.50,757.50,745.01,746.95,3141000,74.48
2013-11-18,753.72,759.70,751.21,754.55,6949000,75.24
2013-11-15,743.55,753.60,743.55,752.26,4843000,75.01
2013-11-14,735.00,744.00,734.56,743.53,3384000,74.14
2013-11-13,735.00,737.45,731.90,735.48,4843000,73.34
2013-11-12,739.47,740.70,731.53,737.68,4520000,73.56
2013-11-11,734.11,743.42,732.23,741.16,4068000,73.90
2013-11-08,720.49,734.50,720.49,734.47,4558000,73.24
2013-11-07,737.36,737.55,719.63,721.32,4743000,71.93
2013-11-06,738.00,738.36,730.09,733.87,4849000,73.18
2013-11-05,727.31,738.24,723.23,736.38,6120000,73.43
2013-11-04,738.33,739.82,726.24,728.40,4568000,72.63
2013-11-01,723.95,739.24,723.18,737.48,8304000,73.54
2013-10-31,730.04,734.62,707.39,717.10,10221000,71.51
2013-10-30,733.99,734.60,721.35,725.68,5562000,72.36
2013-10-29,733.44,737.83,727.55,732.44,4655000,73.04
2013-10-28,724.03,731.60,721.36,729.94,4411000,72.79
2013-10-25,725.00,732.45,720.05,723.78,4640000,72.17
