Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,100.73,101.00,100.25,100.25,4545200,100.25
2014-04-16,101.00,101.12,100.49,100.83,3532700,100.83
2014-04-15,100.70,100.94,100.07,100.83,5882400,100.83
2014-04-14,99.66,100.16,99.32,100.11,6155900,100.11
2014-04-11,99.15,99.73,99.06,99.29,6553600,99.29
2014-04-10,98.55,99.85,98.16,99.43,8873000,99.43
2014-04-09,98.08,98.54,97.90,98.35,3669500,98.35
2014-04-08,96.98,98.22,96.52,98.08,5579500,98.08
2014-04-07,97.58,98.24,96.57,97.01,5994600,97.01
2014-04-04,97.77,98.42,97.39,97.87,5409000,97.87
2014-04-03,98.03,98.11,97.35,97.66,2575700,97.66
2014-04-02,98.15,98.23,97.34,97.59,3701200,97.59
2014-04-01,98.10,98.52,97.63,97.90,4494000,97.90
2014-03-31,97.44,98.45,97.30,98.03,4853300,98.03
2014-03-28,96.27,97.44,96.21,97.24,4344100,97.24
2014-03-27,95.77,96.36,95.52,96.16,3756000,96.16
2014-03-26,96.04,96.57,95.84,95.84,4127000,95.84
2014-03-25,96.44,96.49,95.83,95.91,4929800,95.91
2014-03-24,96.09,96.74,95.99,96.18,6393000,96.18
2014-03-21,97.22,97.40,95.47,95.47,12625800,95.47
2014-03-20,95.94,96.95,95.81,96.60,4242600,96.60
2014-03-19,97.27,97.29,95.78,96.10,5556900,96.10
2014-03-18,97.80,97.99,97.22,97.31,3269500,97.31
2014-03-17,98.14,98.20,97.46,97.60,5554300,97.60
2014-03-14,97.33,97.89,97.01,97.58,5510700,97.58
2014-03-13,98.90,98.90,97.01,97.37,5480200,97.37
2014-03-12,98.41,99.07,98.15,98.71,6701700,98.71
2014-03-11,95.94,98.92,95.71,98.78,16354400,98.78
2014-03-10,95.26,95.68,94.97,95.20,4388900,95.20
2014-03-07,95.74,95.79,94.97,95.50,3724000,95.50
2014-03-06,95.06,95.67,94.75,95.58,4362900,95.58
2014-03-05,95.34,95.61,94.94,95.02,3913300,95.02
2014-03-04,95.25,95.27,94.86,94.98,4655200,94.98
2014-03-03,94.24,94.80,94.00,94.32,5149300,94.32
2014-02-28,95.11,95.46,94.86,95.15,5104700,95.15
2014-02-27,95.24,95.41,94.65,95.08,4179600,95.08
2014-02-26,96.63,96.74,95.71,95.89,4265900,95.08
2014-02-25,96.46,96.72,95.89,96.62,4233600,95.80
2014-02-24,96.43,96.94,96.24,96.50,4472200,95.68
2014-02-21,96.04,97.00,96.04,96.45,5284300,95.64
2014-02-20,95.66,96.11,95.49,95.75,2975000,94.94
2014-02-19,95.78,96.66,95.46,95.55,4505500,94.74
2014-02-18,96.03,96.57,95.54,96.02,5454200,95.21
2014-02-14,95.30,95.97,95.11,95.78,3532900,94.97
2014-02-13,94.69,95.58,94.50,95.46,3617900,94.65
2014-02-12,95.44,95.67,94.79,94.89,4268900,94.09
2014-02-11,95.06,95.84,94.83,95.34,5343500,94.53
2014-02-10,95.75,95.93,94.52,94.86,6968200,94.06
2014-02-07,95.09,95.95,94.62,95.92,6591200,95.11
2014-02-06,93.87,95.19,93.69,94.94,5356900,94.14
2014-02-05,92.80,93.84,92.22,93.58,4958900,92.79
2014-02-04,92.86,93.47,92.59,93.09,6300400,92.30
2014-02-03,94.54,94.74,92.91,93.02,6904700,92.23
2014-01-31,93.05,94.55,92.95,94.17,5972500,93.37
2014-01-30,93.39,94.00,92.93,93.80,4987400,93.01
2014-01-29,93.96,94.30,92.87,93.15,8013500,92.36
2014-01-28,94.33,94.64,94.10,94.18,3682800,93.38
2014-01-27,94.29,94.68,93.92,94.07,6607600,93.28
2014-01-24,94.73,95.96,94.39,94.43,6944800,93.63
2014-01-23,94.55,95.95,94.50,95.32,7146000,94.51
2014-01-22,95.07,95.32,94.69,94.88,4976400,94.08
2014-01-21,95.36,95.96,95.01,95.08,6462700,94.28
2014-01-17,96.02,96.13,94.77,94.93,5975300,94.13
2014-01-16,95.40,96.30,95.19,96.06,5058000,95.25
2014-01-15,95.49,95.67,95.15,95.46,3560600,94.65
2014-01-14,94.81,95.40,94.80,95.22,3842200,94.42
2014-01-13,95.83,95.83,94.59,94.83,5753200,94.03
2014-01-10,95.83,96.22,95.64,95.80,5512200,94.99
2014-01-09,96.24,96.35,95.25,95.46,7709000,94.65
2014-01-08,95.55,95.71,95.00,95.41,7669800,94.60
2014-01-07,96.38,97.08,96.13,96.38,4881800,95.57
2014-01-06,96.62,96.62,95.52,95.85,5022700,95.04
2014-01-03,96.90,97.03,96.50,96.54,2965300,95.72
2014-01-02,96.81,97.03,96.26,96.41,2925800,95.60
2013-12-31,96.95,97.08,96.63,97.03,2560900,96.21
2013-12-30,96.88,97.15,96.79,97.01,2293000,96.19
2013-12-27,96.87,97.28,96.80,96.91,1987100,96.09
2013-12-26,96.77,96.91,96.63,96.84,1978300,96.02
2013-12-24,96.14,96.75,96.14,96.54,1155900,95.72
2013-12-23,96.72,96.95,96.05,96.30,3296300,95.49
2013-12-20,95.46,96.51,95.34,96.51,8039500,95.69
2013-12-19,95.88,96.30,94.93,95.14,5476500,94.34
2013-12-18,94.66,95.95,94.57,95.93,5526800,95.12
2013-12-17,95.44,95.58,94.27,94.38,4460300,93.58
2013-12-16,94.97,95.78,94.90,95.45,4868100,94.64
2013-12-13,94.19,94.62,94.05,94.44,3277500,93.64
2013-12-12,95.40,95.68,94.04,94.10,5719900,93.31
2013-12-11,95.51,95.72,95.17,95.26,5194500,94.46
2013-12-10,95.69,95.70,95.07,95.43,4190600,94.62
2013-12-09,96.13,96.50,95.45,95.72,5056100,94.91
2013-12-06,95.94,96.95,95.90,96.80,5811200,95.98
2013-12-05,95.37,95.82,95.20,95.43,5076500,94.62
2013-12-04,95.66,96.13,95.36,95.71,4951300,94.90
2013-12-03,96.75,96.75,96.07,96.38,4851900,95.57
2013-12-02,97.29,97.29,96.33,96.51,4810000,95.69
2013-11-29,97.25,97.60,97.08,97.37,2920300,96.55
2013-11-27,97.62,97.66,96.95,97.06,3501500,96.24
2013-11-26,98.80,99.09,98.15,98.20,5517400,96.57
2013-11-25,98.75,99.27,98.65,98.92,20420800,97.28
2013-11-22,97.84,98.51,97.37,98.27,16495500,96.64
2013-11-21,97.80,98.09,97.59,97.70,12884800,96.08
2013-11-20,97.57,98.05,97.18,97.54,3815100,95.92
2013-11-19,97.52,98.29,97.36,97.98,3836600,96.35
2013-11-18,96.90,97.79,96.90,97.65,4966700,96.03
2013-11-15,97.45,97.71,96.40,96.92,7096800,95.31
2013-11-14,98.18,98.70,97.18,97.56,6594200,95.94
2013-11-13,97.47,98.12,97.31,98.11,4164800,96.48
2013-11-12,97.07,97.76,96.85,97.66,3845000,96.04
2013-11-11,96.83,97.49,96.80,97.09,2573800,95.48
2013-11-08,97.17,97.30,96.32,97.01,5052400,95.40
2013-11-07,97.96,98.09,96.78,97.20,4921000,95.58
2013-11-06,97.66,98.19,97.47,97.90,4365900,96.27
2013-11-05,97.38,97.75,97.02,97.41,4338200,95.79
2013-11-04,97.26,97.50,96.83,97.31,5023900,95.69
2013-11-01,96.52,97.50,96.52,97.24,5127300,95.62
2013-10-31,96.20,96.70,96.11,96.52,4271300,94.92
2013-10-30,96.17,96.45,95.73,96.03,3404300,94.43
2013-10-29,95.62,96.10,95.30,96.05,3975100,94.45
2013-10-28,94.69,95.72,94.68,95.37,3836400,93.78
2013-10-25,94.78,94.95,94.36,94.78,3055900,93.20
2013-10-24,94.41,94.81,94.24,94.68,3640900,93.11
2013-10-23,95.08,95.20,93.93,94.21,4581200,92.64
2013-10-22,94.68,95.49,94.21,95.12,5144000,93.54
2013-10-21,93.70,94.85,93.24,94.59,9137700,93.02
2013-10-18,95.70,95.70,94.52,95.20,7286100,93.62
2013-10-17,95.19,95.52,94.65,95.47,3860500,93.88
2013-10-16,94.30,95.24,94.14,95.22,4708700,93.64
2013-10-15,93.99,94.20,93.45,93.80,5878900,92.24
2013-10-14,94.41,94.88,94.18,94.72,3429700,93.15
2013-10-11,94.69,94.80,94.33,94.74,4132600,93.16
2013-10-10,94.22,94.44,93.51,94.44,4531000,92.87
2013-10-09,93.82,93.96,93.14,93.27,5159400,91.72
2013-10-08,94.27,94.58,93.94,93.94,3643900,92.38
2013-10-07,94.26,94.80,94.14,94.36,3037100,92.79
2013-10-04,94.61,94.80,94.40,94.70,3047700,93.13
2013-10-03,95.15,95.21,94.61,94.67,4855700,93.10
2013-10-02,95.58,95.88,94.01,95.28,7250300,93.70
2013-10-01,96.18,96.39,95.85,96.13,3240700,94.53
2013-09-30,96.46,96.69,95.11,96.21,4404500,94.61
2013-09-27,97.89,97.99,97.00,97.12,3533100,95.51
2013-09-26,97.89,98.32,97.79,98.19,3604900,96.56
2013-09-25,97.80,97.99,97.41,97.62,4053200,96.00
2013-09-24,97.14,98.60,96.86,97.78,4810300,96.15
2013-09-23,96.97,97.58,96.82,97.28,3301600,95.66
2013-09-20,97.70,98.05,96.90,96.90,8077000,95.29
2013-09-19,98.50,98.51,97.00,97.92,6430800,96.29
2013-09-18,97.87,98.99,97.64,98.70,4279600,97.06
2013-09-17,97.58,98.36,97.49,97.92,3256900,96.29
2013-09-16,97.88,98.17,97.40,97.71,3490900,96.09
2013-09-13,97.34,97.65,97.13,97.35,2668700,95.73
2013-09-12,97.48,97.85,97.07,97.18,4277300,95.56
2013-09-11,96.66,97.46,96.37,97.46,3928600,95.84
2013-09-10,97.10,97.36,96.50,96.89,4984300,95.28
2013-09-09,96.22,96.79,96.21,96.45,3525200,94.85
2013-09-06,95.87,96.75,95.25,96.26,4485800,94.66
2013-09-05,95.33,96.46,95.08,95.66,4275300,94.07
2013-09-04,94.50,95.36,94.34,95.16,2898800,93.58
2013-09-03,95.10,95.28,94.12,94.52,3672100,92.95
2013-08-30,95.00,95.13,94.14,94.36,3993000,92.79
2013-08-29,95.65,95.98,94.70,94.86,4796600,93.28
2013-08-28,95.00,96.33,95.00,96.08,5482500,93.73
2013-08-27,94.86,95.19,94.01,94.84,4513100,92.52
2013-08-26,95.36,95.94,95.10,95.31,3060000,92.97
2013-08-23,95.57,95.68,94.91,95.13,12274200,92.80
2013-08-22,95.37,95.69,95.21,95.46,15364400,93.12
