Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,6.34,6.46,6.22,6.25,4420900,6.25
2014-04-16,6.30,6.40,6.12,6.39,5442200,6.39
2014-04-15,6.34,6.35,5.92,6.28,9585500,6.28
2014-04-14,6.51,6.58,6.15,6.29,9120300,6.29
2014-04-11,6.84,6.84,6.31,6.41,13680100,6.41
2014-04-10,7.10,7.17,6.65,6.85,14512100,6.85
2014-04-09,6.55,7.10,6.51,7.00,17900900,7.00
2014-04-08,6.50,6.58,6.30,6.54,10059900,6.54
2014-04-07,6.12,6.44,5.97,6.32,26700500,6.32
2014-04-04,7.00,7.01,6.70,6.87,13086000,6.87
2014-04-03,7.19,7.21,6.66,6.93,26412000,6.93
2014-04-02,7.75,8.08,6.83,6.99,97544000,6.99
2014-04-01,4.02,4.02,4.02,4.02,000,4.02
2014-03-31,4.44,4.60,3.80,4.02,30367800,4.02
2014-03-28,5.64,5.75,4.75,4.83,26016400,4.83
2014-03-27,5.40,5.44,4.87,5.20,10220100,5.20
2014-03-26,5.82,5.85,5.29,5.38,11378200,5.38
2014-03-25,5.95,6.01,5.75,5.80,8761800,5.80
2014-03-24,5.90,6.05,5.81,5.91,12747100,5.91
2014-03-21,5.95,5.97,5.76,5.87,8457900,5.87
2014-03-20,5.84,6.01,5.78,5.89,7533800,5.89
2014-03-19,5.66,6.20,5.63,5.69,19303100,5.69
2014-03-18,5.59,5.67,5.58,5.65,5950500,5.65
2014-03-17,5.65,5.69,5.53,5.58,5079600,5.58
2014-03-14,5.60,5.68,5.53,5.63,4479200,5.63
2014-03-13,5.71,5.74,5.55,5.65,3831100,5.65
2014-03-12,5.65,5.72,5.58,5.69,4087900,5.69
2014-03-11,5.78,5.82,5.55,5.65,7328600,5.65
2014-03-10,5.69,5.85,5.60,5.71,5649000,5.71
2014-03-07,5.77,5.80,5.58,5.71,4968900,5.71
2014-03-06,5.94,6.04,5.68,5.71,8098600,5.71
2014-03-05,6.12,6.14,5.88,5.89,7881000,5.89
2014-03-04,6.09,6.19,5.96,6.08,8215600,6.08
2014-03-03,6.10,6.17,5.94,6.13,8795400,6.13
2014-02-28,6.26,6.34,5.94,6.19,8333500,6.19
2014-02-27,6.45,6.46,6.20,6.39,5570800,6.39
2014-02-26,6.61,6.62,6.33,6.48,5507800,6.48
2014-02-25,6.50,6.66,6.39,6.54,10142300,6.54
2014-02-24,6.08,6.50,6.06,6.40,10320900,6.40
2014-02-21,5.96,6.13,5.96,6.02,6177200,6.02
2014-02-20,5.98,6.09,5.81,5.96,8164300,5.96
2014-02-19,5.79,6.18,5.70,5.91,11763800,5.91
2014-02-18,5.57,5.80,5.52,5.64,7248600,5.64
2014-02-14,5.77,5.78,5.58,5.58,3769400,5.58
2014-02-13,5.61,5.77,5.51,5.68,2940000,5.68
2014-02-12,5.70,5.87,5.58,5.63,4763300,5.63
2014-02-11,5.72,5.88,5.64,5.69,4988300,5.69
2014-02-10,5.40,5.85,5.39,5.69,8411000,5.69
2014-02-07,5.15,5.44,5.14,5.39,5443100,5.39
2014-02-06,5.12,5.29,5.08,5.11,5554300,5.11
2014-02-05,5.10,5.24,4.86,5.11,9400200,5.11
2014-02-04,5.16,5.33,5.12,5.16,5905300,5.16
2014-02-03,5.45,5.48,5.11,5.16,8178200,5.16
2014-01-31,5.35,5.56,5.32,5.42,4231700,5.42
2014-01-30,5.43,5.53,5.40,5.40,3878200,5.40
2014-01-29,5.39,5.60,5.28,5.35,5392300,5.35
2014-01-28,5.22,5.57,5.20,5.44,6251600,5.44
2014-01-27,5.55,5.63,5.15,5.23,9483200,5.23
2014-01-24,5.68,5.73,5.48,5.55,7369100,5.55
2014-01-23,5.64,5.85,5.56,5.70,6916100,5.70
2014-01-22,5.54,5.69,5.52,5.59,4436800,5.59
2014-01-21,5.83,5.87,5.45,5.56,8115300,5.56
2014-01-17,6.04,6.13,5.76,5.79,9568200,5.79
2014-01-16,6.00,6.05,5.90,6.02,6567900,6.02
2014-01-15,6.00,6.15,5.80,6.01,8676500,6.01
2014-01-14,5.86,5.96,5.68,5.94,6356000,5.94
2014-01-13,5.78,6.18,5.70,5.75,11216200,5.75
2014-01-10,6.69,6.69,5.90,5.92,23533300,5.92
2014-01-09,6.05,7.21,6.02,7.08,24870600,7.08
2014-01-08,5.50,5.99,5.39,5.98,8827600,5.98
2014-01-07,5.64,5.66,5.38,5.48,9606700,5.48
2014-01-06,5.62,5.79,5.43,5.60,12216700,5.60
2014-01-03,5.33,5.59,5.25,5.40,8251300,5.40
2014-01-02,5.20,5.32,5.10,5.31,3775700,5.31
2013-12-31,5.33,5.34,5.19,5.20,3150600,5.20
2013-12-30,5.19,5.34,5.10,5.33,3533800,5.33
2013-12-27,5.32,5.34,5.15,5.20,3702500,5.20
2013-12-26,5.25,5.35,5.25,5.30,3472000,5.30
2013-12-24,5.17,5.33,5.15,5.25,3948100,5.25
2013-12-23,5.05,5.17,5.01,5.14,6303200,5.14
2013-12-20,4.97,5.05,4.94,5.01,7573900,5.01
2013-12-19,4.94,5.00,4.90,4.93,3230600,4.93
2013-12-18,4.96,5.00,4.85,4.96,3493900,4.96
2013-12-17,4.97,5.03,4.91,4.94,2827100,4.94
2013-12-16,5.00,5.06,4.92,4.96,3570200,4.96
2013-12-13,4.99,5.03,4.86,4.98,3946800,4.98
2013-12-12,4.85,5.01,4.58,4.96,5641500,4.96
2013-12-11,5.00,5.12,4.79,4.81,5577500,4.81
2013-12-10,5.39,5.43,4.92,4.94,7908100,4.94
2013-12-09,5.12,5.37,5.12,5.36,8160000,5.36
2013-12-06,4.98,5.18,4.95,5.12,4920500,5.12
2013-12-05,5.00,5.06,4.96,4.97,2680200,4.97
2013-12-04,5.01,5.04,4.88,4.99,3591600,4.99
2013-12-03,5.06,5.07,4.96,5.01,4220000,5.01
2013-12-02,5.00,5.05,4.96,5.05,4235500,5.05
2013-11-29,5.00,5.03,4.98,4.99,2847200,4.99
2013-11-27,5.04,5.04,4.95,4.99,2711400,4.99
2013-11-26,4.99,5.04,4.98,5.02,2484600,5.02
2013-11-25,5.01,5.04,4.95,4.99,2331900,4.99
2013-11-22,5.00,5.04,4.95,5.01,2711100,5.01
2013-11-21,4.88,5.01,4.88,4.99,2312800,4.99
2013-11-20,4.98,5.00,4.86,4.88,2511700,4.88
2013-11-19,4.86,4.98,4.80,4.98,3621500,4.98
2013-11-18,5.05,5.07,4.82,4.88,3329800,4.88
2013-11-15,5.11,5.16,4.98,5.05,3545200,5.05
2013-11-14,5.20,5.23,5.04,5.09,3668400,5.09
2013-11-13,4.96,5.28,4.93,5.19,5011900,5.19
2013-11-12,5.01,5.08,4.89,4.97,2679000,4.97
2013-11-11,5.15,5.20,4.87,5.01,4389400,5.01
