Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,0.55,0.58,0.54,0.56,934000,0.56
2014-04-16,0.57,0.57,0.53,0.55,852100,0.55
2014-04-15,0.61,0.61,0.51,0.56,4239500,0.56
2014-04-14,0.61,0.67,0.58,0.60,5592700,0.60
2014-04-11,0.60,0.62,0.55,0.55,3509000,0.55
2014-04-10,0.67,0.67,0.61,0.62,1366700,0.62
2014-04-09,0.64,0.66,0.63,0.66,1163600,0.66
2014-04-08,0.65,0.66,0.61,0.64,1054900,0.64
2014-04-07,0.68,0.68,0.62,0.65,1789700,0.65
2014-04-04,0.68,0.70,0.66,0.67,964700,0.67
2014-04-03,0.70,0.71,0.68,0.69,808100,0.69
2014-04-02,0.70,0.70,0.68,0.70,685200,0.70
2014-04-01,0.68,0.70,0.67,0.69,926400,0.69
2014-03-31,0.68,0.71,0.67,0.68,1647500,0.68
2014-03-28,0.72,0.72,0.67,0.70,897200,0.70
2014-03-27,0.70,0.72,0.66,0.70,2199400,0.70
2014-03-26,0.77,0.78,0.65,0.68,4868800,0.68
2014-03-25,0.75,0.75,0.71,0.72,1865500,0.72
2014-03-24,0.80,0.80,0.70,0.74,2935200,0.74
2014-03-21,0.85,0.86,0.76,0.77,5977000,0.77
2014-03-20,0.73,0.93,0.72,0.83,21611800,0.83
2014-03-19,0.76,0.76,0.72,0.74,2052300,0.74
2014-03-18,0.76,0.79,0.75,0.76,849500,0.76
2014-03-17,0.77,0.79,0.75,0.76,1209600,0.76
2014-03-14,0.80,0.80,0.77,0.79,1355500,0.79
2014-03-13,0.80,0.81,0.79,0.79,1609600,0.79
2014-03-12,0.80,0.81,0.79,0.80,1655300,0.80
2014-03-11,0.81,0.82,0.80,0.81,1342600,0.81
2014-03-10,0.83,0.83,0.80,0.81,2505000,0.81
2014-03-07,0.86,0.88,0.82,0.83,2628600,0.83
2014-03-06,0.85,0.89,0.83,0.85,4064000,0.85
2014-03-05,0.83,0.85,0.82,0.82,1627900,0.82
2014-03-04,0.86,0.86,0.82,0.83,2075000,0.83
2014-03-03,0.81,0.86,0.80,0.85,1987300,0.85
2014-02-28,0.85,0.88,0.82,0.83,4712500,0.83
2014-02-27,0.81,0.83,0.79,0.80,2137800,0.80
2014-02-26,0.83,0.84,0.79,0.80,1933700,0.80
2014-02-25,0.76,0.82,0.74,0.81,3258300,0.81
2014-02-24,0.75,0.76,0.73,0.76,2191700,0.76
2014-02-21,0.77,0.77,0.70,0.73,2884600,0.73
2014-02-20,0.78,0.80,0.74,0.76,2227600,0.76
2014-02-19,0.85,0.85,0.78,0.79,2369900,0.79
2014-02-18,0.86,0.88,0.82,0.83,2237700,0.83
2014-02-14,0.82,0.84,0.81,0.81,1005900,0.81
2014-02-13,0.85,0.85,0.79,0.82,1252700,0.82
2014-02-12,0.85,0.88,0.81,0.82,2193700,0.82
2014-02-11,0.84,0.85,0.80,0.82,3138500,0.82
2014-02-10,0.89,0.91,0.83,0.85,3671000,0.85
2014-02-07,0.83,0.86,0.82,0.85,1812900,0.85
2014-02-06,0.83,0.85,0.80,0.81,1223300,0.81
2014-02-05,0.87,0.87,0.81,0.82,1071800,0.82
2014-02-04,0.85,0.88,0.77,0.87,3220900,0.87
2014-02-03,0.90,0.91,0.82,0.83,2499900,0.83
2014-01-31,0.84,0.92,0.84,0.87,3515300,0.87
2014-01-30,0.82,0.88,0.81,0.85,1885100,0.85
2014-01-29,0.85,0.85,0.80,0.82,2736000,0.82
2014-01-28,0.89,0.93,0.84,0.85,3188900,0.85
2014-01-27,0.97,0.99,0.82,0.88,7052500,0.88
2014-01-24,1.00,1.03,0.93,0.97,5409600,0.97
2014-01-23,0.99,1.06,0.92,1.03,7476700,1.03
2014-01-22,1.00,1.10,0.97,1.05,20146200,1.05
2014-01-21,0.90,0.95,0.86,0.95,7883600,0.95
2014-01-17,0.80,0.85,0.76,0.85,5467100,0.85
2014-01-16,0.79,0.84,0.74,0.81,4682800,0.81
2014-01-15,0.78,0.80,0.68,0.79,6698900,0.79
2014-01-14,0.96,1.03,0.75,0.80,28031800,0.80
2014-01-13,0.52,0.85,0.52,0.83,25085800,0.83
2014-01-10,0.54,0.55,0.52,0.53,2684200,0.53
2014-01-09,0.56,0.58,0.53,0.55,2924700,0.55
2014-01-08,0.59,0.59,0.54,0.58,3097200,0.58
2014-01-07,0.59,0.60,0.53,0.56,6004100,0.56
2014-01-06,0.55,0.62,0.52,0.57,15012200,0.57
2014-01-03,0.49,0.51,0.48,0.50,3343700,0.50
2014-01-02,0.47,0.47,0.45,0.47,1544400,0.47
2013-12-31,0.44,0.46,0.44,0.46,1492000,0.46
2013-12-30,0.44,0.45,0.44,0.45,1153300,0.45
2013-12-27,0.45,0.46,0.44,0.44,3352900,0.44
2013-12-26,0.44,0.45,0.43,0.45,1372000,0.45
2013-12-24,0.43,0.44,0.43,0.44,1340300,0.44
2013-12-23,0.42,0.44,0.42,0.43,1041600,0.43
2013-12-20,0.41,0.42,0.41,0.42,1259200,0.42
2013-12-19,0.42,0.42,0.41,0.42,624000,0.42
2013-12-18,0.44,0.45,0.42,0.42,3119700,0.42
2013-12-17,0.42,0.42,0.41,0.42,334100,0.42
2013-12-16,0.41,0.42,0.41,0.41,851500,0.41
2013-12-13,0.40,0.42,0.40,0.41,1152500,0.41
2013-12-12,0.42,0.42,0.40,0.40,1570500,0.40
2013-12-11,0.41,0.42,0.41,0.41,625100,0.41
2013-12-10,0.42,0.43,0.41,0.42,861700,0.42
2013-12-09,0.43,0.44,0.42,0.42,1273100,0.42
2013-12-06,0.43,0.44,0.42,0.43,1004400,0.43
2013-12-05,0.43,0.44,0.43,0.43,763200,0.43
2013-12-04,0.44,0.45,0.43,0.44,745200,0.44
2013-12-03,0.44,0.45,0.44,0.44,465300,0.44
2013-12-02,0.44,0.45,0.44,0.45,581300,0.45
2013-11-29,0.45,0.45,0.45,0.45,163200,0.45
2013-11-27,0.45,0.45,0.43,0.44,536900,0.44
2013-11-26,0.44,0.45,0.44,0.44,404100,0.44
2013-11-25,0.45,0.45,0.44,0.45,487200,0.45
2013-11-22,0.46,0.46,0.44,0.45,754000,0.45
2013-11-21,0.46,0.46,0.44,0.45,523600,0.45
2013-11-20,0.45,0.46,0.44,0.45,763000,0.45
2013-11-19,0.47,0.47,0.43,0.44,527100,0.44
2013-11-18,0.47,0.47,0.44,0.45,1027300,0.45
2013-11-15,0.45,0.47,0.44,0.45,1271900,0.45
2013-11-14,0.43,0.44,0.43,0.44,1427800,0.44
2013-11-13,0.49,0.49,0.42,0.42,7164500,0.42
2013-11-12,0.45,0.45,0.43,0.43,1630400,0.43
2013-11-11,0.45,0.45,0.44,0.45,600100,0.45
2013-11-08,0.45,0.45,0.44,0.44,417100,0.44
2013-11-07,0.45,0.47,0.44,0.45,1290600,0.45
2013-11-06,0.47,0.47,0.43,0.44,1481500,0.44
2013-11-05,0.48,0.49,0.43,0.45,3076300,0.45
2013-11-04,0.50,0.50,0.47,0.48,532200,0.48
2013-11-01,0.49,0.49,0.48,0.49,474800,0.49
2013-10-31,0.50,0.50,0.47,0.50,925000,0.50
2013-10-30,0.51,0.52,0.49,0.50,1221700,0.50
2013-10-29,0.48,0.51,0.47,0.51,957300,0.51
2013-10-28,0.50,0.50,0.47,0.47,1026400,0.47
2013-10-25,0.51,0.51,0.49,0.50,768300,0.50
2013-10-24,0.52,0.53,0.49,0.50,1131000,0.50
2013-10-23,0.52,0.53,0.51,0.51,737100,0.51
2013-10-22,0.53,0.54,0.51,0.52,1782800,0.52
2013-10-21,0.53,0.55,0.52,0.53,5263700,0.53
2013-10-18,0.50,0.52,0.49,0.51,2475900,0.51
2013-10-17,0.50,0.50,0.49,0.50,941800,0.50
2013-10-16,0.48,0.50,0.48,0.49,987800,0.49
2013-10-15,0.50,0.50,0.48,0.48,814700,0.48
2013-10-14,0.51,0.51,0.49,0.50,557300,0.50
2013-10-11,0.50,0.51,0.48,0.50,1581300,0.50
2013-10-10,0.48,0.50,0.48,0.50,1196200,0.50
2013-10-09,0.52,0.52,0.48,0.48,2244400,0.48
2013-10-08,0.52,0.53,0.49,0.50,2668100,0.50
2013-10-07,0.52,0.55,0.51,0.51,5866000,0.51
2013-10-04,0.50,0.51,0.48,0.50,3830700,0.50
2013-10-03,0.52,0.54,0.49,0.49,11654000,0.49
2013-10-02,0.44,0.46,0.42,0.45,2780300,0.45
