Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,23.11,24.14,23.03,23.91,46206900,23.91
2014-04-16,22.36,22.57,22.00,22.48,21599000,22.48
2014-04-15,21.92,22.24,21.52,22.17,25026800,22.17
2014-04-14,21.36,22.14,21.25,21.90,31740100,21.90
2014-04-11,21.49,21.93,21.02,21.13,35232600,21.13
2014-04-10,22.70,22.95,21.62,21.68,37014400,21.68
2014-04-09,22.58,22.84,22.24,22.60,31593900,22.60
2014-04-08,22.06,22.43,21.40,22.21,44242900,22.21
2014-04-07,22.52,22.98,21.21,21.71,63487700,21.71
2014-04-04,24.79,24.85,22.44,22.58,77296000,22.58
2014-04-03,24.56,24.73,23.78,24.00,40670000,24.00
2014-04-02,24.57,24.60,24.00,24.35,24486300,24.35
2014-04-01,23.84,24.46,23.70,24.44,36880800,24.44
2014-03-31,22.30,23.68,22.21,23.66,39630300,23.66
2014-03-28,21.99,22.54,21.70,21.91,37763700,21.91
2014-03-27,22.81,22.83,21.92,22.24,35985000,22.24
2014-03-26,23.63,23.89,22.82,22.83,24590700,22.83
2014-03-25,23.64,23.92,23.42,23.53,17054900,23.53
2014-03-24,23.81,24.10,23.39,23.48,23740900,23.48
2014-03-21,24.11,24.26,23.66,23.66,32238500,23.66
2014-03-20,23.93,24.36,23.89,24.01,19735500,24.01
2014-03-19,24.46,24.62,23.75,23.98,19799500,23.98
2014-03-18,24.04,24.60,23.72,24.49,27425600,24.49
2014-03-17,24.11,24.17,23.85,23.93,17778700,23.93
2014-03-14,24.07,24.32,23.73,23.96,24575000,23.96
2014-03-13,24.91,24.94,23.60,24.11,35572900,24.11
2014-03-12,24.60,24.94,24.22,24.84,19280300,24.84
2014-03-11,24.93,25.07,24.56,24.67,21103100,24.67
2014-03-10,24.32,24.94,24.08,24.85,23662500,24.85
2014-03-07,24.82,24.89,24.33,24.42,23827000,24.42
2014-03-06,24.85,24.87,24.30,24.77,32312100,24.77
2014-03-05,25.08,25.13,24.68,24.83,25938700,24.83
2014-03-04,24.87,25.15,24.72,25.11,32780000,25.11
2014-03-03,23.86,24.77,23.71,24.48,35961800,24.48
2014-02-28,24.23,24.36,23.90,24.19,33877300,24.19
2014-02-27,24.15,24.34,23.90,24.19,39242800,24.19
2014-02-26,24.31,24.73,24.16,24.22,20936900,24.22
2014-02-25,24.80,25.00,24.10,24.26,37147600,24.26
2014-02-24,25.15,25.22,24.56,24.75,33037900,24.75
2014-02-21,25.57,25.59,24.54,25.08,44791800,25.08
2014-02-20,25.35,25.66,25.32,25.49,23288000,25.49
2014-02-19,25.42,25.68,25.17,25.42,27239800,25.42
2014-02-18,25.19,25.66,25.10,25.42,34133700,25.42
2014-02-14,24.89,25.30,24.72,25.08,32449600,25.08
2014-02-13,24.84,25.01,24.68,24.91,23317000,24.91
2014-02-12,24.91,25.16,24.79,24.89,23915300,24.89
2014-02-11,24.85,25.07,24.58,24.71,21177200,24.71
2014-02-10,24.64,25.24,24.57,24.87,28374800,24.87
2014-02-07,24.37,24.64,23.92,24.51,47809700,24.51
2014-02-06,23.51,24.77,23.50,24.11,65314700,24.11
2014-02-05,22.95,23.48,22.70,23.31,26097800,23.31
2014-02-04,22.95,23.18,22.65,23.00,20104700,23.00
2014-02-03,23.00,23.63,22.70,22.81,36010100,22.81
