Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,4.38,4.50,4.33,4.48,3270300,4.48
2014-04-16,4.26,4.32,4.13,4.22,3215200,4.22
2014-04-15,4.36,4.37,3.97,4.21,7599300,4.21
2014-04-14,4.64,4.76,4.38,4.46,9816700,4.46
2014-04-11,5.24,5.31,5.18,5.23,4331800,5.23
2014-04-10,5.62,5.64,5.37,5.41,3546900,5.41
2014-04-09,5.49,5.73,5.43,5.70,3411000,5.70
2014-04-08,5.42,5.53,5.40,5.49,1774800,5.49
2014-04-07,5.51,5.55,5.35,5.39,1920600,5.39
2014-04-04,5.52,5.64,5.47,5.52,2926600,5.52
2014-04-03,5.70,5.74,5.53,5.54,2511600,5.54
2014-04-02,5.68,5.79,5.62,5.76,2723200,5.76
2014-04-01,5.58,5.68,5.55,5.61,2615000,5.61
2014-03-31,5.45,5.55,5.42,5.55,2006700,5.55
2014-03-28,5.31,5.44,5.30,5.35,1383300,5.35
2014-03-27,5.23,5.35,5.22,5.25,1291500,5.25
2014-03-26,5.40,5.46,5.25,5.27,1642700,5.27
2014-03-25,5.34,5.42,5.32,5.36,1144900,5.36
2014-03-24,5.33,5.37,5.20,5.23,3081500,5.23
2014-03-21,5.66,5.75,5.42,5.42,5326500,5.42
2014-03-20,5.56,5.83,5.51,5.74,4472500,5.74
2014-03-19,5.56,5.69,5.52,5.63,3530000,5.63
2014-03-18,5.50,5.57,5.41,5.47,2539500,5.47
2014-03-17,5.37,5.47,5.31,5.43,2792400,5.43
2014-03-14,5.18,5.20,5.10,5.16,1597200,5.16
2014-03-13,5.45,5.48,5.08,5.13,3997500,5.13
2014-03-12,5.42,5.45,5.31,5.40,2772600,5.40
2014-03-11,5.43,5.57,5.30,5.35,7771000,5.35
2014-03-10,4.94,5.43,4.93,5.43,9589100,5.43
2014-03-07,4.71,4.89,4.70,4.82,2512400,4.82
2014-03-06,4.67,4.75,4.65,4.65,2740600,4.65
2014-03-05,4.79,4.86,4.76,4.79,1393700,4.79
2014-03-04,4.78,4.87,4.75,4.79,2135000,4.79
2014-03-03,4.70,4.75,4.60,4.70,1874900,4.70
2014-02-28,4.93,4.96,4.81,4.81,1614500,4.81
2014-02-27,4.94,4.94,4.82,4.92,1957200,4.92
2014-02-26,4.86,4.96,4.81,4.92,2988000,4.92
2014-02-25,4.58,4.80,4.55,4.72,2705900,4.72
2014-02-24,4.62,4.62,4.51,4.53,3258100,4.53
2014-02-21,4.72,4.78,4.68,4.71,1373900,4.71
2014-02-20,4.82,4.84,4.72,4.78,1468700,4.78
2014-02-19,4.99,4.99,4.83,4.86,1346200,4.86
2014-02-18,5.04,5.05,4.91,4.95,2139400,4.95
2014-02-14,5.00,5.03,4.94,4.97,972900,4.97
2014-02-13,5.05,5.05,4.93,5.02,1108900,5.02
2014-02-12,4.99,5.04,4.96,4.99,1518300,4.99
2014-02-11,4.97,5.04,4.86,4.95,2129400,4.95
2014-02-10,5.18,5.18,4.99,5.08,3310500,5.08
2014-02-07,5.09,5.10,4.92,4.97,3349800,4.97
2014-02-06,4.86,5.03,4.80,5.02,4261400,5.02
2014-02-05,4.78,4.78,4.52,4.70,3637300,4.70
2014-02-04,4.57,4.60,4.42,4.47,2232500,4.47
2014-02-03,4.70,4.70,4.50,4.56,3395200,4.56
2014-01-31,4.54,4.54,4.40,4.47,2546600,4.47
2014-01-30,4.61,4.67,4.55,4.62,2522900,4.62
2014-01-29,4.40,4.54,4.35,4.49,4874000,4.49
2014-01-28,4.50,4.58,4.48,4.48,3681200,4.48
2014-01-27,4.77,4.80,4.42,4.67,6232000,4.67
2014-01-24,5.19,5.19,4.89,4.90,6208300,4.90
2014-01-23,5.40,5.41,5.22,5.26,2838400,5.26
2014-01-22,5.28,5.43,5.25,5.34,2696700,5.34
2014-01-21,5.43,5.48,5.25,5.34,6452000,5.34
2014-01-17,5.59,5.61,5.55,5.56,2765600,5.56
2014-01-16,5.69,5.72,5.63,5.67,2026600,5.67
2014-01-15,5.65,5.79,5.65,5.72,2769400,5.72
2014-01-14,5.61,5.74,5.54,5.70,3003000,5.70
2014-01-13,5.82,5.83,5.63,5.63,4198900,5.63
2014-01-10,5.89,5.98,5.73,5.84,4529000,5.84
2014-01-09,5.75,5.94,5.71,5.87,5437900,5.87
2014-01-08,5.68,5.78,5.63,5.77,4561600,5.77
2014-01-07,5.59,5.62,5.51,5.54,3532000,5.54
2014-01-06,5.71,5.71,5.60,5.63,1799500,5.63
2014-01-03,5.64,5.72,5.62,5.65,2058800,5.65
2014-01-02,5.68,5.75,5.63,5.67,2953300,5.67
2013-12-31,5.68,5.77,5.56,5.60,3292400,5.60
2013-12-30,5.63,5.79,5.60,5.71,2654500,5.71
2013-12-27,5.60,5.80,5.60,5.74,3305100,5.74
2013-12-26,5.57,5.71,5.57,5.62,2023800,5.62
2013-12-24,5.45,5.63,5.45,5.60,1524400,5.60
2013-12-23,5.42,5.53,5.31,5.48,3829600,5.48
2013-12-20,5.57,5.70,5.55,5.58,4339800,5.58
2013-12-19,5.72,5.76,5.65,5.73,2631500,5.73
2013-12-18,5.69,5.81,5.63,5.80,2028700,5.80
2013-12-17,5.73,5.80,5.66,5.70,3353100,5.70
2013-12-16,5.83,5.87,5.73,5.82,2123300,5.82
2013-12-13,5.84,5.90,5.80,5.85,1664000,5.85
2013-12-12,5.86,5.94,5.80,5.91,2337200,5.91
2013-12-11,6.04,6.05,5.91,5.94,2095900,5.94
2013-12-10,6.04,6.18,6.00,6.05,2429700,6.05
2013-12-09,5.93,6.16,5.90,6.11,3739500,6.11
2013-12-06,5.91,5.94,5.81,5.89,2036400,5.89
2013-12-05,5.92,5.93,5.76,5.82,2489500,5.82
2013-12-04,5.94,6.02,5.87,5.91,2519600,5.91
2013-12-03,5.92,6.07,5.80,6.02,4235100,6.02
2013-12-02,6.32,6.37,6.00,6.10,6273700,6.10
2013-11-29,5.93,6.29,5.90,6.27,6609200,6.27
2013-11-27,5.85,5.95,5.75,5.90,4137300,5.90
2013-11-26,5.89,5.98,5.68,5.75,5481500,5.75
2013-11-25,5.76,5.85,5.72,5.81,1847800,5.81
2013-11-22,5.83,5.90,5.73,5.76,2647200,5.76
2013-11-21,5.75,5.83,5.64,5.81,4310400,5.81
2013-11-20,5.48,5.64,5.47,5.51,2516000,5.51
2013-11-19,5.50,5.52,5.21,5.41,3520400,5.41
2013-11-18,5.60,5.61,5.40,5.40,3432500,5.40
2013-11-15,5.63,5.65,5.50,5.55,2963000,5.55
2013-11-14,5.67,5.72,5.59,5.65,2278100,5.65
2013-11-13,5.59,5.65,5.47,5.63,2091700,5.63
2013-11-12,5.58,5.68,5.55,5.58,4507500,5.58
2013-11-11,5.90,5.91,5.74,5.81,3068500,5.81
2013-11-08,5.87,5.90,5.78,5.90,2852600,5.90
2013-11-07,5.80,5.90,5.69,5.73,4089300,5.73
2013-11-06,5.75,5.80,5.65,5.73,3215500,5.73
2013-11-05,5.60,5.73,5.45,5.61,3048300,5.61
2013-11-04,5.67,5.71,5.55,5.59,3010000,5.59
2013-11-01,5.75,5.80,5.65,5.67,4410200,5.67
2013-10-31,5.81,5.93,5.66,5.85,5952900,5.85
2013-10-30,5.60,5.80,5.56,5.70,4008400,5.70
2013-10-29,5.63,5.67,5.38,5.53,7015600,5.53
2013-10-28,6.01,6.02,5.68,5.70,4742800,5.70
2013-10-25,5.83,5.99,5.72,5.88,5336200,5.88
2013-10-24,5.88,5.98,5.56,5.85,11217500,5.85
2013-10-23,6.04,6.15,5.79,5.84,15337200,5.84
2013-10-22,6.37,6.48,6.22,6.36,11603500,6.36
2013-10-21,5.94,6.38,5.94,6.14,18944900,6.14
2013-10-18,5.51,5.97,5.50,5.85,12060100,5.85
2013-10-17,5.35,5.52,5.29,5.49,5647600,5.49
2013-10-16,5.32,5.43,5.24,5.24,3891900,5.24
2013-10-15,5.38,5.48,5.25,5.35,8069700,5.35
2013-10-14,5.00,5.25,5.00,5.13,5883000,5.13
2013-10-11,4.95,5.00,4.75,4.85,4849700,4.85
2013-10-10,5.14,5.15,4.92,4.98,5262300,4.98
2013-10-09,5.09,5.27,4.92,5.05,9736100,5.05
2013-10-08,5.32,5.59,4.85,4.91,19469600,4.91
2013-10-07,4.57,5.48,4.57,5.33,24252400,5.33
2013-10-04,4.40,4.60,4.38,4.59,6628600,4.59
2013-10-03,4.21,4.28,4.16,4.19,1912800,4.19
2013-10-02,4.12,4.17,4.10,4.16,1026600,4.16
2013-10-01,4.13,4.13,4.08,4.08,659400,4.08
2013-09-30,4.06,4.12,4.05,4.05,2059800,4.05
2013-09-27,4.20,4.20,4.11,4.16,1153500,4.16
2013-09-26,4.14,4.21,4.11,4.18,1342600,4.18
2013-09-25,4.14,4.14,4.09,4.12,983900,4.12
2013-09-24,4.14,4.24,4.07,4.09,1503200,4.09
2013-09-23,4.12,4.13,4.04,4.07,1741800,4.07
2013-09-20,4.18,4.18,4.07,4.07,2519500,4.07
2013-09-19,4.32,4.33,4.18,4.19,1871100,4.19
2013-09-18,4.16,4.34,4.13,4.25,2753000,4.25
2013-09-17,4.17,4.18,4.13,4.14,1049000,4.14
2013-09-16,4.21,4.24,4.12,4.17,1268400,4.17
2013-09-13,4.21,4.22,4.10,4.16,1509800,4.16
2013-09-12,4.29,4.29,4.15,4.19,1380100,4.19
2013-09-11,4.31,4.33,4.11,4.26,3582800,4.26
2013-09-10,4.45,4.53,4.30,4.33,5550600,4.33
2013-09-09,4.21,4.29,4.10,4.28,4379000,4.28
2013-09-06,4.05,4.06,3.95,4.00,1497600,4.00
2013-09-05,3.95,4.01,3.91,3.94,1867400,3.94
2013-09-04,4.04,4.04,3.90,3.99,2170700,3.99
2013-09-03,4.13,4.18,4.03,4.04,2617900,4.04
2013-08-30,4.15,4.16,3.98,4.01,3587100,4.01
2013-08-29,3.92,4.28,3.82,4.19,7507500,4.19
2013-08-28,3.75,3.92,3.74,3.81,1710600,3.81
2013-08-27,3.86,3.93,3.70,3.70,6025900,3.70
2013-08-26,4.16,4.18,4.03,4.09,2107400,4.09
2013-08-23,4.17,4.20,4.07,4.15,2138900,4.15
2013-08-22,3.94,4.23,3.92,4.11,2871000,4.11
2013-08-21,3.95,3.95,3.78,3.90,1716000,3.90
2013-08-20,3.90,3.98,3.81,3.85,2185700,3.85
2013-08-19,4.16,4.16,3.85,3.91,4381400,3.91
2013-08-16,4.28,4.33,4.08,4.16,3111000,4.16
2013-08-15,4.22,4.42,4.13,4.21,4302500,4.21
2013-08-14,4.04,4.26,3.95,4.20,4546700,4.20
2013-08-13,4.20,4.29,3.86,3.92,5978100,3.92
2013-08-12,4.20,4.59,4.05,4.25,10317600,4.25
2013-08-09,3.75,4.29,3.73,4.18,9350400,4.18
2013-08-08,3.58,3.79,3.51,3.76,4300000,3.76
2013-08-07,3.44,3.50,3.40,3.45,993700,3.45
2013-08-06,3.45,3.52,3.40,3.45,1676700,3.45
2013-08-05,3.50,3.51,3.42,3.46,1184800,3.46
2013-08-02,3.43,3.47,3.36,3.41,1136300,3.41
2013-08-01,3.51,3.52,3.26,3.43,4931500,3.43
2013-07-31,3.59,3.62,3.52,3.55,1799200,3.55
2013-07-30,3.54,3.70,3.49,3.61,3599200,3.61
2013-07-29,3.53,3.54,3.45,3.52,2144700,3.52
2013-07-26,3.49,3.59,3.45,3.47,2348200,3.47
2013-07-25,3.45,3.50,3.42,3.46,1480400,3.46
2013-07-24,3.43,3.63,3.42,3.48,2216100,3.48
2013-07-23,3.47,3.51,3.42,3.43,1596100,3.43
2013-07-22,3.51,3.65,3.41,3.48,2620400,3.48
2013-07-19,3.56,3.67,3.47,3.50,3290900,3.50
2013-07-18,3.37,3.67,3.33,3.59,4613400,3.59
2013-07-17,3.25,3.32,3.20,3.29,1760200,3.29
2013-07-16,3.30,3.37,3.24,3.24,2053200,3.24
2013-07-15,3.28,3.43,3.22,3.32,2082500,3.32
2013-07-12,3.43,3.47,3.31,3.37,2480900,3.37
2013-07-11,3.44,3.57,3.37,3.50,2863000,3.50
2013-07-10,3.36,3.49,3.31,3.35,3467500,3.35
2013-07-09,3.58,3.88,3.40,3.52,10252000,3.52
2013-07-08,3.24,3.72,3.24,3.69,9464200,3.69
2013-07-05,2.92,3.37,2.85,3.08,8560200,3.08
2013-07-03,2.98,2.99,2.86,2.91,4743400,2.91
2013-07-02,3.18,3.20,3.04,3.07,5367800,3.07
2013-07-01,3.30,3.37,3.22,3.29,3176800,3.29
2013-06-28,3.26,3.47,3.18,3.45,5121000,3.45
2013-06-27,2.95,3.39,2.94,3.14,20487800,3.14
2013-06-26,4.15,4.47,4.07,4.08,4657000,4.08
2013-06-25,4.15,4.24,4.07,4.11,3600400,4.11
2013-06-24,4.28,4.28,4.05,4.23,2291400,4.23
2013-06-21,4.53,4.55,4.15,4.36,5251300,4.36
2013-06-20,4.86,4.90,4.60,4.67,4123700,4.67
2013-06-19,5.36,5.38,5.08,5.16,2710800,5.16
2013-06-18,5.60,5.63,5.25,5.29,2327100,5.29
2013-06-17,5.48,5.62,5.37,5.55,2776000,5.55
2013-06-14,5.74,5.78,5.12,5.29,4326600,5.29
2013-06-13,5.64,5.97,5.42,5.63,5262300,5.63
2013-06-12,5.40,5.63,5.33,5.58,3397700,5.58
2013-06-11,5.24,5.27,5.04,5.13,3509200,5.13
2013-06-10,5.50,5.55,5.03,5.03,3295100,5.03
2013-06-07,5.75,5.79,5.43,5.50,3355200,5.50
2013-06-06,5.90,6.00,5.70,5.71,3594000,5.71
2013-06-05,6.09,6.21,5.90,6.05,4327500,6.05
2013-06-04,5.89,6.11,5.80,5.85,3881800,5.85
2013-06-03,6.28,6.60,6.00,6.12,7496300,6.12
2013-05-31,8.69,9.20,7.02,7.22,13971000,7.22
2013-05-30,5.70,7.70,5.64,7.07,14362900,7.07
2013-05-29,1.22,1.22,1.22,1.22,000,12.20
2013-05-28,1.22,1.22,1.22,1.22,000,12.20
2013-05-24,1.22,1.22,1.22,1.22,000,12.20
2013-05-23,1.20,1.25,1.18,1.22,1569400,12.20
2013-05-22,1.32,1.42,1.30,1.33,1442900,13.30
2013-05-21,1.45,1.54,1.25,1.42,2247700,14.20
2013-05-20,2.16,2.17,1.33,1.58,5396200,15.80
2013-05-17,2.38,2.47,2.18,2.39,2647000,23.90
2013-05-16,1.88,2.15,1.84,2.00,2658900,20.00
2013-05-15,1.59,1.73,1.58,1.69,1586600,16.90
2013-05-14,1.48,1.61,1.45,1.54,1275500,15.40
2013-05-13,1.47,1.54,1.39,1.54,1330000,15.40
2013-05-10,1.31,1.33,1.27,1.31,680900,13.10
2013-05-09,1.25,1.36,1.12,1.22,1374000,12.20
2013-05-08,1.14,1.24,1.14,1.24,1117900,12.40
2013-05-07,0.98,1.03,0.98,1.01,625200,10.10
2013-05-06,1.00,1.00,0.95,0.97,227100,9.70
2013-05-03,0.94,1.02,0.94,0.98,534200,9.80
2013-05-02,0.88,0.94,0.88,0.92,362300,9.20
2013-05-01,0.90,0.91,0.84,0.87,309500,8.70
2013-04-30,0.90,0.95,0.85,0.90,554500,9.00
2013-04-29,1.06,1.07,0.93,0.96,729400,9.60
2013-04-26,0.95,1.17,0.94,1.14,2116100,11.40
2013-04-25,0.88,0.98,0.85,0.91,1617100,9.10
2013-04-24,0.78,0.79,0.75,0.75,519900,7.50
2013-04-23,0.73,0.75,0.72,0.75,232700,7.50
2013-04-22,0.76,0.77,0.73,0.75,315700,7.50
2013-04-19,0.68,0.69,0.67,0.67,324600,6.70
2013-04-18,0.73,0.73,0.68,0.69,360400,6.90
2013-04-17,0.73,0.75,0.70,0.72,255000,7.20
2013-04-16,0.65,0.80,0.65,0.76,858100,7.60
2013-04-15,0.91,0.91,0.71,0.75,407400,7.50
2013-04-12,0.90,0.90,0.81,0.85,566400,8.50
