Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,336.76,349.73,332.50,345.74,4588000,345.74
2014-04-16,331.05,333.97,323.36,331.41,2302100,331.41
2014-04-15,329.08,331.57,312.10,326.27,4399900,326.27
2014-04-14,332.89,335.00,325.54,331.58,2570600,331.58
2014-04-11,330.80,334.82,323.61,326.71,4306600,326.71
2014-04-10,354.48,357.48,334.01,334.73,3553000,334.73
2014-04-09,351.03,353.90,343.15,353.03,2930200,353.03
2014-04-08,340.05,350.79,338.39,348.89,3680200,348.89
2014-04-07,340.51,348.19,331.11,338.00,5335900,338.00
2014-04-04,355.45,356.00,335.88,337.31,4994000,337.31
2014-04-03,361.33,365.10,350.10,354.69,3140500,354.69
2014-04-02,365.66,371.05,358.30,362.88,3456300,362.88
2014-04-01,351.75,365.25,351.74,364.69,3048400,364.69
2014-03-31,361.51,366.86,349.88,352.03,3160800,352.03
2014-03-28,360.22,369.00,355.75,358.87,3528500,358.87
2014-03-27,371.01,377.83,361.53,364.18,4096000,364.18
2014-03-26,373.01,377.45,366.57,372.28,3878900,372.28
2014-03-25,379.00,384.93,365.75,370.84,4336700,370.84
2014-03-24,405.49,406.45,368.60,378.90,6069100,378.90
2014-03-21,426.10,428.34,405.74,405.99,3824400,405.99
2014-03-20,419.67,432.20,419.50,424.27,2070700,424.27
2014-03-19,419.87,425.45,417.06,420.09,1504500,420.09
2014-03-18,422.37,426.26,416.50,420.25,2098300,420.25
2014-03-17,428.19,430.80,422.31,422.72,1527900,422.72
2014-03-14,427.73,434.99,423.00,424.49,2141300,424.49
2014-03-13,439.71,440.28,428.28,430.06,1627200,430.06
2014-03-12,433.68,439.50,429.68,436.58,1733500,436.58
2014-03-11,442.64,446.68,435.65,437.48,1492600,437.48
2014-03-10,448.47,448.78,432.10,439.95,2205600,439.95
2014-03-07,454.07,454.54,445.51,448.37,1653400,448.37
2014-03-06,454.94,458.00,448.99,450.51,1687000,450.51
2014-03-05,453.99,456.84,451.91,453.50,1552700,453.50
2014-03-04,450.92,455.00,445.59,454.98,1769700,454.98
2014-03-03,441.19,445.75,438.10,445.59,1932600,445.59
2014-02-28,453.13,454.20,441.00,445.63,2250200,445.63
2014-02-27,447.84,454.13,447.84,452.23,1472100,452.23
2014-02-26,455.90,456.00,446.00,448.79,2144300,448.79
2014-02-25,450.00,457.79,445.00,453.03,2671500,453.03
2014-02-24,435.47,449.69,428.50,447.00,3720500,447.00
2014-02-21,438.70,438.70,429.65,432.23,1926200,432.23
2014-02-20,430.35,437.77,429.16,434.95,1709300,434.95
2014-02-19,431.67,436.25,427.97,428.23,2290200,428.23
2014-02-18,436.96,441.24,428.00,436.85,2215400,436.85
2014-02-14,437.06,437.70,431.69,435.51,1712200,435.51
2014-02-13,425.69,439.49,425.00,436.55,2671500,436.55
2014-02-12,434.78,434.90,425.54,428.93,2239000,428.93
2014-02-11,429.96,435.76,425.51,433.99,1952500,433.99
2014-02-10,429.43,432.37,424.28,430.44,1973200,430.44
2014-02-07,413.44,430.50,410.56,429.98,4703000,429.98
2014-02-06,406.42,410.91,400.42,407.91,1836000,407.91
2014-02-05,403.15,407.75,398.00,404.42,2394700,404.42
2014-02-04,405.45,408.53,397.01,405.91,2580900,405.91
2014-02-03,411.90,412.15,400.72,404.38,2877900,404.38
