Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,39.96,40.18,39.39,40.08,14644100,40.08
2014-04-16,39.94,40.15,39.51,40.13,13614800,40.13
2014-04-15,39.70,39.98,39.24,39.73,14553400,39.73
2014-04-14,39.08,39.75,39.08,39.57,16022000,39.57
2014-04-11,39.51,39.88,38.97,38.98,18655800,38.98
2014-04-10,40.89,41.05,39.48,39.79,26397800,39.79
2014-04-09,40.47,40.92,40.18,40.88,20314000,40.88
2014-04-08,39.44,40.35,39.36,40.24,22197600,40.24
2014-04-07,39.80,39.92,39.04,39.47,27311900,39.47
2014-04-04,40.60,40.73,39.66,39.98,23836200,39.98
2014-04-03,41.04,41.14,40.34,40.37,22497000,40.25
2014-04-02,41.37,41.62,40.85,41.13,22754900,41.01
2014-04-01,41.04,42.00,40.96,41.49,35431800,41.37
2014-03-31,39.75,41.43,39.63,40.91,48340300,40.79
2014-03-28,39.52,39.86,39.19,39.57,18405100,39.45
2014-03-27,38.99,39.56,38.80,39.24,26283600,39.12
2014-03-26,38.40,39.46,38.36,39.08,31357500,38.96
2014-03-25,38.13,38.50,38.10,38.40,19750600,38.29
2014-03-24,37.49,38.34,37.38,38.18,22539000,38.07
2014-03-21,38.70,38.85,37.50,37.50,33897900,37.39
2014-03-20,38.50,38.69,38.01,38.37,18960200,38.26
2014-03-19,37.80,38.96,37.40,38.55,45154900,38.44
2014-03-18,38.37,38.94,38.16,38.84,29707200,38.72
2014-03-17,37.80,38.48,37.80,38.22,14981300,38.11
2014-03-14,37.69,38.00,37.50,37.60,14308300,37.49
2014-03-13,38.62,38.66,37.52,37.65,15361200,37.54
2014-03-12,38.82,38.82,38.28,38.52,13226200,38.41
2014-03-11,39.00,39.02,38.62,38.90,12841500,38.78
2014-03-10,38.82,38.95,38.65,38.86,8670300,38.74
2014-03-07,39.57,39.59,38.60,38.83,13821500,38.71
2014-03-06,39.68,39.85,39.42,39.46,13081900,39.34
2014-03-05,39.41,39.70,39.30,39.50,11929200,39.38
2014-03-04,39.14,39.50,39.06,39.41,13682100,39.29
2014-03-03,38.72,38.99,38.38,38.51,13293700,38.40
2014-02-28,38.95,39.37,38.65,39.11,19257800,38.99
2014-02-27,38.50,39.10,38.36,38.95,14055700,38.83
2014-02-26,38.42,38.83,38.35,38.50,11482900,38.39
2014-02-25,38.11,38.43,37.89,38.25,11766400,38.14
2014-02-24,38.16,38.46,38.04,38.14,10388100,38.03
2014-02-21,38.33,38.49,38.08,38.10,13243600,37.99
2014-02-20,37.84,38.35,37.70,38.27,11786000,38.16
2014-02-19,37.83,38.30,37.80,37.87,12491400,37.76
2014-02-18,38.06,38.12,37.73,37.97,10560300,37.86
2014-02-14,38.33,38.33,37.92,37.98,15641400,37.87
2014-02-13,37.84,38.49,37.78,38.42,11683200,38.31
2014-02-12,37.80,38.25,37.66,38.07,12343200,37.96
2014-02-11,37.50,37.90,37.39,37.84,12066100,37.73
2014-02-10,37.24,37.44,37.07,37.30,10976900,37.19
2014-02-07,36.88,37.23,36.71,37.19,13114700,37.08
2014-02-06,36.12,36.83,36.11,36.72,14762200,36.61
2014-02-05,35.52,36.25,35.47,35.95,11458400,35.84
2014-02-04,35.65,36.02,35.44,35.96,16228000,35.85
2014-02-03,37.09,37.09,35.82,35.84,21272600,35.73
2014-01-31,37.03,37.20,36.68,36.90,17039700,36.79
2014-01-30,37.19,37.56,37.08,37.40,12975500,37.29
2014-01-29,37.18,37.25,36.71,36.97,16553600,36.86
2014-01-28,36.60,37.13,36.58,37.10,13899900,36.99
2014-01-27,37.26,37.37,36.49,36.49,19073800,36.38
2014-01-24,37.92,37.96,37.11,37.11,26815600,37.00
2014-01-23,38.17,38.26,37.93,38.15,14174200,38.04
2014-01-22,38.03,38.28,37.95,37.98,14006300,37.87
2014-01-21,38.52,38.52,37.80,38.11,13540000,38.00
2014-01-17,38.12,38.47,38.03,38.21,14051100,38.10
2014-01-16,38.39,38.77,38.17,38.29,13463000,38.18
2014-01-15,38.20,38.57,38.12,38.41,17010900,38.30
2014-01-14,37.78,38.25,37.71,38.21,13486400,38.10
2014-01-13,37.95,38.20,37.70,37.75,20848300,37.64
2014-01-10,37.75,38.14,37.59,38.11,15402900,38.00
2014-01-09,37.85,37.85,37.46,37.65,13623500,37.54
2014-01-08,37.79,37.91,37.56,37.72,16111600,37.61
2014-01-07,37.66,37.93,37.50,37.85,16792200,37.74
2014-01-06,37.64,37.80,37.42,37.47,15329400,37.36
2014-01-03,37.65,37.86,37.56,37.62,11693900,37.51
2014-01-02,37.78,38.03,37.55,37.84,18162100,37.61
2013-12-31,37.94,38.34,37.88,38.26,11746400,38.03
2013-12-30,37.95,38.11,37.81,37.99,11683000,37.76
2013-12-27,37.89,38.22,37.78,37.98,15373100,37.75
2013-12-26,37.33,37.75,37.30,37.69,11516900,37.46
2013-12-24,36.96,37.38,36.88,37.32,9670100,37.09
2013-12-23,36.53,37.02,36.52,36.93,18002800,36.70
2013-12-20,36.65,36.80,36.37,36.37,40783000,36.15
2013-12-19,35.52,36.96,35.50,36.60,62855300,36.38
2013-12-18,33.87,34.76,33.70,34.60,40179900,34.39
2013-12-17,33.63,33.79,33.38,33.63,21782100,33.42
2013-12-16,33.40,33.88,33.35,33.54,22756300,33.33
2013-12-13,33.66,33.70,33.22,33.23,18221200,33.03
2013-12-12,33.85,33.90,33.29,33.60,30946000,33.39
2013-12-11,34.95,35.06,34.42,34.56,17184000,34.35
2013-12-10,35.42,35.47,34.77,34.80,25491700,34.59
2013-12-09,35.48,35.75,35.40,35.60,16795000,35.38
2013-12-06,35.15,35.51,35.10,35.48,15995300,35.26
2013-12-05,35.17,35.17,34.82,34.85,20839500,34.64
2013-12-04,34.90,35.18,34.82,35.07,20004000,34.85
2013-12-03,34.99,35.11,34.84,35.07,16545300,34.85
2013-12-02,35.37,35.39,34.96,35.08,20284400,34.86
2013-11-29,35.10,35.42,35.04,35.29,11851500,35.07
