Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,1205.74,1224.62,1203.00,1208.36,1059700,1208.36
2014-04-16,1177.50,1213.30,1174.18,1212.25,1412500,1212.25
2014-04-15,1171.97,1182.38,1141.33,1169.75,1028800,1169.75
2014-04-14,1168.27,1187.97,1152.74,1167.21,976500,1167.21
2014-04-11,1160.01,1177.09,1147.46,1156.21,1610700,1156.21
2014-04-10,1231.72,1234.85,1174.08,1177.30,1558400,1177.30
2014-04-09,1197.36,1235.09,1185.35,1234.63,1487500,1234.63
2014-04-08,1175.16,1196.99,1168.01,1187.54,1303100,1187.54
2014-04-07,1167.50,1189.86,1138.00,1169.73,1752800,1169.73
2014-04-04,1248.00,1249.99,1177.95,1178.08,2047200,1178.08
2014-04-03,1265.00,1265.82,1224.01,1237.45,1061200,1237.45
2014-04-02,1256.19,1276.74,1249.51,1266.66,1018000,1266.66
2014-04-01,1203.21,1251.84,1201.11,1251.37,1210600,1251.37
2014-03-31,1205.46,1214.57,1190.26,1191.89,776700,1191.89
2014-03-28,1189.18,1214.63,1182.62,1192.01,1164800,1192.01
2014-03-27,1188.77,1191.97,1156.41,1182.25,1630100,1182.25
2014-03-26,1229.57,1240.00,1188.57,1188.77,1065800,1188.77
2014-03-25,1232.08,1244.80,1203.28,1223.70,1418700,1223.70
2014-03-24,1275.00,1275.99,1211.90,1227.93,1436700,1227.93
2014-03-21,1316.99,1316.99,1267.64,1268.84,1170000,1268.84
2014-03-20,1285.67,1300.00,1272.17,1292.39,636200,1292.39
2014-03-19,1307.69,1314.70,1277.57,1287.23,708400,1287.23
2014-03-18,1295.18,1305.39,1290.70,1304.43,566700,1304.43
2014-03-17,1273.16,1308.79,1267.00,1287.96,900600,1287.96
2014-03-14,1294.98,1296.97,1267.05,1267.93,865000,1267.93
2014-03-13,1337.99,1338.14,1294.63,1299.73,967200,1299.73
2014-03-12,1322.97,1338.98,1315.50,1332.58,633900,1332.58
2014-03-11,1347.69,1347.69,1323.62,1326.30,628100,1326.30
