Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,30.15,30.40,30.07,30.25,26536800,30.25
2014-04-16,30.15,30.22,29.92,30.09,29503800,30.09
2014-04-15,29.97,30.15,29.60,29.89,30079100,29.89
2014-04-14,30.05,30.13,29.58,29.87,28833800,29.87
2014-04-11,30.50,30.50,29.83,29.86,40667700,29.86
2014-04-10,31.38,31.43,30.51,30.61,30444700,30.61
2014-04-09,30.99,31.25,30.62,31.23,38635600,31.23
2014-04-08,31.26,31.39,30.85,30.87,33588200,30.87
2014-04-07,31.48,31.71,31.05,31.20,54414600,31.20
2014-04-04,32.52,32.69,32.07,32.16,26274500,32.16
2014-04-03,32.43,32.49,32.18,32.40,20036000,32.40
2014-04-02,31.92,32.39,31.81,32.29,21615400,32.29
2014-04-01,31.93,32.25,31.75,31.95,21836600,31.95
2014-03-31,31.96,32.18,31.83,32.12,18473200,32.12
2014-03-28,32.20,32.48,31.74,31.88,21969900,31.88
2014-03-27,32.28,32.38,31.90,32.10,27744000,32.10
2014-03-26,32.01,32.41,31.67,32.18,31579500,32.18
2014-03-25,31.77,31.99,31.59,31.82,21137000,31.82
2014-03-24,31.77,31.90,31.33,31.49,41805200,31.49
2014-03-21,32.33,32.49,31.46,32.18,62118800,32.18
2014-03-20,32.12,32.12,31.71,31.91,22695800,31.91
2014-03-19,31.93,32.08,31.39,31.71,23083000,31.71
2014-03-18,31.47,32.06,31.42,31.93,23080400,31.93
2014-03-17,31.41,31.53,31.26,31.42,21264200,31.42
2014-03-14,31.15,31.44,30.83,31.23,27112600,31.23
2014-03-13,31.99,32.02,30.91,31.12,45895700,31.12
2014-03-12,32.15,32.57,31.93,31.98,32517500,31.98
2014-03-11,32.35,32.62,32.24,32.42,24165700,32.42
2014-03-10,32.42,32.55,32.29,32.39,15957400,32.39
2014-03-07,32.51,32.66,32.18,32.43,17610800,32.43
2014-03-06,32.80,32.96,32.41,32.46,20520900,32.46
2014-03-05,32.65,32.95,32.60,32.75,22451400,32.75
2014-03-04,32.34,32.74,32.34,32.69,26325100,32.69
2014-03-03,31.52,32.14,31.52,31.98,23791900,31.98
2014-02-28,32.12,32.41,31.85,32.11,27517600,32.11
2014-02-27,31.87,32.24,31.83,32.23,22753300,32.23
2014-02-26,31.74,32.00,31.72,31.99,25023400,31.99
2014-02-25,31.55,31.99,31.54,31.89,27196600,31.89
2014-02-24,31.99,32.08,31.53,31.99,38775000,31.99
2014-02-21,31.68,31.77,31.44,31.46,18471400,31.46
2014-02-20,31.34,31.71,31.26,31.55,22456000,31.55
2014-02-19,31.92,31.96,31.44,31.48,27746900,31.48
2014-02-18,31.81,32.09,31.79,31.88,19687600,31.88
2014-02-14,31.88,32.00,31.70,31.94,18895600,31.94
2014-02-13,31.50,31.85,31.40,31.70,18867700,31.70
2014-02-12,31.87,32.00,31.55,31.61,21258500,31.61
2014-02-11,31.79,31.98,31.43,31.88,24740400,31.88
2014-02-10,31.26,31.47,31.13,31.47,22591400,31.47
2014-02-07,30.84,31.28,30.61,31.22,27809100,31.22
2014-02-06,30.71,30.91,30.60,30.84,23567000,30.84
2014-02-05,30.99,31.18,30.58,30.65,37159800,30.65
2014-02-04,31.64,32.00,30.60,31.44,47228700,31.18
2014-02-03,31.03,31.69,30.57,30.60,61310600,30.35
