Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,0.99,1.00,0.93,0.98,1966100,0.98
2014-04-16,1.00,1.00,0.90,0.96,3524200,0.96
2014-04-15,1.03,1.03,0.76,0.93,16093500,0.93
2014-04-14,1.10,1.14,0.98,1.01,7438400,1.01
2014-04-11,1.13,1.14,1.09,1.09,4532600,1.09
2014-04-10,1.22,1.23,1.13,1.16,2138000,1.16
2014-04-09,1.13,1.20,1.12,1.18,2484200,1.18
2014-04-08,1.16,1.18,1.14,1.15,2107400,1.15
2014-04-07,1.20,1.20,1.12,1.18,3191000,1.18
2014-04-04,1.25,1.28,1.16,1.20,6033200,1.20
2014-04-03,1.28,1.29,1.21,1.24,5898700,1.24
2014-04-02,1.20,1.29,1.16,1.28,9671700,1.28
2014-04-01,1.10,1.15,1.08,1.14,3373000,1.14
2014-03-31,1.15,1.16,1.07,1.08,5846500,1.08
2014-03-28,1.19,1.20,1.12,1.14,2882500,1.14
2014-03-27,1.12,1.20,1.08,1.15,5036500,1.15
2014-03-26,1.22,1.23,1.12,1.13,8648300,1.13
2014-03-25,1.30,1.30,1.21,1.23,5146600,1.23
2014-03-24,1.33,1.33,1.18,1.29,6751600,1.29
2014-03-21,1.35,1.35,1.27,1.30,3705700,1.30
2014-03-20,1.27,1.33,1.23,1.32,3348900,1.32
2014-03-19,1.34,1.37,1.28,1.30,5531900,1.30
2014-03-18,1.31,1.38,1.29,1.34,8664100,1.34
2014-03-17,1.25,1.29,1.23,1.28,4099700,1.28
2014-03-14,1.22,1.25,1.21,1.22,3390200,1.22
2014-03-13,1.25,1.26,1.21,1.23,5234700,1.23
2014-03-12,1.29,1.30,1.22,1.26,6207500,1.26
2014-03-11,1.45,1.47,1.25,1.28,16964300,1.28
2014-03-10,1.30,1.32,1.22,1.25,8487000,1.25
2014-03-07,1.30,1.35,1.28,1.32,12587700,1.32
2014-03-06,1.48,1.51,1.43,1.44,7859100,1.44
2014-03-05,1.50,1.51,1.43,1.46,7192000,1.46
2014-03-04,1.49,1.52,1.44,1.47,12764400,1.47
2014-03-03,1.31,1.47,1.29,1.42,15584600,1.42
2014-02-28,1.33,1.42,1.31,1.35,16320600,1.35
2014-02-27,1.19,1.40,1.16,1.35,16072700,1.35
2014-02-26,1.34,1.40,1.20,1.22,24051900,1.22
2014-02-25,1.12,1.29,1.11,1.29,19374100,1.29
2014-02-24,1.08,1.13,1.08,1.11,3860000,1.11
2014-02-21,1.05,1.11,1.05,1.08,3719000,1.08
2014-02-20,1.09,1.09,1.04,1.05,6088600,1.05
2014-02-19,1.09,1.10,1.07,1.08,3609900,1.08
2014-02-18,1.10,1.11,1.09,1.09,3652700,1.09
2014-02-14,1.11,1.12,1.09,1.10,4180900,1.10
2014-02-13,1.11,1.14,1.10,1.11,3292600,1.11
2014-02-12,1.12,1.14,1.10,1.12,3548000,1.12
2014-02-11,1.10,1.17,1.06,1.14,8077600,1.14
2014-02-10,1.23,1.30,1.08,1.12,24366800,1.12
2014-02-07,1.14,1.20,1.13,1.18,11984100,1.18
2014-02-06,1.05,1.15,1.02,1.11,8825000,1.11
2014-02-05,1.05,1.07,1.01,1.03,6770200,1.03
2014-02-04,1.12,1.12,1.04,1.08,6373900,1.08
2014-02-03,1.19,1.20,1.08,1.11,10407600,1.11
