Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,22.10,22.24,21.83,21.87,2233400,21.87
2014-04-16,22.33,22.38,21.90,22.09,2156200,22.09
2014-04-15,21.98,22.35,21.74,22.29,5375900,22.29
2014-04-14,22.53,22.91,22.36,22.58,3377700,22.58
2014-04-11,22.66,22.85,22.11,22.27,3393000,22.27
2014-04-10,23.33,23.50,22.60,22.66,4017900,22.66
2014-04-09,22.71,23.38,22.65,23.11,6157600,23.11
2014-04-08,23.06,23.13,22.76,22.91,4281300,22.91
2014-04-07,22.63,23.25,22.53,22.66,4602900,22.66
2014-04-04,23.41,23.43,22.73,22.78,3753900,22.78
2014-04-03,23.00,23.03,22.67,22.87,3280200,22.87
2014-04-02,23.15,23.44,23.07,23.11,3349500,23.11
2014-04-01,22.77,22.95,22.58,22.83,2867400,22.76
2014-03-31,23.16,23.26,22.63,22.70,3468100,22.63
2014-03-28,22.79,23.45,22.47,23.15,4482600,23.08
2014-03-27,22.28,22.93,22.27,22.71,4687900,22.64
2014-03-26,23.51,23.61,22.33,22.37,5467700,22.30
2014-03-25,23.54,23.68,23.24,23.46,3468300,23.39
2014-03-24,24.72,24.81,23.20,23.27,6926600,23.20
2014-03-21,25.30,25.55,24.80,25.04,6415500,24.96
2014-03-20,24.76,25.40,24.53,25.14,4408000,25.06
2014-03-19,25.44,25.73,24.91,25.05,5110500,24.97
2014-03-18,25.56,26.17,25.33,25.83,4798600,25.75
2014-03-17,26.57,26.78,26.03,26.09,4512700,26.01
2014-03-14,26.95,27.14,26.42,26.72,4530100,26.64
2014-03-13,26.03,26.63,25.85,26.53,4782100,26.45
2014-03-12,25.37,26.09,25.36,26.05,4418900,25.97
2014-03-11,25.43,25.63,25.00,25.09,3282800,25.01
2014-03-10,25.19,25.46,24.98,25.20,2786200,25.12
2014-03-07,25.53,25.59,24.84,25.18,6427600,25.10
2014-03-06,25.97,26.17,25.83,26.03,2717600,25.95
2014-03-05,25.39,25.90,25.27,25.83,2587400,25.75
2014-03-04,25.41,25.73,25.12,25.40,3454200,25.32
2014-03-03,26.13,26.33,25.64,25.70,4332600,25.62
2014-02-28,25.58,25.84,25.33,25.53,3273500,25.45
2014-02-27,25.37,25.97,25.20,25.51,3238500,25.43
2014-02-26,25.38,25.76,25.09,25.28,4213200,25.20
2014-02-25,25.72,26.08,25.38,25.62,4290700,25.54
2014-02-24,26.21,26.34,25.75,25.83,3945700,25.75
2014-02-21,25.89,26.36,25.55,25.84,5063700,25.76
2014-02-20,25.01,25.99,24.87,25.95,6364000,25.87
2014-02-19,25.62,25.98,24.81,24.93,5937200,24.85
2014-02-18,25.72,25.89,25.12,25.76,5468100,25.68
2014-02-14,25.41,25.85,25.15,25.38,7732100,25.30
2014-02-13,23.80,24.78,23.58,24.74,5321200,24.66
2014-02-12,24.42,24.59,23.64,23.73,6443100,23.66
2014-02-11,23.59,24.50,23.56,24.28,7396400,24.21
2014-02-10,22.97,23.74,22.82,23.38,7056800,23.31
2014-02-07,21.98,22.79,21.90,22.62,4912900,22.55
2014-02-06,21.86,22.17,21.74,21.98,2838800,21.91
2014-02-05,22.06,22.06,21.63,21.74,4561500,21.67
2014-02-04,21.47,21.82,21.45,21.77,5901700,21.70
2014-02-03,21.90,22.19,21.53,21.56,4818600,21.49
