Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,1861.73,1869.63,1856.72,1864.85,3341430000,1864.85
2014-04-16,0.06,0.06,0.06,0.06,14000,0.06
2014-04-15,0.06,0.06,0.06,0.06,50000,0.06
2014-04-14,0.06,0.06,0.06,0.06,32500,0.06
2014-04-10,0.06,0.06,0.06,0.06,000,0.06
2014-04-09,0.06,0.06,0.06,0.06,000,0.06
2014-04-08,0.06,0.06,0.06,0.06,19100,0.06
2014-04-07,0.06,0.07,0.06,0.06,127000,0.06
2014-04-04,0.06,0.06,0.06,0.06,000,0.06
2014-04-03,0.06,0.06,0.06,0.06,96000,0.06
2014-04-02,0.07,0.07,0.07,0.07,000,0.07
2014-04-01,0.07,0.07,0.07,0.07,000,0.07
2014-03-31,0.07,0.07,0.07,0.07,000,0.07
2014-03-28,0.07,0.07,0.07,0.07,000,0.07
2014-03-27,0.07,0.07,0.07,0.07,40000,0.07
2014-03-26,0.08,0.08,0.08,0.08,000,0.08
2014-03-25,0.08,0.08,0.07,0.08,414100,0.08
2014-03-24,0.08,0.08,0.08,0.08,390000,0.08
2014-03-21,0.07,0.07,0.07,0.07,000,0.07
2014-03-20,0.07,0.07,0.07,0.07,74300,0.07
2014-03-19,0.07,0.07,0.07,0.07,000,0.07
2014-03-18,0.07,0.07,0.07,0.07,233800,0.07
2014-03-17,0.07,0.07,0.07,0.07,345400,0.07
2014-03-14,0.06,0.07,0.06,0.07,353900,0.07
2014-03-13,0.06,0.06,0.06,0.06,29500,0.06
2014-03-12,0.05,0.06,0.05,0.06,400800,0.06
2014-03-11,0.05,0.05,0.05,0.05,14100,0.05
2014-03-10,0.05,0.05,0.05,0.05,58100,0.05
2014-03-07,0.04,0.04,0.04,0.04,000,0.04
2014-03-06,0.04,0.04,0.04,0.04,69500,0.04
2014-03-05,0.04,0.04,0.04,0.04,485500,0.04
2014-03-04,0.04,0.04,0.04,0.04,000,0.04
2014-03-03,0.04,0.04,0.04,0.04,23200,0.04
2014-02-28,0.04,0.04,0.04,0.04,200000,0.04
2014-02-27,0.04,0.04,0.04,0.04,627600,0.04
2014-02-26,0.03,0.03,0.03,0.03,000,0.03
2014-02-25,0.03,0.04,0.03,0.03,254900,0.03
2014-02-24,0.03,0.03,0.03,0.03,280000,0.03
2014-02-21,0.04,0.04,0.04,0.04,31500,0.04
2014-02-20,0.04,0.04,0.04,0.04,242800,0.04
2014-02-19,0.04,0.04,0.04,0.04,328600,0.04
2014-02-18,0.04,0.04,0.04,0.04,000,0.04
2014-02-17,0.04,0.04,0.04,0.04,21400,0.04
2014-02-14,0.04,0.04,0.04,0.04,000,0.04
2014-02-13,0.04,0.04,0.04,0.04,1000000,0.04
2014-02-12,0.04,0.04,0.04,0.04,000,0.04
2014-02-11,0.04,0.04,0.04,0.04,000,0.04
2014-02-10,0.04,0.04,0.04,0.04,25000,0.04
2014-02-07,0.04,0.04,0.04,0.04,000,0.04
2014-02-06,0.04,0.04,0.04,0.04,000,0.04
2014-02-05,0.04,0.04,0.04,0.04,000,0.04
2014-02-04,0.04,0.04,0.04,0.04,210000,0.04
2014-02-03,0.04,0.04,0.04,0.04,000,0.04
