Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,3.76,3.84,3.71,3.75,787000,3.75
2014-04-16,3.76,3.83,3.72,3.79,735300,3.79
2014-04-15,3.75,3.81,3.60,3.75,1061000,3.75
2014-04-14,3.78,3.85,3.71,3.76,793400,3.76
2014-04-11,3.85,3.86,3.73,3.75,1179000,3.75
2014-04-10,4.05,4.07,3.83,3.90,1344800,3.90
2014-04-09,3.94,4.10,3.94,4.04,2172800,4.04
2014-04-08,3.75,3.96,3.74,3.92,1868600,3.92
2014-04-07,3.79,3.84,3.72,3.77,1048400,3.77
2014-04-04,3.79,3.85,3.70,3.82,1671700,3.82
2014-04-03,3.84,3.94,3.75,3.76,1223400,3.76
2014-04-02,3.71,3.91,3.71,3.81,2529600,3.81
2014-04-01,3.47,3.74,3.47,3.72,2036300,3.72
2014-03-31,3.50,3.54,3.47,3.47,963800,3.47
2014-03-28,3.40,3.53,3.40,3.51,1257200,3.51
2014-03-27,3.45,3.50,3.37,3.39,997100,3.39
2014-03-26,3.65,3.65,3.43,3.47,1963000,3.47
2014-03-25,3.58,3.67,3.57,3.61,1035300,3.61
2014-03-24,3.77,3.77,3.55,3.63,1286200,3.63
2014-03-21,3.66,3.82,3.59,3.72,2362300,3.72
2014-03-20,3.64,3.70,3.55,3.63,903600,3.63
2014-03-19,3.85,3.85,3.60,3.63,1374700,3.63
2014-03-18,3.75,3.81,3.71,3.79,1173800,3.79
2014-03-17,3.62,3.84,3.61,3.78,1754100,3.78
2014-03-14,3.55,3.63,3.53,3.60,1279600,3.60
2014-03-13,3.71,3.75,3.54,3.59,1454800,3.59
2014-03-12,3.55,3.72,3.49,3.69,1443100,3.69
2014-03-11,3.85,3.85,3.48,3.66,3896200,3.66
2014-03-10,3.94,3.94,3.84,3.88,1882900,3.88
2014-03-07,3.95,3.98,3.90,3.96,1747900,3.96
2014-03-06,3.98,4.01,3.93,3.95,1170100,3.95
2014-03-05,4.01,4.05,3.96,3.98,1308900,3.98
2014-03-04,4.01,4.11,4.00,4.04,1461100,4.04
2014-03-03,4.03,4.06,3.92,4.00,2574400,4.00
2014-02-28,4.08,4.09,4.02,4.05,1510000,4.05
2014-02-27,4.08,4.12,4.05,4.07,843500,4.07
2014-02-26,4.09,4.10,4.02,4.08,1467100,4.08
2014-02-25,4.08,4.16,4.07,4.07,1067300,4.07
2014-02-24,4.09,4.15,4.04,4.11,1994200,4.11
2014-02-21,4.12,4.14,4.06,4.06,1656000,4.06
2014-02-20,4.11,4.18,4.06,4.10,1799100,4.10
2014-02-19,4.06,4.20,4.02,4.12,2963700,4.12
2014-02-18,4.08,4.12,4.03,4.09,1763400,4.09
2014-02-14,4.17,4.17,4.05,4.06,2613300,4.06
2014-02-13,4.12,4.25,4.02,4.16,3451500,4.16
2014-02-12,4.43,4.49,4.30,4.37,4016400,4.37
2014-02-11,4.22,4.37,4.15,4.35,2834600,4.35
2014-02-10,4.21,4.27,4.11,4.22,1922600,4.22
2014-02-07,4.01,4.37,4.00,4.19,5354400,4.19
2014-02-06,3.96,4.05,3.90,3.99,3279400,3.99
2014-02-05,4.05,4.10,3.91,3.95,2426200,3.95
2014-02-04,4.05,4.18,3.97,4.08,3406800,4.08
2014-02-03,4.34,4.35,4.00,4.06,4820100,4.06
2014-01-31,4.29,4.48,4.09,4.29,6546800,4.29
2014-01-30,4.73,4.81,4.17,4.30,13067900,4.30
2014-01-29,5.00,5.45,4.49,4.79,45951200,4.79
2014-01-28,4.00,4.10,3.93,3.97,3203900,3.97
2014-01-27,3.92,4.09,3.83,3.95,5632700,3.95
2014-01-24,3.75,3.99,3.67,3.92,4116200,3.92
2014-01-23,3.69,3.91,3.54,3.73,5441200,3.73
2014-01-22,3.16,4.14,3.07,3.81,16478800,3.81
2014-01-21,3.16,3.20,3.11,3.13,1262000,3.13
2014-01-17,3.25,3.29,3.18,3.18,1031300,3.18
2014-01-16,3.28,3.35,3.20,3.25,1557600,3.25
2014-01-15,3.18,3.30,3.18,3.27,1985600,3.27
2014-01-14,3.15,3.20,3.11,3.20,954100,3.20
2014-01-13,3.19,3.20,3.14,3.17,1119500,3.17
2014-01-10,3.20,3.20,3.12,3.17,1089000,3.17
2014-01-09,3.15,3.18,3.09,3.18,904300,3.18
2014-01-08,3.15,3.15,3.07,3.14,1008400,3.14
2014-01-07,3.22,3.23,3.10,3.12,1018200,3.12
2014-01-06,3.20,3.27,3.10,3.19,3008500,3.19
2014-01-03,2.90,3.27,2.90,3.12,3841100,3.12
2014-01-02,3.01,3.05,2.90,2.91,873000,2.91
2013-12-31,2.96,3.00,2.93,2.96,843300,2.96
2013-12-30,2.96,3.03,2.96,2.97,765400,2.97
2013-12-27,2.96,2.99,2.93,2.99,1044700,2.99
2013-12-26,2.93,2.98,2.91,2.96,1062500,2.96
2013-12-24,2.97,2.98,2.90,2.91,560700,2.91
2013-12-23,2.91,2.98,2.87,2.98,910900,2.98
2013-12-20,2.91,2.97,2.90,2.91,1209500,2.91
2013-12-19,2.91,2.92,2.87,2.88,627900,2.88
2013-12-18,3.05,3.05,2.87,2.89,1703900,2.89
2013-12-17,3.25,3.25,3.03,3.03,2329200,3.03
2013-12-16,3.05,3.20,3.03,3.08,1762300,3.08
2013-12-13,2.86,3.03,2.86,3.02,735200,3.02
2013-12-12,2.87,2.98,2.83,2.90,645700,2.90
2013-12-11,2.89,2.90,2.82,2.88,739700,2.88
2013-12-10,2.99,3.01,2.88,2.89,984300,2.89
2013-12-09,3.03,3.08,2.91,2.99,1110000,2.99
2013-12-06,3.12,3.15,3.05,3.05,689900,3.05
2013-12-05,3.18,3.19,3.08,3.13,653900,3.13
2013-12-04,3.11,3.19,3.08,3.17,727500,3.17
