Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,77.08,77.75,77.08,77.66,6949500,77.66
2014-04-16,77.31,77.47,77.03,77.22,5036800,77.22
2014-04-15,77.03,77.31,76.44,76.88,6928600,76.88
2014-04-14,76.94,77.55,76.79,77.38,5375900,77.38
2014-04-11,76.78,77.23,76.29,76.50,7979000,76.50
2014-04-10,77.95,78.14,76.65,76.89,7599600,76.89
2014-04-09,78.20,78.22,77.28,77.97,6877800,77.97
2014-04-08,77.09,78.31,76.80,78.18,7498700,78.18
2014-04-07,77.23,77.72,77.09,77.31,7675700,77.31
2014-04-04,77.58,77.90,77.25,77.31,6760200,77.31
2014-04-03,77.20,77.55,77.00,77.46,6040500,77.46
2014-04-02,76.58,77.19,76.34,77.18,6078100,77.18
2014-04-01,76.76,77.25,76.54,76.77,5770000,76.77
2014-03-31,76.35,76.78,76.02,76.43,4695600,76.43
2014-03-28,76.26,76.60,75.77,76.01,5871100,76.01
2014-03-27,76.38,76.82,76.04,76.14,5596600,76.14
2014-03-26,77.08,77.53,76.23,76.23,7727800,76.23
2014-03-25,76.88,77.14,76.16,76.87,7382200,76.87
2014-03-24,76.21,76.80,76.11,76.76,7279500,76.76
2014-03-21,75.89,77.02,75.45,76.10,17160200,76.10
2014-03-20,74.02,75.68,73.86,75.38,8637500,75.38
2014-03-19,74.56,75.11,74.02,74.38,5761100,74.38
2014-03-18,74.66,74.99,74.45,74.77,3943800,74.77
2014-03-17,74.30,74.85,74.01,74.68,5780400,74.68
2014-03-14,74.67,75.07,74.27,74.28,6619000,74.28
2014-03-13,75.71,76.18,74.91,74.93,5824500,74.93
2014-03-12,74.85,75.75,74.82,75.53,8627600,75.53
2014-03-11,74.72,74.97,74.20,74.92,9005600,74.92
2014-03-10,74.52,74.60,74.05,74.43,4827000,74.43
2014-03-07,74.96,74.96,74.36,74.58,5054600,74.58
2014-03-06,74.86,75.11,74.51,74.88,5106600,74.40
2014-03-05,75.32,75.33,74.58,74.80,5524800,74.32
2014-03-04,74.77,75.49,74.66,75.13,7543800,74.65
2014-03-03,74.49,74.67,73.83,74.12,5347600,73.64
2014-02-28,74.48,75.19,74.20,74.70,7444600,74.22
2014-02-27,74.78,74.78,74.09,74.56,5448200,74.08
2014-02-26,73.94,75.10,73.79,74.78,9022200,74.30
2014-02-25,73.18,73.74,73.09,73.35,9482700,72.88
2014-02-24,73.24,73.82,73.14,73.35,7321500,72.88
2014-02-21,73.19,73.40,72.82,73.12,8971000,72.65
2014-02-20,73.05,74.00,72.81,73.52,13079100,73.05
2014-02-19,75.01,75.32,74.41,74.85,8130300,74.37
2014-02-18,75.49,75.65,74.86,75.33,5993800,74.85
