Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,99.69,100.97,99.69,100.42,15435700,100.42
2014-04-16,99.05,100.10,98.97,99.94,12508100,99.94
2014-04-15,97.58,98.70,97.07,98.68,12961600,98.68
2014-04-14,97.49,98.06,96.74,97.86,9610200,97.86
2014-04-11,96.51,97.44,96.28,96.72,13352500,96.72
2014-04-10,96.98,97.78,96.24,96.78,13443400,96.78
2014-04-09,97.75,97.79,96.63,97.33,10463900,97.33
2014-04-08,97.01,97.88,96.75,97.45,10243000,97.45
2014-04-07,97.25,97.53,96.75,96.78,10120700,96.78
2014-04-04,98.30,98.71,97.28,97.36,12496100,97.36
2014-04-03,97.83,98.54,97.56,97.93,10113000,97.93
2014-04-02,97.53,98.06,97.18,97.95,9551000,97.95
2014-04-01,97.65,97.93,97.28,97.73,9475300,97.73
2014-03-31,98.49,98.85,97.32,97.68,12375200,97.68
2014-03-28,96.47,97.97,96.47,97.70,12321800,97.70
2014-03-27,94.61,96.50,94.06,96.24,15427500,96.24
2014-03-26,95.56,95.58,94.41,94.70,11033300,94.70
2014-03-25,95.10,95.82,94.80,94.91,9796600,94.91
2014-03-24,94.76,95.10,94.48,94.64,9539800,94.64
2014-03-21,95.10,95.99,94.31,94.31,24479800,94.31
2014-03-20,93.44,94.74,93.01,94.58,10405000,94.58
2014-03-19,94.65,95.30,93.13,93.73,9914700,93.73
2014-03-18,94.41,95.25,94.07,94.71,8757300,94.71
2014-03-17,93.95,94.53,93.75,94.32,8676100,94.32
2014-03-14,93.58,94.22,93.29,93.47,11723300,93.47
2014-03-13,94.44,94.57,93.33,93.64,9872500,93.64
2014-03-12,93.64,94.47,93.55,94.21,9705400,94.21
2014-03-11,95.36,95.59,93.52,94.01,12143600,94.01
2014-03-10,95.15,95.55,94.66,95.50,9964500,95.50
2014-03-07,94.37,95.06,93.99,94.99,12659100,94.99
2014-03-06,93.67,93.94,93.27,93.76,12610400,93.76
2014-03-05,95.20,95.29,93.40,93.80,19829600,93.80
2014-03-04,96.59,96.86,95.87,96.52,12566100,96.52
2014-03-03,95.76,96.54,94.83,95.50,11896700,95.50
2014-02-28,95.96,96.83,95.78,96.27,12651400,96.27
2014-02-27,95.58,96.05,95.16,95.84,9101200,95.84
2014-02-26,96.56,96.86,95.53,95.79,9087600,95.79
2014-02-25,96.54,96.97,95.96,96.31,10663000,96.31
2014-02-24,95.61,97.25,95.41,96.44,16012500,96.44
2014-02-21,95.48,95.58,94.94,95.03,11282200,95.03
2014-02-20,93.85,95.77,93.75,95.37,14424300,95.37
2014-02-19,93.80,95.29,93.80,93.95,12227800,93.95
2014-02-18,94.07,94.72,93.36,94.07,12979300,94.07
2014-02-14,91.81,94.43,91.60,94.11,18260400,94.11
2014-02-13,90.59,91.65,90.40,91.43,9775300,91.43
2014-02-12,91.01,91.86,90.64,91.08,10752400,91.08
2014-02-11,89.56,91.00,89.40,90.84,13422800,90.84
2014-02-10,90.45,90.53,89.36,89.52,12237700,89.52
2014-02-07,90.12,90.63,89.75,90.58,12573800,90.58
2014-02-06,89.51,90.18,89.25,89.80,13646100,89.80
2014-02-05,90.31,90.61,89.38,89.58,16393600,88.95
2014-02-04,90.37,90.64,89.39,90.02,17414400,89.39
2014-02-03,91.92,92.31,89.64,90.05,20377900,89.42
2014-01-31,92.85,93.28,91.70,92.16,17361400,91.51
2014-01-30,94.00,94.95,93.06,93.99,14628400,93.33
2014-01-29,94.93,96.20,94.65,95.11,13191500,94.44
2014-01-28,95.35,95.92,94.77,95.65,10773600,94.98
2014-01-27,95.08,95.58,94.75,94.92,12474600,94.25
2014-01-24,96.18,96.25,94.82,94.85,14584300,94.18
2014-01-23,97.25,97.39,96.01,96.97,15393200,96.29
2014-01-22,98.88,98.95,97.84,97.88,11642800,97.19
2014-01-21,98.57,98.89,98.04,98.50,13847300,97.81
2014-01-17,99.18,100.34,98.67,99.16,15998000,98.46
2014-01-16,98.79,99.04,98.25,98.94,9421700,98.24
2014-01-15,99.16,99.35,98.63,98.78,9425500,98.09
2014-01-14,98.80,99.27,98.65,99.12,9265000,98.42
2014-01-13,99.91,100.10,98.27,98.55,12110900,97.86
2014-01-10,99.99,100.63,99.12,100.52,10535400,99.81
2014-01-09,100.20,100.39,99.03,99.76,11674300,99.06
2014-01-08,101.19,101.19,100.15,100.74,11180400,100.03
2014-01-07,99.61,101.22,99.42,101.07,11187000,100.36
2014-01-06,99.94,100.14,98.89,99.66,11848500,98.96
2014-01-03,99.77,100.17,99.14,99.51,9295600,98.81
2014-01-02,100.60,100.76,99.39,99.75,11028100,99.05
2013-12-31,100.49,101.39,100.43,101.20,8509600,100.49
2013-12-30,101.53,101.55,100.31,100.31,9007900,99.60
2013-12-27,101.24,101.74,100.99,101.51,10209000,100.80
2013-12-26,99.42,101.03,99.38,100.90,9531200,100.19
2013-12-24,98.33,99.44,98.33,99.22,4168300,98.52
2013-12-23,99.00,99.29,98.39,98.51,10127600,97.82
2013-12-20,99.39,99.60,98.60,98.68,23331000,97.99
2013-12-19,99.50,99.60,99.00,99.43,12905900,98.73
2013-12-18,97.43,99.95,97.01,99.54,21331300,98.84
2013-12-17,97.02,97.13,96.03,96.75,14920900,96.07
2013-12-16,96.28,98.88,96.13,97.22,23226000,96.54
2013-12-13,95.13,95.92,94.66,95.31,10629500,94.64
2013-12-12,94.50,95.88,94.28,95.36,15562600,94.69
2013-12-11,95.38,95.54,94.16,94.26,12811800,93.60
2013-12-10,95.90,95.98,95.39,95.71,9868100,95.04
2013-12-09,95.95,96.25,95.60,95.84,15516700,95.17
2013-12-06,94.97,95.71,94.59,95.65,12063400,94.98
2013-12-05,94.07,94.65,93.92,94.13,10586000,93.47
2013-12-04,94.19,94.90,93.92,94.67,13074000,94.00
2013-12-03,93.60,94.48,93.23,94.39,12599500,93.73
2013-12-02,93.27,94.04,92.92,93.52,9310500,92.86
2013-11-29,93.65,94.22,93.30,93.48,6770500,92.82
2013-11-27,94.36,94.42,93.48,93.80,8828100,93.14
2013-11-26,94.75,94.81,94.15,94.27,11857900,93.61
2013-11-25,95.21,95.75,94.83,95.09,10515100,94.42
2013-11-22,94.96,95.07,94.29,95.01,8534700,94.34
2013-11-21,94.85,95.39,94.63,94.69,9128400,94.02
2013-11-20,95.75,95.95,94.37,94.68,10455400,94.01
2013-11-19,95.40,95.79,95.16,95.42,12697300,94.75
2013-11-18,95.98,96.00,95.06,95.45,14243700,94.78
2013-11-15,94.15,95.29,94.03,95.27,18374500,94.60
2013-11-14,92.68,93.42,92.68,93.22,7909200,92.56
2013-11-13,92.22,92.74,92.07,92.59,9280000,91.94
2013-11-12,92.67,93.32,92.50,92.67,10727300,92.02
2013-11-11,92.85,93.23,92.50,92.96,7924700,92.31
2013-11-08,91.80,92.82,91.48,92.73,12330100,92.08
2013-11-07,92.64,92.98,91.76,91.96,16572100,91.31
2013-11-06,92.42,93.28,92.12,93.22,13464600,91.94
2013-11-05,91.34,93.25,91.24,91.99,21122500,90.73
2013-11-04,90.00,92.27,90.00,92.10,20591600,90.83
2013-11-01,89.74,90.04,88.27,89.82,19023500,88.59
2013-10-31,89.45,90.96,89.20,89.62,19185200,88.39
2013-10-30,88.97,89.48,88.69,88.81,14305900,87.59
2013-10-29,88.45,89.03,88.44,88.93,10340000,87.71
2013-10-28,87.83,88.46,87.61,88.23,9921900,87.02
2013-10-25,88.23,88.65,87.82,87.97,11382000,86.76
2013-10-24,87.98,88.73,87.97,88.42,12288900,87.20
2013-10-23,87.52,87.65,86.95,87.61,11449100,86.41
2013-10-22,87.29,88.15,87.13,87.98,12710600,86.77
2013-10-21,87.50,87.65,86.84,87.23,10730900,86.03
2013-10-18,87.69,87.74,87.30,87.55,12425100,86.35
2013-10-17,87.13,87.50,87.01,87.48,10438200,86.28
2013-10-16,87.48,87.86,86.72,87.31,11668100,86.11
2013-10-15,87.47,87.58,86.64,86.79,12018000,85.60
2013-10-14,86.51,87.74,86.51,87.60,9742100,86.40
2013-10-11,85.90,86.95,85.50,86.95,12661800,85.75
2013-10-10,85.52,86.04,84.79,86.04,17532400,84.86
2013-10-09,85.35,85.59,84.83,85.16,13575100,83.99
2013-10-08,85.86,85.95,85.47,85.51,15335700,84.33
2013-10-07,85.57,86.29,85.27,85.90,10985800,84.72
2013-10-04,86.31,86.42,85.68,86.32,11325500,85.13
2013-10-03,86.04,86.05,85.34,85.50,13923400,84.32
2013-10-02,85.75,86.11,85.28,86.08,11841400,84.90
2013-10-01,85.99,86.34,85.78,86.00,11885100,84.82
2013-09-30,86.06,86.70,85.61,86.04,17486100,84.86
2013-09-27,86.85,87.01,86.61,86.90,10867100,85.71
2013-09-26,87.40,87.45,86.81,87.07,9787100,85.87
