Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,36.29,36.60,35.55,36.38,28932700,36.38
2014-04-16,36.98,37.30,35.81,36.35,61572900,36.35
2014-04-15,33.93,34.28,32.64,34.21,50277800,34.21
2014-04-14,33.55,34.04,33.04,33.45,26322600,33.45
2014-04-11,32.64,33.48,32.15,32.87,28040700,32.87
2014-04-10,34.88,34.98,33.09,33.40,33970700,33.40
2014-04-09,34.19,35.00,33.95,34.87,21597500,34.87
2014-04-08,33.10,34.43,33.02,33.83,35440300,33.83
2014-04-07,34.11,34.37,32.53,33.07,47770200,33.07
2014-04-04,36.01,36.05,33.83,34.26,41049900,34.26
2014-04-03,36.66,36.79,35.51,35.76,16792000,35.76
2014-04-02,36.68,36.86,36.56,36.64,14522800,36.64
2014-04-01,36.16,36.86,36.15,36.49,15734000,36.49
2014-03-31,36.46,36.58,35.73,35.90,15153200,35.90
2014-03-28,35.77,36.73,35.53,35.90,18292900,35.90
2014-03-27,35.50,36.15,35.05,35.59,21929600,35.59
2014-03-26,36.24,36.74,35.45,35.45,20938800,35.45
2014-03-25,37.00,37.07,35.86,35.93,31715100,35.93
2014-03-24,38.00,38.04,36.28,36.68,29589000,36.68
2014-03-21,38.10,38.27,37.73,37.94,16044200,37.94
2014-03-20,38.37,38.47,37.42,37.77,19517000,37.77
2014-03-19,39.66,39.94,38.51,38.61,19324600,38.61
2014-03-18,39.00,39.51,38.80,39.45,16934700,39.45
2014-03-17,39.00,39.36,38.61,39.11,29698300,39.11
2014-03-14,36.69,38.19,36.45,37.60,30862300,37.60
2014-03-13,38.05,38.42,36.81,37.23,21179700,37.23
2014-03-12,37.21,37.61,36.48,37.50,14794700,37.50
2014-03-11,38.25,38.30,37.43,37.56,12592300,37.56
2014-03-10,38.63,38.78,37.91,38.05,11819200,38.05
2014-03-07,39.71,39.91,38.45,38.70,14455500,38.70
2014-03-06,39.60,39.98,39.50,39.66,10626700,39.66
2014-03-05,39.83,40.15,39.19,39.50,12536800,39.50
2014-03-04,38.76,39.79,38.68,39.63,16139400,39.63
2014-03-03,37.65,38.66,37.43,38.25,14714700,38.25
2014-02-28,38.55,39.38,38.22,38.67,16957100,38.67
2014-02-27,37.80,38.48,37.74,38.47,15489400,38.47
2014-02-26,37.35,38.10,37.34,37.62,15778900,37.62
2014-02-25,37.48,37.58,37.02,37.26,9756900,37.26
2014-02-24,37.23,37.71,36.82,37.42,15738900,37.42
2014-02-21,37.90,37.96,37.22,37.29,12351900,37.29
2014-02-20,37.83,38.04,37.30,37.79,11155900,37.79
2014-02-19,38.06,38.33,37.68,37.81,15851900,37.81
2014-02-18,38.31,38.59,38.09,38.31,12096400,38.31
2014-02-14,38.43,38.45,38.11,38.23,9975800,38.23
2014-02-13,37.92,38.69,37.79,38.52,12088100,38.52
2014-02-12,38.60,38.91,38.03,38.11,14088500,38.11
2014-02-11,38.15,38.86,38.09,38.50,18348000,38.50
2014-02-10,38.00,38.13,37.25,37.76,17642900,37.76
2014-02-07,36.65,37.27,36.24,37.23,16178500,37.23
2014-02-06,35.65,36.75,35.61,36.24,14250000,36.24
2014-02-05,35.60,35.94,34.99,35.49,14022900,35.49
2014-02-04,35.11,35.86,34.86,35.66,21082500,35.66
2014-02-03,35.94,36.01,34.66,34.90,22195200,34.90
