Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,4.15,4.38,4.10,4.29,39136100,4.29
2014-04-16,4.08,4.13,4.00,4.11,26176400,4.11
2014-04-15,4.06,4.06,3.79,4.01,36645200,4.01
2014-04-14,4.15,4.17,3.89,4.01,29674300,4.01
2014-04-11,4.12,4.20,4.00,4.07,32154500,4.07
2014-04-10,4.40,4.40,4.05,4.07,32747200,4.07
2014-04-09,4.33,4.39,4.28,4.37,24749300,4.37
2014-04-08,4.26,4.37,4.22,4.30,29562000,4.30
2014-04-07,4.26,4.34,4.11,4.19,63150000,4.19
2014-04-04,4.20,4.33,4.08,4.20,38065700,4.20
2014-04-03,4.33,4.39,4.10,4.15,36967000,4.15
2014-04-02,4.40,4.54,4.32,4.32,36325900,4.32
2014-04-01,4.34,4.49,4.32,4.38,32441800,4.38
2014-03-31,4.52,4.54,4.21,4.30,31174700,4.30
2014-03-28,4.67,4.67,4.26,4.42,46037700,4.42
2014-03-27,4.60,4.63,4.36,4.47,55456800,4.47
2014-03-26,4.75,4.75,4.52,4.64,58092100,4.64
2014-03-25,4.75,5.08,4.75,4.84,45490700,4.84
2014-03-24,4.87,4.95,4.66,4.70,34411400,4.70
2014-03-21,5.07,5.13,4.87,4.95,37529900,4.95
2014-03-20,5.12,5.28,5.01,5.08,26778100,5.08
2014-03-19,5.31,5.38,5.05,5.14,36224700,5.14
2014-03-18,5.34,5.47,5.18,5.35,28170100,5.35
2014-03-17,5.58,5.59,5.33,5.34,27678800,5.34
2014-03-14,5.52,5.57,5.42,5.46,17949200,5.46
2014-03-13,5.78,5.79,5.42,5.52,39279500,5.52
2014-03-12,5.65,5.87,5.50,5.79,35845400,5.79
2014-03-11,5.52,5.89,5.41,5.65,45948700,5.65
2014-03-10,5.55,5.62,5.48,5.53,15145200,5.53
2014-03-07,5.57,5.63,5.48,5.58,24834200,5.58
2014-03-06,5.65,5.70,5.46,5.51,26213400,5.51
2014-03-05,5.68,5.85,5.64,5.69,36664700,5.69
2014-03-04,5.46,5.74,5.43,5.65,57668700,5.65
2014-03-03,5.05,5.26,4.92,5.24,31870000,5.24
2014-02-28,5.23,5.32,4.91,5.06,34558200,5.06
2014-02-27,5.21,5.24,5.08,5.21,30460800,5.21
2014-02-26,5.11,5.34,5.09,5.24,30243000,5.24
2014-02-25,5.00,5.22,4.96,5.08,32959100,5.08
2014-02-24,5.00,5.07,4.97,5.00,18799500,5.00
2014-02-21,5.07,5.08,4.93,5.00,26652000,5.00
2014-02-20,5.07,5.11,4.97,5.09,21532700,5.09
2014-02-19,5.09,5.14,5.01,5.07,35508700,5.07
2014-02-18,4.89,5.16,4.88,5.15,46042600,5.15
2014-02-14,4.80,5.06,4.74,4.87,51835400,4.87
2014-02-13,4.72,4.81,4.62,4.76,35412300,4.76
2014-02-12,4.62,4.92,4.58,4.80,73618500,4.80
2014-02-11,4.50,4.67,4.50,4.63,20280100,4.63
2014-02-10,4.67,4.76,4.54,4.56,36814000,4.56
2014-02-07,4.44,4.60,4.40,4.53,26513500,4.53
2014-02-06,4.47,4.55,4.38,4.47,27147700,4.47
2014-02-05,4.52,4.60,4.37,4.46,39948400,4.46
2014-02-04,4.70,4.97,4.49,4.59,88538700,4.59
2014-02-03,4.19,4.58,4.16,4.49,75477000,4.49
2014-01-31,4.25,4.50,4.10,4.40,170206300,4.40
2014-01-30,3.53,3.57,3.49,3.56,26063600,3.56
2014-01-29,3.38,3.45,3.36,3.42,11861500,3.42
2014-01-28,3.41,3.48,3.35,3.39,23461100,3.39
2014-01-27,3.45,3.51,3.37,3.42,12592900,3.42
2014-01-24,3.51,3.53,3.31,3.50,27860300,3.50
2014-01-23,3.60,3.60,3.51,3.56,9988400,3.56
2014-01-22,3.67,3.68,3.58,3.63,8809000,3.63
2014-01-21,3.54,3.66,3.48,3.63,18229900,3.63
2014-01-17,3.56,3.61,3.48,3.55,19400300,3.55
2014-01-16,3.95,3.99,3.53,3.54,80341500,3.54
2014-01-15,4.06,4.11,4.01,4.03,8340600,4.03
2014-01-14,4.02,4.08,4.00,4.06,8482800,4.06
2014-01-13,4.09,4.16,3.98,4.03,14065700,4.03
2014-01-10,4.14,4.18,4.10,4.11,5871000,4.11
2014-01-09,4.20,4.21,4.10,4.12,9991500,4.12
2014-01-08,4.18,4.25,4.12,4.18,18647800,4.18
2014-01-07,4.06,4.22,4.05,4.14,29252700,4.14
2014-01-06,4.06,4.07,3.97,4.04,16313600,4.04
2014-01-03,3.94,4.02,3.91,3.97,10870800,3.97
2014-01-02,3.80,3.97,3.80,3.95,11007400,3.95
2013-12-31,3.86,3.89,3.77,3.80,20008400,3.80
2013-12-30,3.95,3.98,3.84,3.88,12516900,3.88
2013-12-27,4.04,4.06,3.95,3.95,12033300,3.95
2013-12-26,4.15,4.16,4.04,4.07,6772100,4.07
2013-12-24,4.07,4.16,4.07,4.11,8151000,4.11
2013-12-23,4.00,4.10,3.97,4.08,20453400,4.08
2013-12-20,4.07,4.09,3.96,4.00,31894400,4.00
2013-12-19,4.09,4.15,4.06,4.06,9594400,4.06
2013-12-18,4.16,4.16,4.02,4.10,15031400,4.10
2013-12-17,4.09,4.16,4.07,4.14,7344000,4.14
2013-12-16,4.11,4.17,4.02,4.10,10280500,4.10
2013-12-13,4.20,4.22,4.11,4.11,11078100,4.11
2013-12-12,4.08,4.20,4.01,4.14,12648400,4.14
2013-12-11,4.15,4.15,4.03,4.05,14009000,4.05
2013-12-10,4.00,4.14,3.96,4.13,26283500,4.13
2013-12-09,3.99,4.05,3.92,3.99,15041600,3.99
2013-12-06,4.03,4.11,3.97,3.99,23039600,3.99
2013-12-05,4.09,4.15,3.99,4.01,24489700,4.01
2013-12-04,4.08,4.17,4.00,4.07,24991200,4.07
2013-12-03,4.24,4.25,4.07,4.09,32069800,4.09
2013-12-02,4.39,4.39,4.24,4.29,18958000,4.29
2013-11-29,4.39,4.45,4.34,4.35,7462200,4.35
2013-11-27,4.46,4.55,4.33,4.41,24871200,4.41
2013-11-26,4.46,4.52,4.41,4.46,29362800,4.46
2013-11-25,4.43,4.52,4.37,4.50,25065600,4.50
2013-11-22,4.40,4.55,4.26,4.38,31264700,4.38
2013-11-21,4.33,4.49,4.31,4.37,55369700,4.37
2013-11-20,4.01,4.28,3.97,4.27,55790700,4.27
2013-11-19,3.85,4.01,3.82,3.99,17265400,3.99
2013-11-18,4.05,4.09,3.81,3.84,25592200,3.84
2013-11-15,3.96,4.12,3.91,4.02,44039000,4.02
2013-11-14,3.83,3.98,3.76,3.91,29262300,3.91
2013-11-13,3.49,3.84,3.48,3.81,39273000,3.81
2013-11-12,3.41,3.54,3.40,3.51,11476500,3.51
2013-11-11,3.47,3.52,3.41,3.43,11145100,3.43
2013-11-08,3.47,3.55,3.42,3.46,17269800,3.46
2013-11-07,3.68,3.74,3.41,3.46,33771300,3.46
2013-11-06,3.80,3.84,3.68,3.71,16585700,3.71
2013-11-05,3.70,3.84,3.65,3.80,17605500,3.80
2013-11-04,3.61,3.75,3.57,3.74,20031000,3.74
2013-11-01,3.57,3.59,3.51,3.58,12621900,3.58
2013-10-31,3.57,3.59,3.48,3.58,19331500,3.58
2013-10-30,3.70,3.75,3.53,3.59,20194600,3.59
2013-10-29,3.78,3.80,3.62,3.69,22473400,3.69
2013-10-28,3.66,3.79,3.60,3.78,24453700,3.78
2013-10-25,3.87,4.05,3.67,3.73,90347300,3.73
2013-10-24,3.55,3.61,3.45,3.54,47910000,3.54
2013-10-23,3.68,3.69,3.54,3.55,13412700,3.55
2013-10-22,3.69,3.76,3.57,3.64,14309800,3.64
2013-10-21,3.70,3.79,3.66,3.69,21248100,3.69
2013-10-18,3.56,3.76,3.55,3.67,16452800,3.67
2013-10-17,3.55,3.65,3.50,3.58,32042800,3.58
2013-10-16,3.54,3.62,3.53,3.59,10035600,3.59
2013-10-15,3.56,3.66,3.50,3.52,12727900,3.52
2013-10-14,3.54,3.58,3.50,3.55,19703300,3.55
2013-10-11,3.54,3.69,3.52,3.61,13994600,3.61
2013-10-10,3.54,3.60,3.51,3.53,17174100,3.53
2013-10-09,3.56,3.57,3.32,3.48,26814300,3.48
2013-10-08,3.71,3.75,3.50,3.54,20594300,3.54
2013-10-07,3.70,3.77,3.65,3.70,13005500,3.70
2013-10-04,3.70,3.79,3.69,3.76,12653600,3.76
2013-10-03,3.82,3.87,3.66,3.67,21988700,3.67
2013-10-02,3.82,3.95,3.79,3.82,35828400,3.82
2013-10-01,3.67,3.86,3.64,3.84,30999300,3.84
2013-09-30,3.63,3.85,3.56,3.67,31480200,3.67
2013-09-27,3.52,3.80,3.51,3.78,33258800,3.78
2013-09-26,3.81,3.87,3.48,3.61,53287000,3.61
2013-09-25,3.64,3.90,3.60,3.79,53979300,3.79
2013-09-24,3.57,3.69,3.52,3.61,37484100,3.61
2013-09-23,3.46,3.56,3.41,3.52,23500700,3.52
2013-09-20,3.47,3.54,3.43,3.48,33477600,3.48
2013-09-19,3.25,3.50,3.25,3.47,45147300,3.47
2013-09-18,3.28,3.40,3.21,3.27,28338700,3.27
2013-09-17,3.10,3.30,3.08,3.27,31154700,3.27
2013-09-16,3.10,3.11,3.07,3.09,21219700,3.09
2013-09-13,3.05,3.11,2.98,3.08,14304200,3.08
2013-09-12,3.08,3.12,3.02,3.02,14748000,3.02
2013-09-11,3.01,3.04,2.97,3.00,16877600,3.00
2013-09-10,3.12,3.13,3.00,3.03,13509800,3.03
2013-09-09,3.03,3.12,3.02,3.10,22672100,3.10
2013-09-06,3.02,3.05,2.98,3.02,28167500,3.02
2013-09-05,2.93,3.01,2.90,3.00,14844300,3.00
2013-09-04,2.84,2.96,2.84,2.92,15079500,2.92
2013-09-03,2.86,2.89,2.84,2.87,7844900,2.87
2013-08-30,2.88,2.89,2.81,2.83,7101400,2.83
2013-08-29,2.88,2.91,2.87,2.91,7580400,2.91
2013-08-28,2.79,2.90,2.79,2.88,8491300,2.88
2013-08-27,2.82,2.89,2.79,2.79,9012300,2.79
2013-08-26,2.86,2.92,2.85,2.90,9502100,2.90
2013-08-23,2.83,2.91,2.79,2.89,11956200,2.89
2013-08-22,2.77,2.85,2.76,2.81,12712800,2.81
2013-08-21,2.75,2.80,2.72,2.75,13762600,2.75
2013-08-20,2.79,2.85,2.74,2.75,23261700,2.75
2013-08-19,2.88,2.90,2.83,2.83,9492200,2.83
2013-08-16,2.87,2.91,2.83,2.90,14206300,2.90
2013-08-15,2.94,2.96,2.87,2.88,22030300,2.88
